,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
38,[' 中国大陆'],['罗登'],['2018'],['95'],"['葛优', '岳云鹏', '杜淳', '蔡卓妍', '包贝尔', '小沈阳', '陈赫', '潘斌龙', '热依扎', '孙越', '吕行', '张亮', '奚梦瑶', '杜志国', '许君聪', '吴俊余', '武强']",['断片之险途夺宝'],"['喜剧', '冒险']",['2.8'],['15213'],[' 汉语普通话']
15,[' 中国大陆'],['韦正'],['2018'],['117'],"['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '南派三叔', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '三名制-5', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",['爱情公寓'],"['喜剧', '冒险']",['3.1'],['202179'],[' 汉语普通话']
31,[' 中国大陆'],['非行'],['2018'],['110'],"['蔡珩', '顾璇', '于恒', '成泰燊', '马浴柯', '陈雨锶']",['云南虫谷'],"['动作', '奇幻', '冒险']",['3.2'],['33124'],[' 汉语普通话']
39,[' 中国大陆 / 澳大利亚'],['金波·兰道'],['2018'],['90'],"['李冰冰', '凯南·鲁兹', '吴尊', '凯尔希·格兰莫', '斯黛芬·道森', '瑞恩·约翰逊', '肖恩·雅克博森', '杰森·庄', '蒂姆·德莱克斯', '克里斯汀·米洛', '克洛依·盖伊']",['谜巢'],"['动作', '冒险']",['3.5'],['18224'],[' 英语']
46,[' 美国'],['帕夏·帕特里基'],['2018'],['105'],"['尚格·云顿', '杜夫·龙格尔', '杰思敏·沃兹', '帕特里克·基尔帕特里克', '阿尔·萨皮恩扎', '克里斯·云顿', '兰斯·E·尼克尔斯', '亚历山大·维舍尔鲍默', '考特尼·B·特克', '卡塔尔·彭德莱', '马克·希曼 ', '伊恩·奈尔斯', '约翰·波西', '亚伦·奥康奈尔', '杰姆斯·班尼特', '瓦内萨·莫达', '汤姆·德努奇', '唐迪·塔格韦尔']",['深海越狱 Black Water'],"['动作', '冒险']",['4.4'],['8962'],[' 英语']
26,[' 美国 / 加拿大'],['沙恩·布莱克'],['2018'],['107'],"['波伊德·霍布鲁克', '崔凡特·罗兹', '雅各布·特伦布莱', '科甘-迈克尔·凯', '奥立薇娅·玛恩', '斯特林·K·布朗', '托马斯·简', '阿尔菲·艾伦', '奥古斯托·阿奎莱拉', '杰克·布塞', '伊冯娜·斯特拉霍夫斯基', '布赖恩·A·普林斯', '麦克·多普德', '尼尔迈特', '加里·切克', '艾米·阿内克', '弗雷泽·艾奇逊', '简·波斯', '洛奇林·莫罗', '叶芳华', '里斯·威廉姆斯', '萨奇·布洛克勒班克', '肖恩·O.罗伯茨', '柯林·科里根', '帕特里克·萨邦圭', '弗雷泽·科比特', '阿隆·克拉文', '安德鲁·詹金斯']",['铁血战士 The Predator'],"['动作', '科幻', '惊悚', '冒险']",['4.9'],['40635'],[' 英语 / 西班牙语']
41,[' 日本'],['佐藤信介'],['2018'],['108'],"['福士苍汰', '杉咲花', '吉泽亮', '真野惠里菜', '小柳友', '田边诚一', '早乙女太一', '石原贵雅', '长泽雅美', '江口洋介']",['境·界 BLEACH'],"['动作', '奇幻', '冒险']",['4.9'],['8611'],[' 日语']
21,[' 美国'],['韦斯·鲍尔'],['2018'],['142'],"['迪伦·奥布莱恩', '卡雅·斯考达里奥', '李起弘', '托马斯·布罗迪-桑斯特', '罗莎·萨拉查', '德克斯特·达登', '艾丹·吉伦', '威尔·保尔特', '吉安卡罗·埃斯波西托', '沃尔顿·戈金斯', '派翠西娅·克拉克森', '巴里·佩珀']",['移动迷宫3：死亡解药 Maze Runner: The Death Cure'],"['动作', '科幻', '冒险']",['5.3'],['62345'],[' 英语']
36,[' 美国 / 印度 / 加拿大'],['伊莱·罗斯'],['2018'],['104'],"['杰克·布莱克', '凯特·布兰切特', '欧文·瓦卡罗', '凯尔·麦克拉克伦', '芮妮·戈兹贝里', '考林·加普', '桑尼·苏尔季克', '洛伦扎·伊佐', '布拉克斯顿·比肯', 'Vanessa Anne Williams', '查尔斯·格林', ""De'Jon Watts"", '艾伦·比尔纳', 'Christian Calloway', '伊莱·罗斯', 'Anna Chuancheun', '德梅特里·兰德尔', '佩拉·米德尔顿']",['滴答屋 The House with a Clock in its Walls'],"['喜剧', '惊悚', '奇幻', '冒险']",['5.5'],['13857'],[' 英语']
17,[' 美国 / 中国大陆'],['斯蒂文·S·迪奈特'],['2018'],['111'],"['约翰·博耶加', '斯科特·伊斯特伍德', '卡莉·史派妮', '景甜', '查理·戴', '伯恩·戈曼', '张晋', '亚德里亚·霍纳', '菊地凛子', '卡兰·布拉尔', '黄恺杰', '伊万娜·萨赫诺', '新田真剑佑', '吉丽', '雪莉·罗德里格斯', '拉哈特·亚当斯', '列维·米登', '达斯汀·克莱尔', '陈梓童', '于小伟', '钱泳辰', '郭家铭', '蓝盈莹', '金桢勋', '菊池润美', '丹尼尔·弗雷里格尔', '齐柏林·汉密尔顿', '尼克·塔拉贝', '布里德基·萨蒂纳', '小蒂姆·约翰逊', '玛德琳·麦格劳', '乔什·斯坦伯', '斯蒂芬妮·阿琳', '卢克·朱迪']",['环太平洋：雷霆再起 Pacific Rim: Uprising'],"['动作', '科幻', '冒险']",['5.5'],['176577'],[' 英语 / 汉语普通话']
