,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
14,[' 中国大陆'],['朱延平'],['2018'],['103'],"['王宁', '孔连顺', '王智', '吴孟达', '梁超', '郝劭文', '张子栋', '李欣蕊', '张峻豪', '今井隆星', '宋小宝', '曾志伟', '叶全真']",['新乌龙院之笑闹江湖'],"['剧情', '喜剧', '动作']",['3.5'],['14073'],[' 汉语普通话']
13,[' 中国大陆'],['顾长卫'],['2018'],['99'],"['白客', '蓝盈莹', '张海宇', '周楚濋', '曹骏', '王玉雯', '蒋易', '李晨晖', '范明', '蒋雯丽']",['遇见你真好'],"['剧情', '喜剧', '爱情']",['4.6'],['19164'],[' 汉语普通话']
16,[' 中国大陆'],['张骁'],['2018'],['104'],"['闫妮', '邹元清', '吴若甫', '吴大维', '耿乐', '张恒', '曾江', '廖学秋', '那威', '吴樾', '曹思达', '李政阳']",['我是你妈'],"['剧情', '喜剧']",['4.9'],['10663'],[' 汉语普通话']
6,[' 中国大陆'],['于淼'],['2018'],['103'],"['佟大为', '马丽', '霍思燕', '乔杉', '田雨', '代乐乐', '奚梦瑶', '艾伦', '张晨光', '杨玏', '李成敏', '许娣', '李萍', '张帆', '徐冬冬', '何泓姗', '姜来', '刘奇', '杜江', '钟鹿纯', '丁龙儿', '丁歌', '韩昕妤', '耿杨', '李柄熹', '刘润男', '贝镜水', '李伟', '赵宇涵', '马嘉璐', '津玮', 'Aleksandr', '毕大勋', '刘剑', '常诚', 'Natalya', '李恬洁', '贝乐乐']",['来电狂响'],"['剧情', '喜剧']",['5.8'],['194624'],[' 汉语普通话']
17,[' 中国大陆'],['陈翔'],['2018'],['96'],"['应宝林', '闰土', '毛台', '蘑菇头', '吴妈', '猪小明']",['陈翔六点半之铁头无敌'],"['剧情', '喜剧', '动作']",['6.1'],['8878'],[' 汉语普通话']
11,[' 日本'],['月川翔'],['2018'],['105'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.1'],['7755'],[' 日语']
21,[' 美国'],['大卫·罗伯特·米切尔'],['2018'],['139'],"['安德鲁·加菲尔德', '狄波拉·盖夫娜', '丽莉·克亚芙', '瑞琪·琳德赫姆', '克里斯·加恩', '考莉·埃尔南德斯', '杰西卡·马金森', '丽兹·科菲', '斯凯·埃洛巴', '杰克逊·江恩', '瑞克斯·林恩', '托弗·戈瑞斯', '佐莎·马梅特', '安娜贝尔·德克斯特-琼斯', '卢克·拜恩斯', '艾莉·麦克唐纳', '维多利亚·布鲁诺', '格蕾丝·范·帕滕']",['银湖之底 Under the Silver Lake'],"['剧情', '喜剧', '惊悚', '犯罪']",['6.5'],['5941'],[' 英语']
15,[' 美国'],['亚当·麦凯'],['2018'],['132'],"['克里斯蒂安·贝尔', '艾米·亚当斯', '史蒂夫·卡瑞尔', '山姆·洛克威尔', '娜奥米·沃茨', '艾丽森·皮尔', '埃迪·马森', '贾斯汀·柯克', '丽莎·盖伊·汉密尔顿', '杰西·普莱蒙', '比尔·坎普', '唐·麦克马纳斯', '莉莉·拉贝', '谢伊·惠格姆', '斯蒂芬·阿德利·葛尔盖', '泰勒·派瑞', '杰夫·博斯利', '吉利安·阿美娜特', '马修·雅各布斯']",['副总统 Vice'],"['剧情', '喜剧', '传记', '历史']",['6.8'],['11084'],[' 英语']
20,[' 美国'],['大卫·洛维'],['2018'],['93'],"['罗伯特·雷德福', '茜茜·斯派塞克', '卡西·阿弗莱克', '丹尼·格洛弗', '汤姆·威兹', '提卡·森普特', '阿勒·伊丽莎白·约翰逊', '蒂根·约翰逊', '吉因·琼斯', '约翰·大卫·华盛顿', '巴洛·雅克布斯', '奥古斯丁·弗里泽尔', '小伊塞亚·维特洛克', '丽雅·罗伯茨', '伊丽莎白·莫斯', '阿尔菲厄斯·格林', '基思·卡拉丹', '肯妮莎·汤普森', '罗伯特·朗斯特里特', '乔丹·崔威里恩', '托比·豪布鲁克斯', '克里斯汀·岱伊', '拉里·杰克·唐森', '帕姆·多尔蒂']",['老人和枪 The Old Man and the Gun'],"['剧情', '喜剧', '犯罪']",['7.0'],['6824'],[' 英语']
4,[' 中国大陆'],['姜文'],['2018'],['137'],"['彭于晏', '廖凡', '姜文', '周韵', '许晴', '泽田谦也', '安地', '史航', '李梦', '丁嘉丽', '陈曦']",['邪不压正'],"['剧情', '喜剧', '动作']",['7.0'],['474980'],[' 汉语普通话 / 英语 / 日语 / 法语']
2,[' 中国大陆'],['黄渤'],['2018'],['134'],"['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟', '王迅', '李勤勤', '李又麟', '宁浩', '管虎', '梁静', '徐峥', '陈德森', '张磊']",['一出好戏'],"['剧情', '喜剧']",['7.1'],['634390'],[' 汉语普通话']
19,[' 美国'],['玛丽埃尔·海勒'],['2018'],['107'],"['梅丽莎·麦卡西', '理查德·E·格兰特', '多莉·韦尔斯', '本·法尔科内', '格里高利·克洛斯蒂舍夫斯基', '简·库丁', '斯蒂芬·斯皮内拉', '克里斯蒂安·纳瓦罗', '普·班德赫', '埃里克·拉雷·哈维', '布兰登·斯科特·琼斯', '雪伊·德林恩', '罗莎尔·卡农', '安娜·迪佛·史密斯', '马克·埃文·杰克逊']",['你能原谅我吗？ Can You Ever Forgive Me?'],"['剧情', '喜剧', '传记', '犯罪']",['7.1'],['5421'],[' 英语']
12,[' 爱尔兰 / 英国 / 美国'],['欧格斯·兰斯莫斯'],['2018'],['119'],"['奥利维娅·科尔曼', '艾玛·斯通', '蕾切尔·薇兹', '尼古拉斯·霍尔特', '乔·阿尔文', '马克·加蒂斯', '蒂莫西·英纳斯', '珍妮·莱恩斯福德', '詹姆斯·史密斯', '詹姆斯·梅尔维尔', '杰克·维尔']",['宠儿 The Favourite'],"['剧情', '喜剧', '同性', '传记']",['7.4'],['51384'],[' 英语']
18,[' 韩国'],['李宰圭'],['2018'],['115'],"['柳海真', '赵震雄', '李瑞镇', '廉晶雅', '金智秀', '宋昰昀', '尹敬浩', '智友']",['完美的他人 완벽한타인'],"['剧情', '喜剧']",['7.4'],['11805'],[' 韩语']
23,[' 法国'],['吉尔·勒卢什'],['2018'],['122'],"['马修·阿马立克', '伯努瓦·波尔沃德', '吉约姆·卡内', '玛琳娜·佛伊丝', '菲烈·卡特林', '让·雨果·安格拉德', '维尔日妮·埃菲拉', '费利克斯·莫阿蒂', '莱拉·贝蒂', '诺亚·阿比塔']",['大浴场 Le grand bain'],"['剧情', '喜剧']",['7.4'],['2034'],[' 法语']
24,[' 美国'],['西恩·安德斯'],['2018'],['119'],"['马克·沃尔伯格', '萝丝·拜恩', '伊莎贝拉·莫奈', '古斯塔夫·奇洛兹', '朱莉安娜·甘米兹', '奥克塔维亚·斯宾瑟', '泰格·诺塔洛', '汤姆·赛格拉', '艾琳·瑞秋', '布瑞特·伦茨勒', '玛格·马丁戴尔', '朱丽·哈基提', '迈克尔·奥吉弗', '琼·库萨克', '加里·维克斯', '乔伊·雅各布森', '安德利娅·安德斯', '肯尼斯·以色列', '兰德尔·P·海文斯', '埃莱扎·施莱辛格', '哈维尔·朗塞罗斯', '伊芙·哈洛', '约瑟琳·雷耶斯', '约翰·麦康奈尔', '查利·麦克德莫特', '埃里卡 ·比尔曼', '卡尔森·霍尔姆斯', '维勒特·罗德里格斯', '艾米丽塔·T·冈萨雷斯', '帕蒂·舍尔哈斯', '本杰明·韦弗', '玛丽亚·Z·威尔逊']",['速成家庭 Instant Family'],"['剧情', '喜剧']",['7.5'],['9574'],[' 英语']
10,[' 印度'],['西达夫·马贺拉'],['2018'],['120'],"['拉妮·玛克赫吉', '内拉吉·卡比', '萨钦', '苏普丽雅·皮尔加卡尔', '罗特·萨拉夫', '维克拉姆·戈克哈尔', '雷伊·舒克拉', '阿西夫·巴斯拉', '加纳特·拉玛妮', '侯赛因·达拉尔', '伊万·罗德里格斯', '坤纳·斯内德', '哈许‧梅尔', '什库马尔·苏布拉马尼亚姆']",['嗝嗝老师 Hichki'],"['剧情', '喜剧']",['7.5'],['51499'],[' 印地语 / 英语']
9,[' 美国'],['韦恩·罗伯茨'],['2018'],['90'],"['约翰尼·德普', '佐伊·达奇', '罗丝玛丽·德薇特', '朗·里维斯顿', '贾斯汀·沃林顿 ', '丹尼·赫斯顿', '希芳·法隆', '帕洛玛·克维亚特科夫斯基', '奥黛莎·杨', '凯特琳·伯纳德', '法拉赫·阿维瓦', '琳达·伊蒙', '基斯·麦克科基尼', '德文·特雷尔', '丹尼斯·科贝特', '约兰达·科贝特', '马德里亚·斯卡尔韦纳']",['教授 The Professor'],"['剧情', '喜剧']",['7.6'],['4803'],[' 英语']
22,[' 美国'],['贾森·雷特曼'],['2018'],['95'],"['查理兹·塞隆', '麦肯兹·戴维斯', '马克·杜普拉斯', '朗·里维斯顿', '艾米丽·海内', '伊兰妮·谭', '克里斯塔尔·伦伯格', '马塞林·休格特', '科琳·惠勒', '嘉蜜拉·赖特', '史蒂文·罗伯斯', '谢德·鲁佩']",['塔利 Tully'],"['剧情', '喜剧']",['7.6'],['17617'],[' 英语']
8,[' 印度'],['R·巴尔基'],['2018'],['140'],"['阿克谢·库玛尔', '拉迪卡·艾普特', '索娜姆·卡普尔', '乔蒂·苏巴', '森尔·辛', '阿米达普·巴强', '雷·拉维']",['印度合伙人 Padman'],"['剧情', '喜剧', '传记']",['7.7'],['57153'],[' 印地语']
3,[' 中国大陆'],['饶晓志'],['2018'],['108'],"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉', '九孔', '马吟吟', '程怡', '宁桓宇', '邓恩熙', '谢波', '范翔', '赵梓冲', '史策', '马睿瀚', '林海', '邓钢']",['无名之辈'],"['剧情', '喜剧']",['8.1'],['654140'],[' 汉语普通话 / 贵州话']
5,[' 日本'],['大根仁'],['2018'],['119'],"['筱原凉子', '广濑铃', '板谷由夏', '小池荣子', '友坂理惠', '渡边直美', '池田依来沙', '山本舞香', '野田美櫻', '田边桃子', '富田望生', '三浦春马', '中川雅也', '新井浩文', '矢本悠马']",['阳光姐妹淘 SUNNY 強い気持ち・強い愛'],"['剧情', '喜剧', '歌舞']",['8.3'],['16973'],[' 日语']
7,[' 台湾'],"['徐誉庭', '许智彦']",['2018'],['100'],"['邱泽', '谢盈萱', '陈如山', '黄圣球', '周洺甫', '梁正群', '杨丽音', '安哲', '高隽雅', '吴定谦', '禾语辰', '钟欣凌', '万芳', '高爱伦']",['谁先爱上他的 誰先愛上他的'],"['剧情', '喜剧', '同性']",['8.6'],['167424'],[' 汉语普通话']
0,[' 美国'],['彼得·法雷里'],['2018'],['130'],"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·海耶斯·库瑞', '托尼亚·马尔多纳多']",['绿皮书 Green Book'],"['剧情', '喜剧', '传记']",['8.9'],['679430'],[' 英语 / 意大利语 / 俄语 / 德语']
1,[' 中国大陆'],['文牧野'],['2018'],['117'],"['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']",['我不是药神'],"['剧情', '喜剧']",['9.0'],['1135615'],[' 汉语普通话 / 英语 / 上海话 / 印地语']
