,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
23,[' 中国大陆 / 香港'],['张家辉'],['2018'],['112'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['低压槽：欲望之城 低壓槽'],"['剧情', '动作', '悬疑', '犯罪']",['4.4'],['13228'],[' 汉语普通话 / 粤语 / 英语 / 泰语']
28,[' 中国大陆'],['刘仪伟'],['2018'],['99'],"['小沈阳', '陈意涵', '吴樾', '连凯', '罗海琼', '李易祥', '朱云峰', '刘仪伟']",['我说的都是真的'],"['喜剧', '动作', '悬疑']",['4.8'],['7388'],[' 汉语普通话']
7,[' 中国大陆'],['任鹏远'],['2018'],['114'],"['徐峥', '王丽坤', '王砚辉', '段博文', '任达华', '于和伟', '朱珠', '赵达', '谢楠', '鲍晓']",['幕后玩家'],"['剧情', '悬疑', '犯罪']",['5.7'],['136484'],[' 汉语普通话']
8,[' 日本'],['立川让'],['2018'],['110'],"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '林原惠美', '绪方贤一', '岩居由希子', '高木涉', '大谷育江', '松井菜樱子', '榎本充希子', '高岛雅罗', '百百麻子', '岸野幸正', '飞田展男', '茶风林', '井上和彦', '汤屋敦子', '千叶一伸', '富永美伊奈', '川岛得爱', '浦山迅', '中友子', '私市淳', '志村知幸', '鸟海胜美', '冈村明美', '西前忠久', '利根健太朗', '庄司宇芽香', '川原庆久', '安村直树', '诸国沙代子', '博多大吉', '上户彩', '古谷彻']",['名侦探柯南：零的执行人 名探偵コナン ゼロの執行人'],"['动画', '悬疑']",['5.8'],['77040'],[' 日语']
20,[' 爱尔兰 / 美国'],['尼尔·乔丹'],['2018'],['98'],"['伊莎贝尔·于佩尔', '科洛·莫瑞兹', '麦卡·梦露', '简·佩里', '杰夫·西勒', '帕克·索耶', '布兰登·李·西尔斯', '阿瑟·李', '罗莎·埃斯科达', '撒迪厄斯·丹尼尔斯', '科鲁姆·费奥瑞', '扎威·阿什顿', '斯蒂芬·瑞']",['遗孀秘闻 Greta'],"['剧情', '悬疑']",['6.0'],['3391'],[' 英语']
32,[' 美国'],['朱利叶斯·约拿'],['2018'],['102'],"['古古·姆巴塔-劳', '大卫·奥伊罗', '丹尼尔·布鲁尔', '约翰·奥提兹', '克里斯·奥多德', '阿卡塞尔·亨涅', '章子怡', '伊丽莎白·德比茨基', '罗杰·戴维斯', '唐纳尔·罗格', '苏珊·克莱尔', '肯·奥林', '西蒙·佩吉', '格雷戈·格伦伯格']",['科洛弗悖论 The Cloverfield Paradox'],"['科幻', '悬疑', '惊悚']",['6.0'],['14339'],[' 英语 / 汉语普通话']
5,[' 中国大陆 / 香港'],['徐克'],['2018'],['132'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['208623'],[' 汉语普通话']
16,[' 英国 / 中国大陆 / 波多黎各 / 美国'],['杰弗利·纳赫马诺夫'],['2018'],['107'],"['基努·里维斯', '爱丽丝·伊芙', '艾米丽·阿琳·林德', '托马斯·米德蒂奇', '恩杰伊·安东尼', '约翰·奥提兹', '尼亚切·海邓迪', '艾莉亚·莱蕊克·勒布', '艾梅柏·里维拉', '艾梅柏·汤森', '杰弗里·霍尔斯曼', '桑娴·洛格罗诺', '奥马尔·克鲁兹·索托', '伊万·J·托雷斯·拉桑塔', '让·皮埃尔·普拉茨', '伊夫林·迪安-奥姆斯特德']",['克隆人 Replicas'],"['科幻', '悬疑', '犯罪']",['6.1'],['10657'],[' 英语']
26,[' 中国大陆'],['左志国'],['2018'],['91'],"['王海涛', '任青安', '丁建钧', '董博', '龙水林', '李珏', '王上']",['云雾笼罩的山峰'],"['剧情', '悬疑']",['6.2'],['1044'],[' 汉语普通话']
21,[' 中国大陆'],['崔斯韦'],['2018'],['111'],"['张震', '倪妮', '廖凡', '黄觉', '刘桦', '张奕聪', '李光洁', '岳小军', '昌隆']",['雪暴'],"['动作', '悬疑', '犯罪']",['6.2'],['24282'],[' 汉语普通话']
