,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
14,[' 美国 / 中国大陆'],['史蒂芬·C·米勒'],['2018'],['93'],"['西尔维斯特·史泰龙', '黄晓明', '戴夫·巴蒂斯塔', '杰西·麦特卡尔菲', '杰米·金', '50分', '约翰·威斯利·查特曼', '唐辰瀛', '泰伦·伍德利', '泰勒·乔恩·奥尔森', '提图斯·维里沃', '谢伊·巴克纳', '丽迪雅·赫尔', '阿什利·库萨托', '罗旖凡', '罗温·布赛义德', '贝莉·柯伦', '泽科·扎基', '文森特·杨', '埃里克·纽纳姆', '马克·希克斯', '彼特·温兹', '奚梦瑶', '罗曼·米蒂齐扬', '戈登·迈克尔斯', '婕咪·埃迪', '约瑟夫·布莱克·门泽尔', '乔·吉尔希翁', '阿方索·A·杰克逊', '奥罗拉·卡琳', '德方塔·弗里曼', '科里·温斯顿', '佩里·约翰逊', '麦克·里德', '瑞恩·牛顿', '蒂莫西·米勒', '埃里克·本德罗斯', '德里克·瑞安·杜克', '大卫·邓斯顿', 'J·麦克罗伊']",['金蝉脱壳2：冥府 Escape Plan 2: Hades'],"['动作', '惊悚']",['3.2'],['32111'],[' 英语']
37,[' 美国 / 英国'],['伦纳特·拉夫'],['2018'],['97'],"['萨姆·沃辛顿', '泰勒·席林', '汤姆·威尔金森', '阿格妮丝·迪恩', '娜塔莉·伊曼纽尔', '诺亚·尤佩', '克里·约翰逊', '亚历山大·约瓦诺维奇', '迪耶戈·博内塔', '亚伦·赫弗南', '娜奥米·巴特里克', '史蒂芬·克里', '娜塔莉·波萨', '弗朗西斯科·加里多', '凯尔·索列尔', '本·奥德里基', '古斯塔沃·萨尔梅龙']",['超能泰坦 The Titan'],"['科幻', '惊悚']",['4.6'],['7722'],[' 英语']
12,[' 美国 / 加拿大'],['沙恩·布莱克'],['2018'],['107'],"['波伊德·霍布鲁克', '崔凡特·罗兹', '雅各布·特伦布莱', '科甘-迈克尔·凯', '奥立薇娅·玛恩', '斯特林·K·布朗', '托马斯·简', '阿尔菲·艾伦', '奥古斯托·阿奎莱拉', '杰克·布塞', '伊冯娜·斯特拉霍夫斯基', '布赖恩·A·普林斯', '麦克·多普德', '尼尔迈特', '加里·切克', '艾米·阿内克', '弗雷泽·艾奇逊', '简·波斯', '洛奇林·莫罗', '叶芳华', '里斯·威廉姆斯', '萨奇·布洛克勒班克', '肖恩·O.罗伯茨', '柯林·科里根', '帕特里克·萨邦圭', '弗雷泽·科比特', '阿隆·克拉文', '安德鲁·詹金斯']",['铁血战士 The Predator'],"['动作', '科幻', '惊悚', '冒险']",['4.9'],['40635'],[' 英语 / 西班牙语']
29,[' 美国'],['杰拉德·麦克穆雷'],['2018'],['98'],"['伊兰·诺尔', '莱克斯·斯科特·戴维斯', '乔瓦恩·韦德', '马加', '帕奇·德拉奇', '玛丽莎·托梅', '劳伦·维勒斯', '克丽丝滕·索利斯', '莫·麦克雷', '史蒂夫·哈里斯', '米切尔·爱德华兹', '伊恩·布莱克曼', '梅罗妮·迪亚兹', '迪德尔·古德温', '丽维·陈', '阿兰·皮特鲁塞泽维斯基', '洛根·克劳福德', '约翰·麦克金蒂']",['人类清除计划4 The First Purge'],"['科幻', '惊悚', '犯罪']",['5.4'],['10203'],[' 英语']
25,[' 美国 / 印度 / 加拿大'],['伊莱·罗斯'],['2018'],['104'],"['杰克·布莱克', '凯特·布兰切特', '欧文·瓦卡罗', '凯尔·麦克拉克伦', '芮妮·戈兹贝里', '考林·加普', '桑尼·苏尔季克', '洛伦扎·伊佐', '布拉克斯顿·比肯', 'Vanessa Anne Williams', '查尔斯·格林', ""De'Jon Watts"", '艾伦·比尔纳', 'Christian Calloway', '伊莱·罗斯', 'Anna Chuancheun', '德梅特里·兰德尔', '佩拉·米德尔顿']",['滴答屋 The House with a Clock in its Walls'],"['喜剧', '惊悚', '奇幻', '冒险']",['5.5'],['13857'],[' 英语']
33,[' 美国'],['理查德·谢帕德'],['2018'],['90'],"['艾莉森·威廉姆斯', '阿莱娜·霍夫曼', '斯蒂文·韦伯', '洛根·布朗宁', '格利尼斯·戴维斯', '格雷姆·达菲', '史蒂芬·常', '莎伦·克兰德尔', 'Evelyn Chew', '温妮·孔', 'Christina Jastrzembska', 'Doralynn Mui', 'Milah Thompson', 'Molly Grace', 'Vince Tsang', 'Leanne Wang']",['完美琴仇 The Perfection'],"['剧情', '惊悚', '恐怖']",['5.7'],['1848'],[' 英语']
6,[' 美国 / 中国大陆 / 香港'],['乔·德特杜巴'],['2018'],['115'],"['杰森·斯坦森', '李冰冰', '雷恩·威尔森', '鲁比·罗丝', '赵文瑄', '佩吉·肯尼迪', '杰西卡·麦克娜美', '奥拉维尔·达里·奥拉夫松', '罗伯特·泰勒', '蔡书雅', '丘增', '克利夫·柯蒂斯', '安佑森', '罗伯·基帕-威廉姆斯', '维他亚·潘斯林加姆', '安得烈·格兰杰', '蒂姆·王', '史蒂文·A·戴维斯', '托万达·马尼莫', '买红妹']",['巨齿鲨 The Meg'],"['动作', '科幻', '惊悚']",['5.7'],['159096'],[' 英语 / 汉语普通话 / 泰语']
27,[' 美国'],['罗伯·科恩'],['2018'],['103'],"['托比·凯贝尔', '玛姬·格蕾斯', '瑞恩·柯万腾', '拉尔夫·伊内森', '梅丽莎·博洛纳', '本·克劳斯', '杰米·安德鲁·卡特勒', '克里斯蒂安·孔特雷拉斯', '艾德·伯奇', '埃里克·罗德尔', '马克·史密斯', '布鲁克·约翰斯顿', '帕特里克·麦考利', '莱昂纳多·狄更斯', '斯图尔特·麦克奎里', '娜塔莎·卡拉姆', '阿塔纳斯·斯雷布雷夫', '卢克·朱迪', '安德烈·鲁滨孙']",['飓风奇劫 The Hurricane Heist'],"['动作', '惊悚', '犯罪']",['5.9'],['11633'],[' 英语']
19,[' 美国'],['科林·哈迪'],['2018'],['96'],"['德米安·比齐尔', '泰莎·法米加', '乔纳斯·布洛凯', '邦妮·阿伦斯', '维拉·法米加', '帕特里克·威尔森', '英格丽·比苏', '夏洛特·霍普', '桑德拉·特蕾丝', '奥古斯特·马图洛', '迈克尔·史麦利', '大卫·霍罗维奇', '丽丽·博尔丹', '斯嘉丽·希克斯', '丽兹·科菲', '迪·布拉雷·贝克尔', '黛布拉·威尔逊', '马克·斯达格', '莉迪亚·科洛科', '艾玛·阿普尔顿', '约翰尼·科瓦内', '丹尼尔·曼德尔', '西蒙·瑞', '桑德拉·罗斯科']",['修女 The Nun'],"['悬疑', '惊悚', '恐怖']",['5.9'],['31603'],[' 英语 / 法语 / 罗马尼亚语 / 拉丁语']
35,[' 美国'],['朱利叶斯·约拿'],['2018'],['102'],"['古古·姆巴塔-劳', '大卫·奥伊罗', '丹尼尔·布鲁尔', '约翰·奥提兹', '克里斯·奥多德', '阿卡塞尔·亨涅', '章子怡', '伊丽莎白·德比茨基', '罗杰·戴维斯', '唐纳尔·罗格', '苏珊·克莱尔', '肯·奥林', '西蒙·佩吉', '格雷戈·格伦伯格']",['科洛弗悖论 The Cloverfield Paradox'],"['科幻', '悬疑', '惊悚']",['6.0'],['14339'],[' 英语 / 汉语普通话']
