,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
13,[' 香港 / 中国大陆'],['黄真真'],['2018'],['109'],"['薛凯琪', '陈意涵', '张钧甯', '迈克·泰森', '王水林', '陈宝山', '阮金红', '范湉湉']",['闺蜜2'],"['喜剧', '爱情']",['2.6'],['17899'],[' 汉语普通话']
26,[' 中国大陆'],['张鹏'],['2018'],['141'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['阿修罗'],"['动作', '爱情', '奇幻']",['3.1'],['15325'],[' 汉语普通话']
10,[' 中国大陆 / 英国'],['马楚成'],['2018'],['100'],"['梁朝伟', '吴亦凡', '唐嫣', '杜鹃', '林子祥', '华栖龙', '雅各布 格拉夫', '元秋', '刘家勇', '罗莽', '谢婷婷', '周小飞', '林德信', '陈语安', '黎烈弓', '杰佳·亚宁']",['欧洲攻略'],"['喜剧', '动作', '爱情']",['3.5'],['50694'],[' 粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语']
27,[' 中国大陆'],['张歆艺'],['2018'],['96'],"['张歆艺', '王栎鑫', '谭维维', '陈哲远', '于莎莎', '孙骁骁', '曾一竣', '张若星', '包贝尔', '蒋欣', '张静初', '张天爱', '袁弘', '秦岚', '郭京飞', '李菁菁', '赵麒', '江珊', '王烈', '高晓攀', '吕夏', '孙明明']",['泡芙小姐'],"['剧情', '爱情']",['3.6'],['7303'],[' 汉语普通话']
24,[' 中国大陆'],"['李欣', '李洋']",['2018'],['98'],"['张若昀', '马思纯', '李现', '刘敏涛', '姜超', '李霄云', '陈芋米', '安笑歌', '吴宥萱']",['奇葩朵朵'],"['喜剧', '爱情']",['4.2'],['8453'],[' 汉语普通话']
5,[' 中国大陆 / 香港'],['郑保瑞'],['2018'],['116'],"['郭富城', '冯绍峰', '赵丽颖', '小沈阳', '罗仲谦', '林志玲', '梁咏琪', '刘涛', '孙伊涵', '苑琼丹', '潘斌龙', '陈雅丽', '施诗']",['西游记女儿国'],"['喜剧', '爱情', '奇幻']",['4.4'],['110422'],[' 汉语普通话']
14,[' 中国大陆'],['顾长卫'],['2018'],['99'],"['白客', '蓝盈莹', '张海宇', '周楚濋', '曹骏', '王玉雯', '蒋易', '李晨晖', '范明', '蒋雯丽']",['遇见你真好'],"['剧情', '喜剧', '爱情']",['4.6'],['19164'],[' 汉语普通话']
9,[' 中国大陆'],['何念'],['2018'],['96'],"['郭京飞', '迪丽热巴', '大鹏', '包贝尔', '刘芮麟', '王厂长', '张钟仪', '榕榕', '张杨智子']",['21克拉'],"['喜剧', '爱情']",['4.6'],['42263'],[' 汉语普通话']
30,[' 日本'],['河合勇人'],['2018'],['117'],"['中岛健人', '中条彩未', '池间夏海', '岛崎遥香', '岸优太', '内藤大湖']",['伪恋 ニセコイ'],"['喜剧', '爱情']",['4.8'],['221'],[' 日语']
25,[' 泰国'],['维塔亚·东俞扬'],['2018'],['123'],"['桑尼·苏瓦美塔农', '尤拉萨雅·斯帕邦德', '尼查坤·抔勒威查固', '安楚义昂·布阿嘎育', '婵査勒姆·曼纳萨朋']",['把哥哥退货可以吗？ น้อง.พี่.ที่รัก'],"['喜剧', '爱情']",['5.3'],['4358'],[' 泰语 / 日语 / 英语']
28,[' 中国大陆'],['柯孟融'],['2018'],['106'],"['董子健', '钟楚曦', '春夏', '袁福福', '靳锦', '尹雨航', '吴昱瑶', '刘梦梦', '郗婧妍']",['脱单告急'],"['喜剧', '爱情']",['5.6'],['10678'],[' 汉语普通话']
15,[' 美国'],['詹姆斯·弗雷'],['2018'],['105'],"['达科塔·约翰逊', '詹米·多南', '阿莉尔·凯贝尔', '埃里克·约翰逊', '瑞塔·奥拉', '卢克·葛莱姆斯', '布兰特·道格尔迪', '泰勒·霍奇林', '马克斯·马蒂尼', '劳拉·雅各布斯', '费伊·马斯特森']",['五十度飞 Fifty Shades Freed'],"['剧情', '爱情', '情色']",['5.6'],['23632'],[' 英语']
2,[' 中国大陆'],['刘若英'],['2018'],['120'],"['井柏然', '周冬雨', '田壮壮', '曲哲明', '刘启恒', '苏小明', '邹倚天', '张子贤', '施予斐', '李剑青']",['后来的我们'],"['剧情', '爱情']",['5.9'],['264978'],[' 汉语普通话']
3,[' 中国大陆'],['落落'],['2018'],['104'],"['赵英博', '任敏', '辛云来', '章若楠', '朱丹妮']",['悲伤逆流成河'],"['剧情', '爱情']",['5.9'],['148439'],[' 汉语普通话']
8,[' 美国'],['朱浩伟'],['2018'],['121'],"['吴恬敏', '亨利·戈尔丁', '杨紫琼', '嘉玛·陈', '奥卡菲娜', '卢燕', '岑勇康', '郑肯', '水野索诺娅', '吴育刚', '欧阳万成', '钱信伊', '瑞米·海依', '尼科·桑托斯', '陆思敬', '苏慧敏', '方展发', '谢宛谕', '维多利亚·洛克', '许优美', '郑花如', '许静雯', '卡尔文·王', '陈琼华', '刘佳镁', '陈美廪', '内万·科伊特', '阿曼达·埃文斯', '彼得·霍奇森', '安德斯·塔格', '丹尼尔·詹金斯', '彼得·卡罗尔', '黛博拉·杨', '查尔斯·格朗斯', '杰西卡·加莱蒂', 'Swee Huat Teo', '罗尼·纪', 'Isaac Boon Chuon Lee', '罗杰·谢克', 'Lee Zhi Jian', 'Lee Jun Wen', '拉塞尔·黄', '马尔库斯·莫', '杰瑞卡·黎', '乔·翁', '陈胤希', '德尔菲诺润二', 'Beatrice Chein', 'Tan En Yu', 'Tan En Dong', '姬丝·阿奎诺', 'Lucinda Lew', '黄苏珊', 'Tumurbaatar Enkhtungalag', '木下众平', '吉娜·格莱尼斯', '凯文·关', '斯蒂芬妮·欧阳', 'Leong Chun Chong', 'Ho Yan Xi', '兰斯·埃明格', '卡兰比尔·亨达尔', '斯蒂芬·杰克', '纪宝珠']",['摘金奇缘 Crazy Rich Asians'],"['喜剧', '爱情']",['6.1'],['77606'],[' 英语 / 汉语普通话 / 粤语']
