,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
14,[' 美国 / 加拿大'],['沙恩·布莱克'],['2018'],['107'],"['波伊德·霍布鲁克', '崔凡特·罗兹', '雅各布·特伦布莱', '科甘-迈克尔·凯', '奥立薇娅·玛恩', '斯特林·K·布朗', '托马斯·简', '阿尔菲·艾伦', '奥古斯托·阿奎莱拉', '杰克·布塞', '伊冯娜·斯特拉霍夫斯基', '布赖恩·A·普林斯', '麦克·多普德', '尼尔迈特', '加里·切克', '艾米·阿内克', '弗雷泽·艾奇逊', '简·波斯', '洛奇林·莫罗', '叶芳华', '里斯·威廉姆斯', '萨奇·布洛克勒班克', '肖恩·O.罗伯茨', '柯林·科里根', '帕特里克·萨邦圭', '弗雷泽·科比特', '阿隆·克拉文', '安德鲁·詹金斯']",['铁血战士 The Predator'],"['动作', '科幻', '惊悚', '冒险']",['4.9'],['40635'],[' 英语 / 西班牙语']
13,[' 美国'],['韦斯·鲍尔'],['2018'],['142'],"['迪伦·奥布莱恩', '卡雅·斯考达里奥', '李起弘', '托马斯·布罗迪-桑斯特', '罗莎·萨拉查', '德克斯特·达登', '艾丹·吉伦', '威尔·保尔特', '吉安卡罗·埃斯波西托', '沃尔顿·戈金斯', '派翠西娅·克拉克森', '巴里·佩珀']",['移动迷宫3：死亡解药 Maze Runner: The Death Cure'],"['动作', '科幻', '冒险']",['5.3'],['62345'],[' 英语']
11,[' 美国 / 中国大陆'],['斯蒂文·S·迪奈特'],['2018'],['111'],"['约翰·博耶加', '斯科特·伊斯特伍德', '卡莉·史派妮', '景甜', '查理·戴', '伯恩·戈曼', '张晋', '亚德里亚·霍纳', '菊地凛子', '卡兰·布拉尔', '黄恺杰', '伊万娜·萨赫诺', '新田真剑佑', '吉丽', '雪莉·罗德里格斯', '拉哈特·亚当斯', '列维·米登', '达斯汀·克莱尔', '陈梓童', '于小伟', '钱泳辰', '郭家铭', '蓝盈莹', '金桢勋', '菊池润美', '丹尼尔·弗雷里格尔', '齐柏林·汉密尔顿', '尼克·塔拉贝', '布里德基·萨蒂纳', '小蒂姆·约翰逊', '玛德琳·麦格劳', '乔什·斯坦伯', '斯蒂芬妮·阿琳', '卢克·朱迪']",['环太平洋：雷霆再起 Pacific Rim: Uprising'],"['动作', '科幻', '冒险']",['5.5'],['176577'],[' 英语 / 汉语普通话']
9,[' 美国 / 中国大陆 / 香港'],['乔·德特杜巴'],['2018'],['115'],"['杰森·斯坦森', '李冰冰', '雷恩·威尔森', '鲁比·罗丝', '赵文瑄', '佩吉·肯尼迪', '杰西卡·麦克娜美', '奥拉维尔·达里·奥拉夫松', '罗伯特·泰勒', '蔡书雅', '丘增', '克利夫·柯蒂斯', '安佑森', '罗伯·基帕-威廉姆斯', '维他亚·潘斯林加姆', '安得烈·格兰杰', '蒂姆·王', '史蒂文·A·戴维斯', '托万达·马尼莫', '买红妹']",['巨齿鲨 The Meg'],"['动作', '科幻', '惊悚']",['5.7'],['159096'],[' 英语 / 汉语普通话 / 泰语']
23,[' 日本'],"['静野孔文', '濑下宽之']",['2018'],['90'],"['宫野真守', '樱井孝宏', '花泽香菜', '杉田智和', '梶裕贵', '诹访部顺一', '三宅健太', '堀内贤雄', '中井和哉', '山路和弘', '早见沙织', '上田丽奈', '小泽亚李', '铃村健一']",['哥斯拉：噬星者 GODZILLA 星を喰う者'],"['动作', '科幻', '动画']",['5.8'],['3791'],[' 日语']
12,[' 美国'],['布拉德·佩顿'],['2018'],['107'],"['道恩·强森', '娜奥米·哈里斯', '杰弗里·迪恩·摩根', '玛琳·阿克曼', '杰克·莱西', '乔·曼根尼罗', '玛丽·谢尔顿', 'P·J·伯恩', '德米垂斯·格罗斯', '杰克·奎德', '布里安·希尔', '马特·杰拉德', '李威尹', '尤里亚·费伯', '布鲁斯·布莱克希尔', '杰森·莱尔斯', '马克·威尔斯', '阿莉莎·布鲁克', '亚当·希泰凯尔', '加里·维克斯', '阿诺德·陈']",['狂暴巨兽 Rampage'],"['动作', '科幻', '冒险']",['6.4'],['116255'],[' 英语']
15,[' 美国 / 新西兰'],['克里斯蒂安·瑞沃斯'],['2018'],['128'],"['海拉·西尔玛', '雨果·维文', '金吉', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安佑森', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['掠食城市 Mortal Engines'],"['动作', '科幻', '冒险']",['6.4'],['39785'],[' 英语']
22,[' 美国 / 加拿大'],['朱利叶斯·艾弗里'],['2018'],['110'],"['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']",['霸主 Overlord'],"['动作', '科幻', '恐怖', '战争']",['6.5'],['13914'],[' 英语 / 俄语 / 法语 / 德语']
5,[' 美国 / 南非 / 韩国 / 澳大利亚'],['瑞恩·库格勒'],['2018'],['134'],"['查德维克·博斯曼', '露皮塔·尼永奥', '迈克尔·B·乔丹', '丹娜·奎里拉', '马丁·弗瑞曼', '丹尼尔·卡卢亚', '利蒂希娅·赖特', '温斯顿·杜克', '斯特林·K·布朗', '安吉拉·贝塞特', '福里斯特·惠特克', '安迪·瑟金斯', '弗洛伦丝·卡松巴', '约翰·卡尼', '大卫·S·李', '娜比娅·毕']",['黑豹 Black Panther'],"['动作', '科幻', '冒险']",['6.5'],['331599'],[' 斯瓦希里语 / 英语 / 科萨语 / 韩语']
24,[' 日本'],['佐藤信介'],['2018'],['127'],"['木梨宪武', '佐藤健', '本乡奏多', '二阶堂富美', '三吉彩花', '福崎那由他', '滨田麻里', '齐藤由贵', '伊势谷友介']",['犬屋敷 真人版 いぬやしき'],"['动作', '科幻']",['6.6'],['6311'],[' 日语']
