,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
116,[' 中国大陆'],['陈勋奇'],['2018'],['113'],"['谭耀文', '孟广美', '马国明', '那广子', '罗彬']",['美丽战争'],"['剧情', '动作']",[''],[],[' 汉语普通话']
55,[' 中国大陆'],['朱延平'],['2018'],['103'],"['王宁', '孔连顺', '王智', '吴孟达', '梁超', '郝劭文', '张子栋', '李欣蕊', '张峻豪', '今井隆星', '宋小宝', '曾志伟', '叶全真']",['新乌龙院之笑闹江湖'],"['剧情', '喜剧', '动作']",['3.5'],['14073'],[' 汉语普通话']
121,[' 中国大陆'],['张歆艺'],['2018'],['96'],"['张歆艺', '王栎鑫', '谭维维', '陈哲远', '于莎莎', '孙骁骁', '曾一竣', '张若星', '包贝尔', '蒋欣', '张静初', '张天爱', '袁弘', '秦岚', '郭京飞', '李菁菁', '赵麒', '江珊', '王烈', '高晓攀', '吕夏', '孙明明']",['泡芙小姐'],"['剧情', '爱情']",['3.6'],['7303'],[' 汉语普通话']
85,[' 中国大陆 / 香港'],['张家辉'],['2018'],['112'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['低压槽：欲望之城 低壓槽'],"['剧情', '动作', '悬疑', '犯罪']",['4.4'],['13228'],[' 汉语普通话 / 粤语 / 英语 / 泰语']
53,[' 中国大陆'],['顾长卫'],['2018'],['99'],"['白客', '蓝盈莹', '张海宇', '周楚濋', '曹骏', '王玉雯', '蒋易', '李晨晖', '范明', '蒋雯丽']",['遇见你真好'],"['剧情', '喜剧', '爱情']",['4.6'],['19164'],[' 汉语普通话']
57,[' 中国大陆 / 香港'],['丁晟'],['2018'],['114'],"['王凯', '马天宇', '王大陆', '余皑磊', '林雪', '吴樾', '李梦', '张艺上', '姜珮瑶', '李岷城', '宁浩', '韩寒', '丁晟', '曾志伟']",['英雄本色2018'],"['剧情', '动作']",['4.6'],['33053'],[' 汉语普通话']
74,[' 中国大陆'],['张骁'],['2018'],['104'],"['闫妮', '邹元清', '吴若甫', '吴大维', '耿乐', '张恒', '曾江', '廖学秋', '那威', '吴樾', '曹思达', '李政阳']",['我是你妈'],"['剧情', '喜剧']",['4.9'],['10663'],[' 汉语普通话']
46,[' 中国大陆'],['刘杰'],['2018'],['96'],"['杨幂', '郭京飞', '李鸿其']",['宝贝儿'],['剧情'],['5.2'],['35253'],[' 汉语普通话']
64,[' 香港'],['邱礼涛'],['2018'],['100'],"['吴镇宇', '张智霖', '佘诗曼', '周秀娜', '郑则仕', '刘浩龙', '张继聪', '李灿森', '卫诗雅', '杨柳青', '灰熊', '林嘉华']",['泄密者 洩密者們'],"['剧情', '犯罪']",['5.3'],['22792'],[' 粤语 / 汉语普通话']
59,[' 美国'],['詹姆斯·弗雷'],['2018'],['105'],"['达科塔·约翰逊', '詹米·多南', '阿莉尔·凯贝尔', '埃里克·约翰逊', '瑞塔·奥拉', '卢克·葛莱姆斯', '布兰特·道格尔迪', '泰勒·霍奇林', '马克斯·马蒂尼', '劳拉·雅各布斯', '费伊·马斯特森']",['五十度飞 Fifty Shades Freed'],"['剧情', '爱情', '情色']",['5.6'],['23632'],[' 英语']
45,[' 中国大陆 / 香港'],['袁和平'],['2018'],['107'],"['张晋', '戴夫·巴蒂斯塔', '柳岩', '杨紫琼', '托尼·贾', '郑嘉颖', '周秀娜', '谭耀文', '释彦能', '姜皓文', '栢天男', '元华']",['叶问外传：张天志 葉問外傳：張天志'],"['剧情', '动作', '犯罪']",['5.6'],['30968'],[' 汉语普通话 / 粤语']
6,[' 中国大陆'],['李少红'],['2018'],['127'],"['白百何', '黄觉', '吴刚', '刘嘉玲', '梁天', '钱小豪', '彭敬慈', '魏璐', '耿乐', '于小彤', '苏小明', '胡先煦', '曾志伟']",['妈阁是座城'],['剧情'],['5.7'],['10471'],[' 汉语普通话']
22,[' 中国大陆'],['任鹏远'],['2018'],['114'],"['徐峥', '王丽坤', '王砚辉', '段博文', '任达华', '于和伟', '朱珠', '赵达', '谢楠', '鲍晓']",['幕后玩家'],"['剧情', '悬疑', '犯罪']",['5.7'],['136484'],[' 汉语普通话']
108,[' 美国'],['理查德·谢帕德'],['2018'],['90'],"['艾莉森·威廉姆斯', '阿莱娜·霍夫曼', '斯蒂文·韦伯', '洛根·布朗宁', '格利尼斯·戴维斯', '格雷姆·达菲', '史蒂芬·常', '莎伦·克兰德尔', 'Evelyn Chew', '温妮·孔', 'Christina Jastrzembska', 'Doralynn Mui', 'Milah Thompson', 'Molly Grace', 'Vince Tsang', 'Leanne Wang']",['完美琴仇 The Perfection'],"['剧情', '惊悚', '恐怖']",['5.7'],['1848'],[' 英语']
20,[' 香港'],['林德禄 '],['2018'],['97'],"['古天乐', '张智霖', '郑嘉颖', '邓丽欣', '栢天男', '谢天华', '张继聪', '夏嫣', '蔡瀚亿', '廖启智', '谭耀文', '卢海鹏', '罗兰', '麦长青', '张松枝', '陈庭欣', '丁海峰', '冯雷', '李昕岳']",['反贪风暴3 L風暴'],"['剧情', '动作', '犯罪']",['5.7'],['82751'],[' 粤语 / 汉语普通话']
24,[' 中国大陆'],['于淼'],['2018'],['103'],"['佟大为', '马丽', '霍思燕', '乔杉', '田雨', '代乐乐', '奚梦瑶', '艾伦', '张晨光', '杨玏', '李成敏', '许娣', '李萍', '张帆', '徐冬冬', '何泓姗', '姜来', '刘奇', '杜江', '钟鹿纯', '丁龙儿', '丁歌', '韩昕妤', '耿杨', '李柄熹', '刘润男', '贝镜水', '李伟', '赵宇涵', '马嘉璐', '津玮', 'Aleksandr', '毕大勋', '刘剑', '常诚', 'Natalya', '李恬洁', '贝乐乐']",['来电狂响'],"['剧情', '喜剧']",['5.8'],['194624'],[' 汉语普通话']
16,[' 中国大陆'],['落落'],['2018'],['104'],"['赵英博', '任敏', '辛云来', '章若楠', '朱丹妮']",['悲伤逆流成河'],"['剧情', '爱情']",['5.9'],['148439'],[' 汉语普通话']
15,[' 中国大陆'],['刘若英'],['2018'],['120'],"['井柏然', '周冬雨', '田壮壮', '曲哲明', '刘启恒', '苏小明', '邹倚天', '张子贤', '施予斐', '李剑青']",['后来的我们'],"['剧情', '爱情']",['5.9'],['264978'],[' 汉语普通话']
68,[' 爱尔兰 / 美国'],['尼尔·乔丹'],['2018'],['98'],"['伊莎贝尔·于佩尔', '科洛·莫瑞兹', '麦卡·梦露', '简·佩里', '杰夫·西勒', '帕克·索耶', '布兰登·李·西尔斯', '阿瑟·李', '罗莎·埃斯科达', '撒迪厄斯·丹尼尔斯', '科鲁姆·费奥瑞', '扎威·阿什顿', '斯蒂芬·瑞']",['遗孀秘闻 Greta'],"['剧情', '悬疑']",['6.0'],['3391'],[' 英语']
44,[' 日本'],['月川翔'],['2018'],['105'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.1'],['7755'],[' 日语']
101,[' 中国大陆'],['陈翔'],['2018'],['96'],"['应宝林', '闰土', '毛台', '蘑菇头', '吴妈', '猪小明']",['陈翔六点半之铁头无敌'],"['剧情', '喜剧', '动作']",['6.1'],['8878'],[' 汉语普通话']
132,[' 美国'],['贾斯汀·凯利'],['2018'],['105'],"['克里斯汀·斯图尔特', '黛安·克鲁格', '劳拉·邓恩', '吉姆·斯特吉斯', '科特妮·洛芙', '小凯文·哈里森', '詹姆斯·贾格尔', '艾丽西亚·约翰斯顿', '大卫·劳伦斯·布朗', '威尔·沃伊托维希', '克雷格·哈斯', '吉姆·科比', '洛丽·帕帕佐普洛斯', '德里克·詹姆斯·特拉普']",['JT·莱罗伊 JT Leroy'],"['剧情', '传记']",['6.2'],['468'],[' 英语']
