,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
32,[' 中国大陆 / 香港'],['叶伟民'],['2018'],['87'],"['甄子丹', '黄圣依', '王宝强', '任达华', '喻亢', '江疏影', '仓田保昭', '鲍起静', '林雪', '庄思敏', '胡明', '吴俊余', '王文绮']",['冰封侠：时空行者'],"['动作', '奇幻']",['2.6'],['8108'],[' 汉语普通话 / 粤语']
44,[' 中国大陆'],['萧锋'],['2018'],['132'],"['刘烨', '布鲁斯·威利斯', '宋承宪', '陈伟霆', '范伟', '马苏', '车永莉', '吴刚', '冯远征', '张钧甯', '耿乐', '谢霆锋', '范冰冰', '陈道明', '艾德里安·布洛迪', '雷佳', '涩谷天马', '张帆', '任达华', '吕良伟', '胡兵', '黄海冰', '拉莫·威利斯', '刘晓庆', '曹可凡', '黄圣依', '钟镇涛', '爱新觉罗·启星', '汪东城']",['大轰炸'],"['动作', '战争']",['2.7'],['8772'],[' 汉语普通话 / 英语']
49,[' 中国大陆'],['张鹏'],['2018'],['141'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['阿修罗'],"['动作', '爱情', '奇幻']",['3.1'],['15325'],[' 汉语普通话']
29,[' 中国大陆'],['非行'],['2018'],['110'],"['蔡珩', '顾璇', '于恒', '成泰燊', '马浴柯', '陈雨锶']",['云南虫谷'],"['动作', '奇幻', '冒险']",['3.2'],['33124'],[' 汉语普通话']
25,[' 美国 / 中国大陆'],['史蒂芬·C·米勒'],['2018'],['93'],"['西尔维斯特·史泰龙', '黄晓明', '戴夫·巴蒂斯塔', '杰西·麦特卡尔菲', '杰米·金', '50分', '约翰·威斯利·查特曼', '唐辰瀛', '泰伦·伍德利', '泰勒·乔恩·奥尔森', '提图斯·维里沃', '谢伊·巴克纳', '丽迪雅·赫尔', '阿什利·库萨托', '罗旖凡', '罗温·布赛义德', '贝莉·柯伦', '泽科·扎基', '文森特·杨', '埃里克·纽纳姆', '马克·希克斯', '彼特·温兹', '奚梦瑶', '罗曼·米蒂齐扬', '戈登·迈克尔斯', '婕咪·埃迪', '约瑟夫·布莱克·门泽尔', '乔·吉尔希翁', '阿方索·A·杰克逊', '奥罗拉·卡琳', '德方塔·弗里曼', '科里·温斯顿', '佩里·约翰逊', '麦克·里德', '瑞恩·牛顿', '蒂莫西·米勒', '埃里克·本德罗斯', '德里克·瑞安·杜克', '大卫·邓斯顿', 'J·麦克罗伊']",['金蝉脱壳2：冥府 Escape Plan 2: Hades'],"['动作', '惊悚']",['3.2'],['32111'],[' 英语']
35,[' 中国大陆 / 澳大利亚'],['金波·兰道'],['2018'],['90'],"['李冰冰', '凯南·鲁兹', '吴尊', '凯尔希·格兰莫', '斯黛芬·道森', '瑞恩·约翰逊', '肖恩·雅克博森', '杰森·庄', '蒂姆·德莱克斯', '克里斯汀·米洛', '克洛依·盖伊']",['谜巢'],"['动作', '冒险']",['3.5'],['18224'],[' 英语']
51,[' 美国'],['帕夏·帕特里基'],['2018'],['105'],"['尚格·云顿', '杜夫·龙格尔', '杰思敏·沃兹', '帕特里克·基尔帕特里克', '阿尔·萨皮恩扎', '克里斯·云顿', '兰斯·E·尼克尔斯', '亚历山大·维舍尔鲍默', '考特尼·B·特克', '卡塔尔·彭德莱', '马克·希曼 ', '伊恩·奈尔斯', '约翰·波西', '亚伦·奥康奈尔', '杰姆斯·班尼特', '瓦内萨·莫达', '汤姆·德努奇', '唐迪·塔格韦尔']",['深海越狱 Black Water'],"['动作', '冒险']",['4.4'],['8962'],[' 英语']
38,[' 中国大陆'],['林珍钊'],['2018'],['104'],"['赵文卓', '唐文龙', '韦娜', '李璐兵', '陈晨', '李炳渊', '魏小欢', '许政国']",['黄飞鸿之南北英雄'],"['动作', '武侠']",['4.5'],['5401'],[' 汉语普通话']
39,[' 日本'],['佐藤信介'],['2018'],['108'],"['福士苍汰', '杉咲花', '吉泽亮', '真野惠里菜', '小柳友', '田边诚一', '早乙女太一', '石原贵雅', '长泽雅美', '江口洋介']",['境·界 BLEACH'],"['动作', '奇幻', '冒险']",['4.9'],['8611'],[' 日语']
19,[' 美国 / 加拿大'],['沙恩·布莱克'],['2018'],['107'],"['波伊德·霍布鲁克', '崔凡特·罗兹', '雅各布·特伦布莱', '科甘-迈克尔·凯', '奥立薇娅·玛恩', '斯特林·K·布朗', '托马斯·简', '阿尔菲·艾伦', '奥古斯托·阿奎莱拉', '杰克·布塞', '伊冯娜·斯特拉霍夫斯基', '布赖恩·A·普林斯', '麦克·多普德', '尼尔迈特', '加里·切克', '艾米·阿内克', '弗雷泽·艾奇逊', '简·波斯', '洛奇林·莫罗', '叶芳华', '里斯·威廉姆斯', '萨奇·布洛克勒班克', '肖恩·O.罗伯茨', '柯林·科里根', '帕特里克·萨邦圭', '弗雷泽·科比特', '阿隆·克拉文', '安德鲁·詹金斯']",['铁血战士 The Predator'],"['动作', '科幻', '惊悚', '冒险']",['4.9'],['40635'],[' 英语 / 西班牙语']
