,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
29,[' 香港 / 中国大陆'],['黄真真'],['2018'],['109'],"['薛凯琪', '陈意涵', '张钧甯', '迈克·泰森', '王水林', '陈宝山', '阮金红', '范湉湉']",['闺蜜2'],"['喜剧', '爱情']",['2.6'],['17899'],[' 汉语普通话']
42,[' 中国大陆'],['罗登'],['2018'],['95'],"['葛优', '岳云鹏', '杜淳', '蔡卓妍', '包贝尔', '小沈阳', '陈赫', '潘斌龙', '热依扎', '孙越', '吕行', '张亮', '奚梦瑶', '杜志国', '许君聪', '吴俊余', '武强']",['断片之险途夺宝'],"['喜剧', '冒险']",['2.8'],['15213'],[' 汉语普通话']
10,[' 中国大陆'],['韦正'],['2018'],['117'],"['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '南派三叔', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '三名制-5', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",['爱情公寓'],"['喜剧', '冒险']",['3.1'],['202179'],[' 汉语普通话']
23,[' 中国大陆 / 英国'],['马楚成'],['2018'],['100'],"['梁朝伟', '吴亦凡', '唐嫣', '杜鹃', '林子祥', '华栖龙', '雅各布 格拉夫', '元秋', '刘家勇', '罗莽', '谢婷婷', '周小飞', '林德信', '陈语安', '黎烈弓', '杰佳·亚宁']",['欧洲攻略'],"['喜剧', '动作', '爱情']",['3.5'],['50694'],[' 粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语']
30,[' 中国大陆 / 香港'],['刘伟强'],['2018'],['104'],"['古天乐', '陈学冬', '郭碧婷', '包贝尔', '王太利', '周冬雨', '吴樾', '潘斌龙', '孔连顺', '刘浩', '梁大维', '许君聪', '方中信', '何润东', '薛凯琪', '颖儿', '李灿森', '卢惠光']",['武林怪兽'],"['喜剧', '奇幻', '武侠']",['3.5'],['20795'],[' 汉语普通话']
40,[' 中国大陆 / 香港'],['谷德昭'],['2018'],['98'],"['陈奕迅', '李荣浩', '李一桐', '陈国坤', '崔志佳', '许绍雄', '刘浩龙', '田启文', '克里斯·柯林斯', '马志威', '李聪']",['卧底巨星'],"['喜剧', '动作']",['3.6'],['13453'],[' 汉语普通话']
26,[' 中国大陆'],['小沈阳'],['2018'],['99'],"['小沈阳', '潘斌龙', '宋芸桦', '金士杰', '刘桦', '胡明', '曹瑞', '陈惠敏', '姚中仁', '李立群', '苑琼丹', '肖央', '杨树林', '陈汉典', '九孔', '纳豆', '沈春阳', '高捷', '马浴柯']",['猛虫过江'],"['喜剧', '动作']",['3.7'],['33190'],[' 汉语普通话']
51,[' 中国大陆'],"['冯巩', '崔俊杰']",['2018'],['91'],"['冯巩', '毛俊杰', '刘昊然', '牛莉', '贾玲', '张小斐', '岳云鹏', '姜宏波', '白凯南', '潘斌龙', '涂松岩', '宋宁', '梁天', '夏凡', '梁超']",['幸福马上来'],['喜剧'],['3.8'],['8697'],[' 汉语普通话']
15,[' 中国大陆'],['肖央'],['2018'],['104'],"['肖央', '杜鹃', '常远', '小沈阳', '岳云鹏', '王小利', '衣云鹤', '蔡明']",['天气预爆'],"['喜剧', '奇幻']",['3.8'],['53593'],[' 汉语普通话']
14,[' 中国大陆'],['包贝尔'],['2018'],['108'],"['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子', '许君聪', '曾一竣', '张梦露', '戚玉武', '仓田保昭', '木幡龙', '宋佳', '文隽']",['胖子行动队'],"['喜剧', '动作']",['4.2'],['56569'],[' 汉语普通话']
