,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
8,[' 中国大陆'],['刘轩狄'],['2018'],['85'],"['尹天照', '林枫烨', '付赫安琪', '王佳希', '楼南光', '雷宇扬', '包小平']",['伏妖白鱼镇2'],"['悬疑', '奇幻']",['5.6'],['472'],[' 汉语普通话']
2,[' 美国'],['科林·哈迪'],['2018'],['96'],"['德米安·比齐尔', '泰莎·法米加', '乔纳斯·布洛凯', '邦妮·阿伦斯', '维拉·法米加', '帕特里克·威尔森', '英格丽·比苏', '夏洛特·霍普', '桑德拉·特蕾丝', '奥古斯特·马图洛', '迈克尔·史麦利', '大卫·霍罗维奇', '丽丽·博尔丹', '斯嘉丽·希克斯', '丽兹·科菲', '迪·布拉雷·贝克尔', '黛布拉·威尔逊', '马克·斯达格', '莉迪亚·科洛科', '艾玛·阿普尔顿', '约翰尼·科瓦内', '丹尼尔·曼德尔', '西蒙·瑞', '桑德拉·罗斯科']",['修女 The Nun'],"['悬疑', '惊悚', '恐怖']",['5.9'],['31603'],[' 英语 / 法语 / 罗马尼亚语 / 拉丁语']
4,[' 韩国'],['曹圭章'],['2018'],['111'],"['李星民', '金相浩', '陈庆', '郭时旸', '朴春', '金成钧', '李民雄', '延济旭', '申承焕', '李载宇', '裴贞华', '郑侑敏', '黄英熙', '孙钟学', '李相熹', '金子英', '朴成根']",['目击者 목격자'],"['悬疑', '惊悚']",['6.1'],['6495'],[' 韩语']
7,[' 日本'],['三岛有纪子'],['2018'],['120'],"['黑木华', '野村周平', '成田凌', '夏帆', '东出昌大', '神野三铃', '高桥洋', '酒向芳', '桃果', '渡边美佐子']",['彼布利亚古书堂事件手帖 ビブリア古書堂の事件手帖'],['悬疑'],['6.3'],['1505'],[' 日语']
6,[' 韩国'],['李权'],['2018'],['102'],"['孔晓振', '金叡园', '金圣武', '赵福来', '李家燮', '李天熙', '金在华']",['门锁 도어락'],"['悬疑', '惊悚']",['6.8'],['18496'],[' 韩语']
9,[' 法国'],['巴斯卡·劳吉哈'],['2018'],['91'],"['克里斯塔尔·里德', '玛莲·法莫', '阿纳斯塔西娅·菲利普斯', '艾米莉亚·琼斯', '泰勒·辛克森', '凯文·泡尔', '罗布·阿切尔', 'Mariam Bernstein', '艾丽西亚·约翰斯顿', '埃内斯托·格里菲思', '亚当·哈蒂格', '丹尼斯·科齐', '沙龙·巴杰', '托尼·布拉加', '保罗·特利', '戈登·坦纳', '埃里克·阿塔瓦尔', '保罗·布莱恩特', '泰瑞·雷', '苏珊娜·普林格尔', '马利克·劳吉尔', '安吉拉·阿瑟']",['噩梦娃娃屋 Ghostland'],"['悬疑', '惊悚', '恐怖']",['7.0'],['13128'],[' 英语 / 法语']
0,[' 中国大陆'],['巨兴茂'],['2018'],['111'],"['于毅', '何花', '王瑞昌', '岳丽娜', '倪虹洁', '巨兴茂', '鲁佳妮']",['灵魂摆渡·黄泉'],"['悬疑', '惊悚', '奇幻']",['7.1'],['73359'],[' 汉语普通话']
1,[' 美国'],['阿里·艾斯特'],['2018'],['127'],"['亚历克斯·沃尔夫', '加布里埃尔·伯恩', '托妮·科莱特', '米莉·夏普洛', '克里斯蒂·萨默海斯', '摩根·伦德', '马洛里·贝克特尔', '杰克·布朗', '布赖恩·拉谢尔', '海蒂·门德兹', '莫伊塞斯 L·托瓦', '贾罗德·菲利普斯', '安·唐德', '布罗克·麦金尼', '扎克瑞·亚瑟', '奥斯丁·R·格兰特']",['遗传厄运 Hereditary'],"['悬疑', '惊悚', '恐怖']",['7.1'],['78675'],[' 英语']
10,[' 丹麦 / 德国'],['克里斯托弗·鲍伊'],['2018'],['119'],"['尼古拉·雷·卡斯', '法瑞斯·法瑞斯', '约翰妮·路易斯·施密特', '索伦·比尔马克', '范妮·博内代尔', '克拉拉·罗萨杰', '路易斯·斯科夫', '阿曼达·拉德里亚克', '安德斯·霍夫', '尼可拉斯·布若', '埃利奥特·克罗赛特·霍夫', '碧尔特·诺伊曼', '迈克尔·布罗斯楚普', '玛丽安·霍格斯布罗', '薇比珂·哈斯特伦', '特赖恩·帕里森', '纳斯塔加·阿尔赛', '亨里克·韦斯特加德·尼尔森', '拉多·哈季奇', '安德斯·布林克·马德森', '旺达·佩德尔维茨']",['64号病历 Journal 64'],"['悬疑', '惊悚', '犯罪']",['7.2'],['5372'],[' 丹麦语 / 西班牙语 / 阿拉伯语']
3,[' 美国'],['鲍兹·亚金'],['2018'],['111'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['寄宿学校 Boarding School'],"['悬疑', '恐怖']",['7.3'],['36042'],[' 英语']
5,[' 日本'],['佐藤祐市'],['2018'],['112'],"['土屋太凤', '芳根京子', '横山裕', '筒井真理子', '生田智子', '村井国夫', '檀丽', '浅野忠信']",['深红累之渊 累-かさね-'],['悬疑'],['7.5'],['8108'],[' 日语']
