,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
0,[' 台湾'],['林孝谦'],['2018'],['105'],"['陈意涵', '刘以豪', '张书豪', '陈庭妮', '吴映洁', '禾浩辰', '游大庆', '石知田', '黄丽玲', '姚爱宁']",['比悲伤更悲伤的故事 比悲傷更悲傷的故事'],['爱情'],['4.8'],['105395'],[' 汉语普通话']
10,[' 日本'],['三浦大辅'],['2018'],['119'],"['松坂桃李', '真飞圣', '富手麻妙', '猪塚健太', '樱井由纪', '小柳友', '马渕英俚可', '荻野友里', '佐佐木心音', '大谷麻衣', '阶户瑠李', '西冈德马', '江波杏子']",['娼年'],"['爱情', '情色']",['5.7'],['10169'],[' 日语']
2,[' 中国大陆'],['奚超'],['2018'],['82'],"['苏尚卿', '王一博', '段艺璇', '马斑马', '林强']",['昨日青空'],"['爱情', '动画']",['6.1'],['44665'],[' 汉语普通话']
5,[' 中国大陆'],['吴有音'],['2018'],['117'],"['赵又廷', '杨子姗']",['南极之恋'],"['爱情', '冒险']",['6.7'],['79967'],[' 汉语普通话']
9,[' 美国'],['巴塔萨·科马库'],['2018'],['96'],"['山姆·克拉弗林', '谢琳·伍德蕾', '杰弗瑞·托马斯', '伊丽莎白·霍桑', '格蕾丝·帕尔默', '塔米·阿什克拉夫特', '凯尔·达米拉米安', '露娜·坎贝尔', '扎克·贝雷斯福德', '锡亚莱·吐诺卡']",['惊涛飓浪 Adrift'],"['爱情', '灾难']",['6.8'],['11471'],[' 英语']
3,[' 日本'],['牛岛新一郎'],['2018'],['108'],"['高杉真宙', 'Lynn', '藤井雪代', '内田雄马', '福岛润', '田中敦子', '三木真一郎']",['我想吃掉你的胰脏 君の膵臓をたべたい'],"['爱情', '动画']",['6.9'],['35471'],[' 日语']
7,[' 日本'],['武内英树'],['2018'],['109'],"['绫濑遥', '坂口健太郎', '本田翼', '北村一辉', '中尾明庆', '石桥杏奈', '柄本明', '加藤刚']",['今夜在浪漫剧场 今夜、ロマンス劇場で'],"['爱情', '奇幻']",['7.2'],['20169'],[' 日语']
6,[' 日本'],['关根光才'],['2018'],['109'],"['趣里', '菅田将晖', '仲里依纱', '田中哲司', '西田尚美', '松重丰', '石桥静河', '织田梨沙']",['只有爱能让我生存 生きてるだけで、愛。'],['爱情'],['7.3'],['2725'],[' 日语']
8,[' 美国'],['苏珊·约翰逊'],['2018'],['99'],"['拉娜·康多', '诺亚·琴蒂内奥', '伊瑟尔·布罗萨德', '贾娜尔·帕里希', '安娜·卡思卡特', '安德鲁·巴切勒', '特雷佐·马霍洛', '玛德琳娜·亚瑟', '埃米利娅·巴拉纳茨', '约翰·考伯特', '凯尔西·马韦马', '朱莉娅·本森', '乔伊·帕切科', '乔丹·伯切特', '琼·B·王尔德', '伊莎贝尔·比奇', '亨特·狄龙', '克里斯蒂安·迈克尔·库珀', '里斯·弗菜明', '帕维尔·皮多克', '杰布·比奇', 'Cameron Crosby', '耶尔·雅曼']",['致所有我曾爱过的男孩 To All the Boys I&#39;ve Loved Before'],['爱情'],['7.4'],['23936'],[' 英语']
1,[' 中国大陆 / 法国 / 日本'],['贾樟柯'],['2018'],['137'],"['赵涛', '廖凡', '徐峥', '梁嘉艳', '刁亦男', '张一白', '丁嘉丽', '张译', '董子健', '李宣', '查娜', '冯家妹', '康亢', '张晓军', '柳敏', '王谭', '原文倩']",['江湖儿女'],"['爱情', '犯罪']",['7.6'],['186678'],[' 汉语普通话 / 山西方言 / 湖北方言 / 重庆方言']
4,[' 美国'],['格里格·伯兰蒂'],['2018'],['110'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['爱情', '同性']",['8.3'],['131808'],[' 英语']
