地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['彼得·法雷里'],['130'],"['09', '11']","['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·海耶斯·库瑞', '托尼亚·马尔多纳多']",['绿皮书 Green Book'],"['剧情', '喜剧', '传记']",['8.9'],['686098'],[' 英语 / 意大利语 / 俄语 / 德语']
[' 英国 / 美国'],['布莱恩·辛格'],['135'],['11'],"['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇', '露西·宝通', '艾丹·吉伦', '汤姆·霍兰德', '麦克·梅尔斯', '阿隆·麦克卡斯克', '梅内卡·达斯', '迪基·博', '蒂姆· 普莱斯特', '杰克·罗思', '马克斯·班内特', '基兰·哈德卡斯托', '罗斯·格林', '布鲁斯·麦克金伦', '米歇尔·邓肯', '马特·格林伍德', '罗茜·本杰明', '约翰·奥特曼', '詹姆斯·华莱士', '文森特·阿德里安', '拉斯科·阿特金斯', '乔纳森·奇塔姆', '迈克尔·科布', '耶稣·加洛', '亚当·兰伯特', '豪尔赫·莱昂·马丁内斯', '杰森· 莱恩斯', '伊斯雷尔·鲁兹']",['波西米亚狂想曲 Bohemian Rhapsody'],"['剧情', '音乐', '传记']",['8.7'],['287996'],[' 英语']
[' 英国'],['尼古拉斯·希特纳'],['135'],['03'],"['本·卫肖', '米歇尔·费尔利', '大卫·莫瑞瑟', '大卫·卡尔德', '阿卓艾·安多']",['裘力斯·恺撒 National Theatre Live: Julius Caesar'],"['传记', '历史']",['8.5'],['1119'],[' 英语']
[' 美国 / 英国'],['Steve Loveridge'],['90'],['01'],['M.I.A.'],['玛琪，玛雅，米娅 Matangi/Maya/M.I.A.'],"['剧情', '音乐', '传记']",['8.0'],['220'],[' 英语']
[' 波兰 / 西班牙 / 德国 / 比利时 / 匈牙利'],"['Raúl de la Fuente', '达米安·纽诺']",['80'],"['05', '11']","['小田部阿基', 'Wilson Benedito', 'Ryszard Kapuscinski']",['人生的另一天 Un día más con vida'],"['动画', '传记']",['7.9'],['195'],[' 英语 / 葡萄牙语 / 波兰语 / 西班牙语']
[' 俄罗斯'],['基里尔·谢列布连尼科夫'],['126'],"['05', '06']","['刘太旿', '伊琳娜·斯达申鲍姆', '罗曼·比利克', '菲利普·阿杰耶夫', '亚历山大·戈尔奇林', '尼基塔·叶甫列莫夫', '尤利娅·奥格', '叶莲娜·科连诺娃', '莉亚·阿赫扎科娃', '安东·阿达辛斯基']",['盛夏 Лето'],"['音乐', '传记']",['7.8'],['6287'],[' 俄语']
[' 匈牙利'],['Tamas Yvan Topolanszky'],['99'],[],"['丽丽·博尔丹', '卡罗琳·博尔顿', 'Nikolett Barabas', 'Björn Freiberg', 'Declan Hannigan', '扬·费尔德曼', '斯科特·亚历山大·杨', 'Kata Sarbó', 'Rafael Feldman', '罗德里克·希尔', '埃斯特·纳吉-卡洛齐', '杰瑞米·惠勒', 'József Gyabronka', 'Ferenc Lengyel', 'Christopher Krieg', 'Daniel Gabori', 'Sándor Köleséry']",['柯蒂斯 Curtiz'],"['剧情', '传记', '历史']",['7.8'],['104'],[' 英语 / 匈牙利语']
[' 美国 / 日本'],['达米恩·查泽雷'],['141'],"['08', '10']","['瑞恩·高斯林', '克莱尔·芙伊', '杰森·克拉克', '凯尔·钱德勒', '寇瑞·斯托尔', '派屈克·福吉特', '克里斯托弗·阿波特', '塞伦·希德', '奥莉维亚·汉密尔顿', '巴勃罗·施瑞博尔', '谢伊·惠格姆', '卢卡斯·哈斯', '伊桑·恩布里', '布莱恩·达西·詹姆斯', '科里·迈克尔·史密斯', '克里斯·斯万博格']",['登月第一人 First Man'],"['剧情', '传记', '历史']",['7.7'],['30842'],[' 英语']
[' 美国'],['米密·莱德'],['120'],['12'],"['菲丽希缇·琼斯', '艾米·汉莫', '贾斯汀·塞洛克斯', '萨姆·沃特森', '凯西·贝茨', '卡莉·史派妮', '杰克·莱诺', '斯蒂芬·鲁特', '克里斯·马尔基', '加里·韦恩兹', '弗朗西斯·X·麦卡蒂', '罗纳德·格特曼', '温迪·古逊', '约翰·拉尔斯顿', '卡尔·格拉戈萨斯', '亚瑟·霍尔顿', '安吉拉·嘉鲁皮', '乔迪·约翰逊', '杰夫·利利科', '乔·柯布登 ', '莎珑·华盛顿', '瓦罗娜·塞茨瓦埃洛', '阿伦·奥阿约-斯图尔特', '霍莉·G·弗兰克尔', '汤姆·埃尔文', '斯蒂芬妮·科斯塔', '拉斐尔·格罗斯-哈维', '罗伯特·J·塔维纳', '加布里埃尔·格雷厄姆', '丹尼尔·布罗克', '道恩·福特', '迈克尔·迪克森', '亚历山大·贝朗格', '鲁斯·巴德·金斯伯格']",['性别为本 On the Basis of Sex'],"['剧情', '传记']",['7.6'],['4768'],[' 英语']
[' 印度'],['Reema Kagti'],[],['08'],['阿克谢·库玛尔'],['金牌 Gold'],"['剧情', '传记', '运动']",['7.6'],['144'],[' 印地']
