地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],"['潘礼平', '奉万里', '胡昀皓', '陈功']",[],['05'],"['祁晟原', '刘戴恩', '释小松', '陈荣达', '余亚颖', '杨知周', '葛奕德', '刘紫璇', '周冉', '开新傲', '李俊豪', '程子阳', '万子晴', '陈禹衡', '姜巧慧', '罗熙怡', '蔡嘉诚', '魏雨祺', '高一杰', '戴豪键', '汤子豪', '喻峰', '张伊凡', '徐雨旋', '李冰城', '杨梦瑶', '周依萱', '吴爽', '叶思文', '徐佳蕊', '林立涵', '卢亦豪', '黄涵雨', '张允钊', '高锡华', '齐森昊', '欧家杜', '郑树森', '黄敬棋', '姜米珈', '赵紫彤', '林宜婧']",['小戏骨：包青天之秦香莲与陈世美'],"['剧情', '悬疑', '儿童', '历史', '古装']",['8.2'],['607'],[' 汉语普通话']
[' 中国大陆'],['王丽娜'],['90'],['10'],"['艾萨·亚森', '凯丽比努尔·热合米图力', '艾力乃孜·热合米图力', '穆萨·亚森', '亚森·卡斯木', '乌古来木·苏吾尔', '塔杰古丽·海麦尔', '热合米图力·克然木', '克然木·喀斯木']",['第一次的离别'],['儿童'],['7.7'],['297'],[' 维吾尔语']
[' 中国大陆'],['王丽娜'],['90'],['10'],"['艾萨·亚森', '凯丽比努尔·热合米图力', '艾力乃孜·热合米图力', '穆萨·亚森', '亚森·卡斯木', '乌古来木·苏吾尔', '塔杰古丽·海麦尔', '热合米图力·克然木', '克然木·喀斯木']",['第一次的离别'],['儿童'],['7.7'],['297'],[' 维吾尔语']
[' 中国大陆'],['霍猛'],['93'],['10'],"['杨太义', '李云虎 ', '万众 ', '聂栋才 ']",['过昭关'],"['剧情', '家庭', '儿童']",['7.5'],['3442'],[' 河南方言']
[' 日本'],['米谷良知'],[],['05'],"['松冈祯丞', '金元寿子', '高桥未奈美']",['食戟之灵 餐之皿 OVA 极星寮的绘里奈 食戟のソーマ 餐ノ皿 極星寮のえりな'],"['动画', '儿童']",['7.4'],['171'],[' 日语']
[' 中国大陆'],['拉华加'],['90'],['02'],['周拉多杰'],['旺扎的雨靴'],"['剧情', '儿童']",['7.2'],['833'],[' 藏语']
[' 台湾'],['崔永徽\u200b\u200b'],['96'],['06'],"['黄尚禾', '钟家骏', '李凤英', '張靈']",['只有大海知道'],"['剧情', '歌舞', '家庭', '儿童']",['7.1'],['271'],[' 汉语普通话']
[' 中国大陆'],['肖鹤'],['28'],['06'],"['元钧霖', '鲍振江', '薛晴']",['李理的白日梦'],"['剧情', '儿童']",['7.1'],['154'],[' 汉语普通话']
[' 英国'],['大卫·斯特登'],['85'],['07'],"['约瑟夫·梅', '泰莉莎·加拉赫', '凯瑞·莎勒', '大卫·麦金', '金宝·张', '约翰·哈斯勒', '彼得·安德烈', '蒂娜·德赛', '露西·蒙格马利']",['托马斯大电影之世界探险记 Thomas &amp; Friends: Big World! Big Adventures! The Movie'],"['动画', '儿童']",['7.1'],['1192'],[' 英语']
[' 日本'],['山口恭平'],['100'],['12'],"['奥野壮', '犬饲贵丈', '押田岳', '大幡诗绘理', '渡边圭祐', '赤楚卫二', '高田夏帆', '武田航平', '水上剑星', '佐藤健']",['假面骑士平成世代 FOREVER 仮面ライダー平成ジェネレーションズ FOREVER'],"['动作', '科幻', '儿童']",['6.7'],['981'],[' 日语']
