地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英国'],"['Robert Icke', 'Rhodri Huw', 'Ilinca Radulian']",['191'],['03'],"['安德鲁·斯科特', '茱丽叶特·斯蒂文森', '杰西卡·布朗·芬德利', '安格斯·赖特', '大卫·瑞托', '卢克·汤普森', '彼得·怀特', '巴里·艾尔德', '洛娜·布朗']",['哈姆雷特 Hamlet'],['剧情'],['9.3'],['269'],[]
[' 美国'],['拉娜·沃卓斯基'],['151'],['06'],"['裴斗娜', '杰米·克莱顿', '蒂娜·德赛', '塔彭丝·米德尔顿', '马克思·雷迈特', '米格尔·安赫尔·西尔维斯特', '布莱恩·J·史密斯', '托比·奥伍梅尔', '弗莉玛·阿吉曼', '普拉布 科里', '阿方索·埃雷拉', '泰伦斯·曼', '达丽尔·汉纳', '纳威恩·安德利维斯', '奈斯鲍提斯塔', '斯蒂芬·鲍克思', '阿米拉·加扎拉', '约书亚·格罗斯', '埃伦迪拉·伊瓦拉', '雅丽·乔维尔', '西尔维斯特·迈可伊', 'Annie Munch', '埃文特·斯特朗', '马克斯·毛夫']",['超感猎杀：完结特别篇 Sense8 Finale Special'],"['剧情', '科幻', '同性']",['9.2'],['30882'],[' 英语']
[' 英国'],['迈克尔·格兰达吉'],['90'],['11'],"['阿尔弗雷德·伊诺奇', '阿尔弗雷德·莫里纳']",['红色 Red'],['剧情'],['9.2'],['249'],[' 英语']
[' 英国'],['迈克尔·格兰达吉'],['90'],['11'],"['阿尔弗雷德·伊诺奇', '阿尔弗雷德·莫里纳']",['红色 Red'],['剧情'],['9.2'],['249'],[' 英语']
[' 美国'],['Mragendra Singh'],[],[],"['Suzanna Akins', 'Cynthia Aileen Strahan', 'Maryam Roberts']",['平常心 Normal'],['剧情'],['9.1'],['103'],[' 英语']
[' 黎巴嫩 / 法国 / 美国'],['娜丁·拉巴基'],['126'],"['05', '09']","['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']",['何以为家 كفرناحوم'],['剧情'],['9.0'],['254134'],[' 阿拉伯语 / 阿姆哈拉语']
[' 意大利'],['斯蒂法诺·摩尔蒂尼'],['102'],['12'],"['里卡多·斯卡马乔', '米莱姆·里昂', '马丽娅·派雅托', '法布里齐奥·本蒂沃利奥', '萨拉·卡迪纳莱蒂', '尼古拉·潘内利', '塞尔吉奥·罗马诺', '阿斯卡尼奥·巴尔博', '保罗·桑博', '杰拉尔多·德布拉西奥', '亚历山德拉·卡里略']",['看不见的客人(意大利版) Il testimone invisibile'],"['剧情', '悬疑', '惊悚', '犯罪']",['9.0'],['3740'],[' 意大利语']
[' 中国大陆'],['文牧野'],['117'],"['07', '06']","['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']",['我不是药神'],"['剧情', '喜剧']",['9.0'],['1138892'],[' 汉语普通话 / 英语 / 上海话 / 印地语']
[' 美国'],['彼得·法雷里'],['130'],"['09', '11']","['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·海耶斯·库瑞', '托尼亚·马尔多纳多']",['绿皮书 Green Book'],"['剧情', '喜剧', '传记']",['8.9'],['686098'],[' 英语 / 意大利语 / 俄语 / 德语']
[' 日本'],['石立太一'],['34'],['07'],"['石川由依', '子安武人', '日笠阳子', '远藤绫', '内山昂辉', '茅原实里', '户松遥']",['紫罗兰永恒花园 Extra Episode ヴァイオレット・エヴァーガーデン Extra Episode'],"['剧情', '动画']",['8.9'],['2209'],[' 日语']
