地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['肥冢正史'],[],[],"['岛村侑', '石冢运升', '中田让治', '石川界人', '水内清光', '石川由依']",['进击的巨人 LOST GIRLS 進撃の巨人 LOST GIRLS'],"['动作', '动画', '冒险']",['8.8'],['2405'],[' 日语']
[' 美国'],['史蒂文·斯皮尔伯格'],['140'],"['03', '03', '03']","['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']",['头号玩家 Ready Player One'],"['动作', '科幻', '冒险']",['8.7'],['789962'],[' 英语 / 日语 / 汉语普通话']
[' 美国'],"['鲍勃·佩尔西凯蒂', '彼得·拉姆齐', '罗德尼·罗斯曼']",['116'],"['12', '12']","['沙梅克·摩尔', '杰克·约翰逊', '海莉·斯坦菲尔德', '马赫沙拉·阿里', '布莱恩·泰里·亨利', '莉莉·汤姆林', '劳伦·维勒斯', '佐伊·克罗维兹', '约翰·木兰尼', '金可·格伦', '尼古拉斯·凯奇', '凯瑟琳·哈恩', '列维·施瑞博尔', '克里斯·派恩', '娜塔丽·莫瑞丝', '奥斯卡·伊萨克', '格里塔·李', '斯坦·李', '乔玛·塔科内', '华金·科西奥', '蕾克·贝尔', '梅勒妮·海恩斯', '尼克·杰恩', '穆尼卜·拉赫曼', '卡洛斯·萨拉戈萨', '黛西·罗斯·布莱内斯', '里夫·霍顿', '哈里森·奈特', '莱克斯·朗', '凯特琳·麦肯纳-威尔金森', '斯科特·门维尔', '克里斯托弗·米勒', '德维卡·帕利赫', '柯特妮·佩尔顿', '克里斯蒂·法瑞斯', '杰奎琳·皮诺尔', '贾斯汀·沉卡罗', '梅利莎·斯特姆']",['蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse'],"['动作', '科幻', '动画', '冒险']",['8.7'],['346647'],[' 英语 / 西班牙语']
[' 日本'],['高柳滋仁'],['25'],['07'],"['小山力也', '阪口大助', '中井和哉', '宫本充', '小林优', '内田雄马']",['血界战线 Back2Back OAD 血界戦線 Back2Back OAD'],"['喜剧', '动作', '奇幻']",['8.7'],['90'],[' 日语']
[' 日本'],['谷口悟朗'],['140'],['05'],"['福山润', '樱井孝宏', '野上尤加奈', '小清水亚美', '名塚佳织', '绿川光', '金井美香', '伊藤沙织', '高田裕司', '真殿光昭', '仓田雅世', '桧山修之', '私市淳', '加濑康之', '水岛大宙', '成田剑', '千叶纱子', '白鸟哲', '井上喜久子', '新井里美', '大原沙耶香', '折笠富美子', '杉山纪彰', '保志总一朗', '后藤邑子', '井上伦宏', '三户耕三', '内田聪明', '中田让治', '皆川纯子', '幸野善之', '渡边明乃', '山野井仁', '河城英之介', '百百麻子', '若本规夫']",['代号基亚斯：反叛的鲁路修3之皇道 コードギアス 反逆のルルーシュⅢ 皇道'],"['动作', '科幻', '动画']",['8.3'],['895'],[' 日语']
[' 中国大陆 / 香港'],['林超贤'],['138'],['02'],"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",['红海行动'],"['动作', '战争']",['8.3'],['672134'],[' 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语']
[' 澳大利亚'],['雷·沃纳尔'],['100'],"['03', '06']","['罗根·马歇尔-格林', '梅拉里·沃列何', '哈里森·吉尔伯特森', '本尼迪克·哈迪', '克里斯托弗·卡比', '理查德·考索恩', '琳达·克罗珀', '贝蒂·加布里埃尔', '罗斯科·坎贝尔', '理查德·阿纳斯塔西奥斯', '史蒂夫·丹尼尔森', '迈克尔·M·福斯特', '雷纳·加拉赫', '克莱顿·雅各布森']",['升级 Upgrade'],"['动作', '科幻', '惊悚']",['8.1'],['87299'],[' 英语']
[' 中国大陆 / 香港'],['庄文强'],['130'],"['09', '10']","['周润发', '郭富城', '张静初', '冯文娟', '廖启智', '周家怡', '王耀庆', '方中信', '高捷', '邢佳栋', '张松枝', '张建声', '吴嘉龙', '孙佳君']",['无双 無雙'],"['剧情', '动作', '悬疑', '犯罪']",['8.1'],['608284'],[' 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语']
[' 美国'],"['安东尼·罗素', '乔·罗素']",['149'],"['05', '04', '04']","['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林', '佐伊·索尔达娜', '本尼迪克特·康伯巴奇', '克里斯·帕拉特', '汤姆·赫兰德', '伊丽莎白·奥尔森', '保罗·贝坦尼', '斯嘉丽·约翰逊', '查德维克·博斯曼', '塞巴斯蒂安·斯坦', '唐·钱德尔', '汤姆·希德勒斯顿', '安东尼·麦凯', '本尼迪克特·王', '戴夫·巴蒂斯塔', '布莱德利·库珀', '范·迪塞尔', '凯伦·吉兰', '利蒂希娅·赖特', '庞·克莱门捷夫', '凯莉·库恩', '汤姆-沃恩-劳勒', '海登·瓦尔希', '迈克尔·詹姆斯·肖', '泰瑞·诺塔里', '本尼西奥·德尔·托罗', '彼特·丁拉基', '罗斯·马昆德', '丹娜·奎里拉', '温斯顿·杜克', '弗洛伦丝·卡松巴', '塞缪尔·杰克逊', '雅各布·巴特朗', '斯坦·李']",['复仇者联盟3：无限战争 Avengers: Infinity War'],"['动作', '科幻', '奇幻', '冒险']",['8.1'],['589704'],[' 英语']
[' 美国'],"['亚伦·霍瓦斯', '皮得·里达·米切尔']",['84'],['07'],"['尼古拉斯·凯奇', '克里斯汀·贝尔', '威尔·阿奈特', '塔拉·斯特朗', '詹姆斯·柯登', '卡里·佩顿', '格雷格·西佩斯', '斯坦·李', '哈尔希', '吉米·坎摩尔', '斯科特·门维尔', '海登·瓦尔希', '达纳·斯耐德', 'Lil Yachty']",['少年泰坦出击电影版 Teen Titans Go! To the Movies'],"['喜剧', '动作', '动画']",['8.1'],['3575'],[' 英语']
[' 韩国'],['崔恩重'],['200'],['09'],"['吴世勋', '姜美娜', '李济延', '金熙镇', '姜多贤', '安宝贤']",['独孤：倒回 독고 리와인드'],['动作'],['8.1'],['1636'],[' 韩语']
[' 美国 / 中国大陆 / 法国 / 挪威'],['克里斯托弗·麦奎里'],['147'],"['08', '07']","['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '杨亮', '克里斯托弗·约纳尔', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', '马克斯·盖勒', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']",['碟中谍6：全面瓦解 Mission: Impossible - Fallout'],"['动作', '惊悚', '冒险']",['8.1'],['383874'],[' 英语 / 法语']
[' 美国'],['布拉德·伯德'],['118'],"['06', '06']","['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯', '约翰·拉岑贝格', '金伯利·阿代尔·克拉克', '托亚·特纳']",['超人总动员2 Incredibles 2'],"['喜剧', '动作', '动画', '冒险']",['7.9'],['178090'],[' 英语']
[' 中国大陆'],['孙海鹏'],['98'],['08'],"['杨光普照', '孟宇', '张喆', '郭政建']",['美食大冒险之英雄烩'],"['动作', '动画', '冒险']",['7.7'],['1889'],[' 汉语普通话']
[' 日本'],['五十岚卓哉'],['90'],['03'],"['上村祐翔', '宫野真守', '小野贤章', '谷山纪章', '诸星堇', '细谷佳正', '神谷浩史', '丰永利行', '花仓洸幸', '岛村侑', '小见川千明', '小山力也', '宫本充', '雨宫天', '诹访部顺一', '福山润', '石田彰', '中井和哉', '高桥李依', '手冢弘道', '中村千绘', '中博史', '坂本真绫']",['文豪野犬 Dead Apple 文豪ストレイドッグス Dead Apple'],"['动作', '动画']",['7.6'],['2254'],[' 日语']
[' 美国 / 澳大利亚'],['温子仁'],['143'],"['12', '12']","['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼', '杜夫·龙格尔', '叶海亚·阿卜杜勒-迈丁', '特穆拉·莫里森', '林路迪', '迈克尔·比奇', '兰道尔·朴', '格拉汉姆·麦克泰维什', '雷·沃纳尔', '泰努伊·柯克伍德', '塔穆尔·柯克伍德', '丹泽尔·夸克', '卡恩·古尔杜尔', '奥蒂斯·丹吉', '克考亚·克库毛诺', '朱莉·安德鲁斯', '约翰·瑞斯-戴维斯', '杰曼·翰苏', '索菲亚·福雷斯特', '娜塔莉亚·姗福瑞', '杰克·安德鲁', '汉克·阿莫斯', '帕特里克·考克斯', '罗伯特·朗斯特里特', '德维卡·帕利赫', '梅布尔·塔莫内', '文森特·B·拉戈斯', '加布里埃拉·佩特科娃', '爱丽丝·兰斯伯里', '帕特里克·艾奇逊', '约翰·盖蒂尔', '塔丽亚·杰德·霍尔特', '罗斯·克纳汉', '布拉登·刘易斯', '萨尔瓦多·梅伦达', '山姆·莫纳汉', '温妮·穆赞贝', '凯·潘塔诺', '安娜·帕奇', '乔恩·奎斯蒂德', '迪伦·斯图默', '米奇·武尔夫']",['海王 Aquaman'],"['动作', '奇幻', '冒险']",['7.6'],['606175'],[' 英语 / 毛利语 / 意大利语 / 俄语']
[' 俄罗斯'],['阿列克赛·西多洛夫'],['139'],['12'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '谢苗·特列斯库诺夫', '尤利斯·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['T-34坦克 T-34'],"['动作', '历史', '战争']",['7.6'],['8895'],[' 俄语']
[' 日本'],['石田秀范'],['101'],['05'],"['藤田富', '鷹山仁', '谷口贤志', '武田玲奈']",['假面骑士亚马逊们剧场版 最后的审判 仮面ライダーアマゾンズ THE MOVIE 最後ノ審判'],"['动作', '科幻']",['7.6'],['417'],[' 日语']
[' 韩国'],['金容华'],['142'],['08'],"['河正宇', '朱智勋', '马东锡', '金香起', '李政宰', '赵汉哲', '金明坤 ', '金东旭', '郑惟安', '都暻秀']",['与神同行2：因与缘 신과함께-인과 연'],"['动作', '奇幻']",['7.5'],['59297'],[' 韩语']
[' 美国'],['伊桑·斯波尔丁'],['78'],['02'],"['詹姆斯·阿诺德·泰勒', '德怀特·舒尔茨', '特罗伊·贝克', '诺兰·诺斯', '格蕾·德丽斯勒', '卡里·佩顿', '艾瑞克·鲍扎', '汤姆·肯尼', '菲尔·拉马', '凯文·迈克尔·理查德森', '凯特·米库奇', '瓦内萨·马歇尔', '迪·布拉雷·贝克尔', '杰森·斯皮萨克', '奥德丽·瓦西莱夫斯基']",['乐高DC超级英雄：闪电侠 Lego DC Comics Super Heroes: The Flash'],"['动作', '科幻', '动画']",['7.5'],['2689'],[' 英语']
[' 日本'],['长峰达也'],['100'],['12'],"['野泽雅子', '堀川亮', '中尾隆圣', '岛田敏', '古川登志夫', '久川绫', '山寺宏一', '森田成一', '水树奈奈', '杉田智和', '宝龟克寿']",['龙珠超：布罗利 ドラゴンボール超 ブロリー'],"['动作', '动画', '奇幻', '冒险']",['7.4'],['24581'],[' 日语']
