地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['安藤正臣'],['24'],['06'],"['松田利冴', '下地紫野', '松风雅也', '新谷真弓', '津田健次郎', '内山夕实', '市道真央', '後藤啓介']",['哈库梅伊与蜜珂析OVA：螺丝与床 / 地炉与博弈 ハクメイとミコチOVA「ネジとベッド と 囲炉裏と博打」'],"['动画', '奇幻']",['9.2'],['221'],[' 日语']
[' 美国'],[],['11'],['07'],"['杰里米·沙达', '约翰·迪·玛吉欧', '汤姆·肯尼', '奥利维亚·奥尔森', '贾斯汀·罗兰', '海登·瓦尔希', '彭德尔顿·沃德']",['探险活宝之钻石与柠檬 Adventure Time: Diamonds and Lemons'],"['喜剧', '动画']",['9.1'],['73'],[' 英语']
[' 日本'],[],['14'],['12'],"['金田朋子', '高桥李依', '米泽圆', '坂本真绫', '能登麻美子', '大久保瑠美', '斋藤千和', '种田梨沙', '丹下樱', '野中蓝', '小见川千明']",['从漫画了解！Fate/Grand Order マンガで分かる！Fate/Grand Order'],"['喜剧', '动画']",['9.1'],['179'],[' 日语']
[' 日本'],['石立太一'],['34'],['07'],"['石川由依', '子安武人', '日笠阳子', '远藤绫', '内山昂辉', '茅原实里', '户松遥']",['紫罗兰永恒花园 Extra Episode ヴァイオレット・エヴァーガーデン Extra Episode'],"['剧情', '动画']",['8.9'],['2209'],[' 日语']
[' 日本'],['肥冢正史'],[],[],"['岛村侑', '石冢运升', '中田让治', '石川界人', '水内清光', '石川由依']",['进击的巨人 LOST GIRLS 進撃の巨人 LOST GIRLS'],"['动作', '动画', '冒险']",['8.8'],['2405'],[' 日语']
[' 日本'],['安彦良和'],['84'],['05'],"['池田秀一', '潘惠美', '银河万丈', '渡边明乃', '三宅健太', '古谷彻', '柿原彻也', '古川登志夫', '福圆美里', '大塚明夫']",['机动战士高达THE ORIGIN VI 赤色彗星诞生 機動戦士ガンダム THE ORIGIN 誕生 赤い彗星'],"['科幻', '动画']",['8.8'],['2171'],[' 日语']
[' 美国'],"['鲍勃·佩尔西凯蒂', '彼得·拉姆齐', '罗德尼·罗斯曼']",['116'],"['12', '12']","['沙梅克·摩尔', '杰克·约翰逊', '海莉·斯坦菲尔德', '马赫沙拉·阿里', '布莱恩·泰里·亨利', '莉莉·汤姆林', '劳伦·维勒斯', '佐伊·克罗维兹', '约翰·木兰尼', '金可·格伦', '尼古拉斯·凯奇', '凯瑟琳·哈恩', '列维·施瑞博尔', '克里斯·派恩', '娜塔丽·莫瑞丝', '奥斯卡·伊萨克', '格里塔·李', '斯坦·李', '乔玛·塔科内', '华金·科西奥', '蕾克·贝尔', '梅勒妮·海恩斯', '尼克·杰恩', '穆尼卜·拉赫曼', '卡洛斯·萨拉戈萨', '黛西·罗斯·布莱内斯', '里夫·霍顿', '哈里森·奈特', '莱克斯·朗', '凯特琳·麦肯纳-威尔金森', '斯科特·门维尔', '克里斯托弗·米勒', '德维卡·帕利赫', '柯特妮·佩尔顿', '克里斯蒂·法瑞斯', '杰奎琳·皮诺尔', '贾斯汀·沉卡罗', '梅利莎·斯特姆']",['蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse'],"['动作', '科幻', '动画', '冒险']",['8.7'],['346647'],[' 英语 / 西班牙语']
[' 日本'],['赤城博昭'],['24'],['07'],"['高桥李依', '梶裕贵', '小原好美', '市道真央', '小仓唯', '内田雄马', '小岩井小鸟', '落合福嗣', '冈本信彦']",['擅长捉弄人的高木同学OVA：水滑梯 からかい上手の高木さん OVA 「ウォーター・スライダー」'],"['喜剧', '爱情', '动画']",['8.7'],['322'],[' 日语']
[' 日本'],['立川让'],['60'],['03'],"['伊藤节生', '樱井孝宏', '大塚明夫', '入野自由']",['灵能百分百 REIGEN モブサイコ100 REIGEN ～知られざる奇跡の霊能力者～'],"['动画', '奇幻']",['8.7'],['3087'],[' 日语']
[' 日本'],['山田尚子'],['90'],['04'],"['种崎敦美', '东山奈央', '本田望结', '藤村鼓乃美', '山冈百合', '杉浦诗织', '黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '桑岛法子', '中村悠一', '樱井孝宏']",['利兹与青鸟 リズと青い鳥'],"['剧情', '动画', '音乐']",['8.6'],['12438'],[' 日语']
[' 日本'],['新房昭之'],['148'],['11'],"['神谷浩史', '斋藤千和', '加藤英美里', '泽城美雪', '花泽香菜', '堀江由衣', '喜多村英梨', '井口裕香', '早见沙织', '井上麻里奈', '坂本真绫', '水桥香织', '根谷美智子']",['续·终物语 続・終物語'],"['剧情', '动画', '奇幻']",['8.6'],['1151'],[' 日语']
[' 日本'],['川面真也'],['71'],['08'],"['小岩井小鸟', '村川梨衣', '佐仓绫音', '阿澄佳奈', '名塚佳织', '佐藤利奈', '福圆美里', '新谷良子', '下地紫野', '平松晶子', '筱原惠美', '绫濑有']",['悠哉日常大王剧场版：假期活动 劇場版 のんのんびより ばけーしょん'],"['喜剧', '动画']",['8.6'],['1549'],[' 日语']
[' 日本'],['石原立也'],['94'],['01'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],"['喜剧', '爱情', '动画']",['8.5'],['3140'],[' 日语 / 意大利语']
[' 匈牙利'],['米洛拉德·科斯蒂奇'],['94'],"['08', '11']","['伊万·卡马拉斯', '加布里瑞拉·哈默里', '佐兰·马克兰兹', '乔鲍·马顿', '保罗‧贝兰托尼', '马特·戴维尔', '卡塔琳‧东比', '亨利‧格兰特', '彼得·林卡', '马泰‧梅萨罗什', '加博尔·纳吉帕尔', '维吉尼亚‧普罗德']","['盗梦特攻队 Ruben Brandt, a gyüjtö']","['动画', '犯罪']",['8.4'],['17459'],[' 英语 / 匈牙利语']
