地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 台灣 Taiwan'],['張郡庭'],[],[],[],['坐椅上的人'],['動畫 Animation'],[''],[],[]
[' Slovakia'],['David Stumpf'],[],[],[],['Woo-Hoo!'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['宋淑安'],[],[],[],['花火'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['黃晨昀'],[],[],[],['邊緣物件'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['呂孟儒'],[],[],[],['再造'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['洪千茹'],[],[],[],['嗅嗅'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['張禎'],[],[],[],['再睡一下下'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['蘇資喻'],[],[],[],['川息'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['劉冠廷'],[],[],[],['記憶體'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['陳柔瑋'],[],[],[],['日常'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],"['劉嚞瑜', '劉立寬']",[],[],[],['Endless Agony'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],[],[],[],[],['灰鴿傳輸'],['動畫 Animation'],[''],[],[]
