地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英国'],['Richard Boden'],['39'],['12'],"['大卫·米切尔', '肯尼思·布拉纳', '海伦·蒙克斯', '保拉·威尔科克斯', '哈里·恩菲尔德', 'Rosanna Beacock', '丽莎·塔巴克', '马克·希普', '卡尔·特奥巴德', '杰玛·韦兰', '蒂姆·唐尼', 'Rob Rouse', '多米尼克·科尔曼', 'Spencer Jones', '史蒂夫·斯皮尔斯', '乔斯林·杰·艾森', '莉莉·科尔', 'Hannah Jane Fox', 'Luka Petrovic']",['新贵2018圣诞特辑 Upstart Crow: A Crow Christmas Carol'],"['喜剧', '历史']",['8.6'],['85'],[' 英语']
[' 英国'],['尼古拉斯·希特纳'],['135'],['03'],"['本·卫肖', '米歇尔·费尔利', '大卫·莫瑞瑟', '大卫·卡尔德', '阿卓艾·安多']",['裘力斯·恺撒 National Theatre Live: Julius Caesar'],"['传记', '历史']",['8.5'],['1119'],[' 英语']
[' 德国'],['拉斯·克劳梅'],['111'],['03'],"['乔纳斯·达斯勒', '汤姆·格兰门兹', '米夏埃尔·圭斯德克', '罗夫·凯尼斯', '布尔格哈特·克劳斯纳', '莱娜·克棱克', '弗洛里安·卢卡斯', '伦纳德·施彻', '戈茨·舒伯特', '耶迪斯·特里贝尔', '卡莉娜·N.维斯', '罗纳尔德·策尔费尔德']",['沉默的教室 Das schweigende Klassenzimmer'],"['剧情', '历史']",['8.4'],['11057'],[' 德语']
[' 德国'],['米夏埃尔·赫尔比希'],['125'],['09'],"['弗莱德里奇·穆克', '卡罗利妮·舒赫', '大卫·克劳斯', '艾丽西娅·冯·里特贝格', '托马斯·克莱舒曼', '乔纳斯·霍登里德尔', '蒂尔曼·多布勒', '克里斯蒂安·内特', '罗纳德·库克利斯', '塞巴斯蒂安·胡克', '乌尔里奇·布兰德霍夫', '柏恩德·麦克·莱德', '凯·伊沃·保利兹', '贝恩德·斯特格曼', '安婕·特拉乌']",['气球 Ballon'],"['剧情', '惊悚', '历史']",['8.4'],['14445'],[' 德语 / 英语']
[' 比利时 Belgium / 法国 / 荷兰 Netherlands / 卢森堡 Luxembourg'],"['Emma De Swaef', 'Marc James Roels']",['44'],['05'],[],['这绝妙的蛋糕！ Ce magnifique gâteau!'],"['喜剧', '动画', '历史']",['8.4'],['148'],[' 荷兰语 Dutch / 法语']
[' 澳大利亚 / 美国 / 印度'],['安东尼·马拉斯'],['123'],"['09', '10']","['艾米·汉莫', '纳赞宁·波妮阿蒂', '戴夫·帕特尔', '詹森·艾萨克', '阿努潘·凯尔', '刘承羽', '安格斯·麦克拉伦', '萨钦·乔伯', '蒂尔达·格哈姆-哈维', '维品·沙尔马', '阿布罗伊·辛格', '迪维亚·阿妮', '桑迪普·博雅卡', '齐尼亚·斯塔尔']",['孟买酒店 Hotel Mumbai'],"['剧情', '惊悚', '历史']",['8.4'],['25342'],[' 英语 / 印地语 / 旁遮普语 / 希腊语 / 俄语 / 阿拉伯语 / 乌尔都语 / 波斯语']
[' 中国大陆'],"['潘礼平', '奉万里', '胡昀皓', '陈功']",[],['05'],"['祁晟原', '刘戴恩', '释小松', '陈荣达', '余亚颖', '杨知周', '葛奕德', '刘紫璇', '周冉', '开新傲', '李俊豪', '程子阳', '万子晴', '陈禹衡', '姜巧慧', '罗熙怡', '蔡嘉诚', '魏雨祺', '高一杰', '戴豪键', '汤子豪', '喻峰', '张伊凡', '徐雨旋', '李冰城', '杨梦瑶', '周依萱', '吴爽', '叶思文', '徐佳蕊', '林立涵', '卢亦豪', '黄涵雨', '张允钊', '高锡华', '齐森昊', '欧家杜', '郑树森', '黄敬棋', '姜米珈', '赵紫彤', '林宜婧']",['小戏骨：包青天之秦香莲与陈世美'],"['剧情', '悬疑', '儿童', '历史', '古装']",['8.2'],['607'],[' 汉语普通话']
[' 中国大陆'],['小野败仔'],['13'],['04'],"['于越', '森中人', '冷泉夜月']",['切尔诺贝利之春 Un printemps à Tchernobyl'],"['剧情', '动画', '历史', '灾难']",['7.9'],['2090'],[' 汉语普通话']
[' 匈牙利'],['Tamas Yvan Topolanszky'],['99'],[],"['丽丽·博尔丹', '卡罗琳·博尔顿', 'Nikolett Barabas', 'Björn Freiberg', 'Declan Hannigan', '扬·费尔德曼', '斯科特·亚历山大·杨', 'Kata Sarbó', 'Rafael Feldman', '罗德里克·希尔', '埃斯特·纳吉-卡洛齐', '杰瑞米·惠勒', 'József Gyabronka', 'Ferenc Lengyel', 'Christopher Krieg', 'Daniel Gabori', 'Sándor Köleséry']",['柯蒂斯 Curtiz'],"['剧情', '传记', '历史']",['7.8'],['104'],[' 英语 / 匈牙利语']
[' 美国 / 日本'],['达米恩·查泽雷'],['141'],"['08', '10']","['瑞恩·高斯林', '克莱尔·芙伊', '杰森·克拉克', '凯尔·钱德勒', '寇瑞·斯托尔', '派屈克·福吉特', '克里斯托弗·阿波特', '塞伦·希德', '奥莉维亚·汉密尔顿', '巴勃罗·施瑞博尔', '谢伊·惠格姆', '卢卡斯·哈斯', '伊桑·恩布里', '布莱恩·达西·詹姆斯', '科里·迈克尔·史密斯', '克里斯·斯万博格']",['登月第一人 First Man'],"['剧情', '传记', '历史']",['7.7'],['30842'],[' 英语']
