地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],"['潘礼平', '奉万里', '胡昀皓', '陈功']",[],['05'],"['祁晟原', '刘戴恩', '释小松', '陈荣达', '余亚颖', '杨知周', '葛奕德', '刘紫璇', '周冉', '开新傲', '李俊豪', '程子阳', '万子晴', '陈禹衡', '姜巧慧', '罗熙怡', '蔡嘉诚', '魏雨祺', '高一杰', '戴豪键', '汤子豪', '喻峰', '张伊凡', '徐雨旋', '李冰城', '杨梦瑶', '周依萱', '吴爽', '叶思文', '徐佳蕊', '林立涵', '卢亦豪', '黄涵雨', '张允钊', '高锡华', '齐森昊', '欧家杜', '郑树森', '黄敬棋', '姜米珈', '赵紫彤', '林宜婧']",['小戏骨：包青天之秦香莲与陈世美'],"['剧情', '悬疑', '儿童', '历史', '古装']",['8.2'],['607'],[' 汉语普通话']
[' 日本'],['吉川邦夫'],['90'],['01'],"['片冈爱之助', '新纳慎也', '村上新悟', '迫田孝也', '长野里美', '中岛亚梨沙', '中原丈雄', '山西惇', '中川大志', '浅利阳介', '栗原英雄', '草刈正雄', '山本耕史', '小日向文世', '远藤宪一', '加藤谅', '高木涉', '高岛政伸', '大野泰広']",['风云儿们 兰学革命篇 風雲児たち～蘭学革命篇～'],['古装'],['7.9'],['102'],[' 日语']
[' 中国大陆 / 香港'],['张艺谋'],['116'],"['09', '09']","['邓超', '孙俪', '郑恺', '王千源', '王景春', '胡军', '关晓彤', '吴磊', '封柏']",['影'],"['剧情', '动作', '武侠', '古装']",['7.2'],['412006'],[' 汉语普通话']
[' 中国大陆'],['胡玫'],['113'],['06'],"['马伊琍', '富大龙', '马敬涵', '王子文', '姚安濂', '焦晃', '刘宸', '周中和', '杨哲', '王春子', '董飞', '刘立伟', '刘佩琦']",['进京城'],"['剧情', '历史', '古装']",['6.9'],['2289'],[' 汉语普通话 / 英语']
[' 中国大陆'],['张萌'],['78'],['07'],"['明俊臣', '刘语乔', '郭凯', '孔子曰', '王紫垣']",['夺命剑之风云再起'],"['悬疑', '武侠', '古装']",['6.5'],['298'],[' 汉语普通话']
[' 日本'],['西川毅'],['70'],['12'],"['内村光良', '伊藤健太郎', '国村隼', 'シソンヌ', '田中直树', '塚地武雅', '堤真一', '中川大志', '永野芽郁', '古田新太', '室毅', '药师丸博子']",['LIFE！特别节目\u3000忍者！右左卫门 LIFE！スペシャル 忍べ！右左ヱ門'],"['喜剧', '古装']",['6.4'],['200'],[' 日语']
[' 中国大陆 / 香港'],['徐克'],['132'],['07'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['208985'],[' 汉语普通话']
[' 中国大陆'],['张萌'],['68'],['07'],"['明俊臣', '刘语乔', '郭凯', '孔子曰', '王紫垣']",['夺命剑之喋血江湖'],"['悬疑', '武侠', '古装']",['5.9'],['153'],[' 汉语普通话']
[' 韩国'],['金锡允'],['120'],['02'],"['金智媛', '金明民', '吴达洙', '金汎', '李民基']",['朝鲜名侦探：吸血怪魔的秘密 조선명탐정: 흡혈괴마의 비밀'],"['喜剧', '冒险', '古装']",['5.9'],['1303'],[' 韩语']
[' 中国大陆'],['李遥波'],['80'],['08'],"['魏哲鸣', '石雪婧', '刘奇', '李孟羲', '张婧璇']",['阴阳诀之祭情'],"['动作', '爱情', '悬疑', '奇幻', '古装']",['5.8'],['247'],[' 汉语普通话']
[' 中国大陆'],"['项秋良', '项河生']",['90'],['03'],"['陈浩民', '林子聪', '范梦', '赵东昊', '王洪千', '李佳颖', '骆应钧', '李平安']",['齐天大圣·万妖之城'],"['奇幻', '冒险', '古装']",['5.1'],['2342'],[' 汉语普通话']
[' 中国大陆'],['黄河'],['97'],['10'],"['杨恭如', '罗立群', '何文辉', '李若希', '黄一飞']",['狄仁杰之幽冥道'],"['剧情', '动作', '悬疑', '古装']",['5.0'],['1518'],[' 汉语普通话']
[' 中国大陆'],['周若尘'],['82'],['01'],"['段艺璇', '苏杉杉', '罗雪丽', '刘姝贤', '马玉灵', '利晴天']",['大唐嘻游记'],"['喜剧', '古装']",['4.7'],['212'],[' 汉语普通话']
[' 中国大陆'],['张博'],['85'],['06'],"['刘锐', '洪浚嘉', '郭万超', '朱晓鸣', '徐少强', '王婷']",['九门提督'],"['动作', '古装']",['4.7'],['1387'],[' 汉语普通话']
[' 中国大陆'],['张博'],['85'],['06'],"['刘锐', '洪浚嘉', '郭万超', '朱晓鸣', '徐少强', '王婷']",['九门提督'],"['动作', '古装']",['4.7'],['1387'],[' 汉语普通话']
[' 中国大陆'],['武越'],[],['04'],"['刘旭阳', '刘馨棋', '于轩洪灏', '山长凯']",['盛唐妖异志'],"['武侠', '古装']",['4.4'],['180'],[' 汉语普通话']
[' 中国大陆'],['雷尼·哈林'],['105'],['10'],"['王力宏', '宋茜', '高以翔', '高圣远', '吴千语', '张智霖', '柳岩', '李媛', '伍嘉成', '那威', '纪焕博']",['古剑奇谭之流月昭明'],"['动作', '奇幻', '古装']",['4.3'],['7010'],[' 汉语普通话']
[' 中国大陆'],['李遥波'],['61'],['07'],"['叶小开', '何其炜', '潘子剑', '朱丽岚']",['男狐聊斋2兰若寺'],"['爱情', '奇幻', '古装']",['4.3'],['388'],[' 汉语普通话']
