地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['拉娜·沃卓斯基'],['151'],['06'],"['裴斗娜', '杰米·克莱顿', '蒂娜·德赛', '塔彭丝·米德尔顿', '马克思·雷迈特', '米格尔·安赫尔·西尔维斯特', '布莱恩·J·史密斯', '托比·奥伍梅尔', '弗莉玛·阿吉曼', '普拉布 科里', '阿方索·埃雷拉', '泰伦斯·曼', '达丽尔·汉纳', '纳威恩·安德利维斯', '奈斯鲍提斯塔', '斯蒂芬·鲍克思', '阿米拉·加扎拉', '约书亚·格罗斯', '埃伦迪拉·伊瓦拉', '雅丽·乔维尔', '西尔维斯特·迈可伊', 'Annie Munch', '埃文特·斯特朗', '马克斯·毛夫']",['超感猎杀：完结特别篇 Sense8 Finale Special'],"['剧情', '科幻', '同性']",['9.2'],['30882'],[' 英语']
[' 台湾'],"['徐誉庭', '许智彦']",['100'],"['04', '11']","['邱泽', '谢盈萱', '陈如山', '黄圣球', '周洺甫', '梁正群', '杨丽音', '安哲', '高隽雅', '吴定谦', '禾语辰', '钟欣凌', '万芳', '高爱伦']",['谁先爱上他的 誰先愛上他的'],"['剧情', '喜剧', '同性']",['8.6'],['168121'],[' 汉语普通话']
[' 美国'],['格里格·伯兰蒂'],['110'],['03'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['爱情', '同性']",['8.3'],['132267'],[' 英语']
[' 英国'],['西蒙·阿姆斯特尔'],[],['10'],"['科林·摩根', '安娜·钱斯勒', '菲尼克斯·布罗萨德', '乔尔·弗莱', '杰克·罗文', '内森·斯图尔特-贾瑞特', '艾丽·肯德里克', '杰西·卡芙', 'Michèle Belgrand', 'James Lailey', 'Joanne Howarth', 'Alex Lowe']",['本杰明 Benjamin'],['同性'],['8.3'],['99'],[' 英语']
[' 比利时 / 荷兰'],['卢卡斯·德霍特'],['105'],"['05', '11']","['维克托·波尔斯特', '阿里耶·沃索尔特', '奥利弗·博达特', '蒂伊门·戈瓦尔茨', '卡特简·达门', '瓦伦提金·达恩斯', '克里斯·泰斯', '安吉洛·提森', '艾莉西亚·德佩克']",['女孩 Girl'],"['剧情', '同性']",['8.2'],['14636'],[' 法语 / 弗拉芒语 / 英语']
[' 美国'],['陈俊彦'],['85'],['03'],"['科里·迈克尔·史密斯', '维吉妮娅·马德森', '迈克尔·切克利斯', '艾丹·朗福德', '杰米·钟', '比尔·赫克', '瑞恩·皮尔斯·威廉姆斯', '蒂娜·帕克', '亚历克斯·妮科尔·麦康诺', '戴维·奥佩贝米', '布赖恩·马西']",['1985'],"['剧情', '同性']",['7.9'],['1130'],[' 英语']
[' 法国'],['克里斯托夫·奥诺雷'],['132'],['05'],"['文森特·拉科斯特', '皮埃尔·德隆尚', '德尼·波达利德斯', '阿黛尔·维斯梅思', '托马斯·冈萨雷斯', '克莱蒙·梅特耶', '昆廷·蒂博', '特里斯坦·法尔热', '索菲·勒图讷尔', '马莱娜·索尔达纳', '卢卡·马林诺夫斯基', '埃里克·维涅尔', '罗曼·施耐纳']","['喜欢，轻吻，快跑 Plaire, aimer et courir vite']","['剧情', '爱情', '同性']",['7.8'],['14397'],[' 法语']
[' 美国'],['梅勒妮·梅隆'],['95'],"['03', '08']","['派珀·劳瑞', '布瑞特·迪尔', '布鲁克·亚当斯', '艾米丽·芭尔多尼', '艾米丽·高斯', '香农·克里斯', '马克斯·阿德勒', '凯茜·德博诺', '沙纳·萨林']",['独家记忆 Snapshots'],"['剧情', '同性']",['7.8'],['1352'],[' 英语']
[' 秘鲁 / 德国 / 挪威'],['Alvaro Delgado Aparicio'],['101'],"['02', '05', '08']","['Magaly Solier', 'Amiel Cayo', 'Junior Bejar']",['彩塑男孩 Retablo'],"['剧情', '同性']",['7.7'],['180'],[' 克丘亚语 / 西班牙语']
[' 美国'],['杰里米·撒加'],['94'],"['01', '08']","['希拉·凡德', '劳尔·卡斯提洛', '伊万·罗萨多', '乔塞亚·盖贝尔', '以赛亚·克里斯蒂安', '特里·霍兰德']",['我们，动物 We the Animals'],"['剧情', '同性']",['7.6'],['2161'],[' 英语']
[' 法国'],['维克多·哈布希'],['115'],['11'],"['西蒙·罗伊尔', '马林·拉菲特', '奥里安·巴巴扎', '艾瑞斯·加斯特勒', '安布尔·兰博德', '西蒙·艾斯科菲', '托马斯·朱迪斯']",['哥哥 Un frère'],"['剧情', '同性']",['7.5'],['735'],[' 法语']
[' 英国'],['安娜贝尔·杨科尔'],['106'],['09'],"['安娜·帕奎因', '格雷戈尔·塞尔科克', '尤安·梅森', '荷丽黛·格兰杰', '劳伦·莱尔', '凯特·迪基']",['告诉蜜蜂 Tell It to the Bees'],"['剧情', '同性']",['7.5'],['2026'],[' 英语']
[' 荷兰'],['艾伦·斯密特'],['80'],['03'],"['马吉德·马多', '乔舒亚·斯特拉多斯基', '珍妮·阿里安', '塔尼娅·杰丝', '娜西米耶·欧拉尔', '梅乐蒂·克蕾沃', '索妮娅·艾肯', '穆罕默德·阿拉哈德', '安尼·普拉克', '埃琳娜·祖德梅尔', '罗斯科·莱金', '弗瑞特斯·拉姆布雷希茨', '米兰达·炅灵', '舒尔德·德拉格斯玛', '贝琳达·范·德·斯杜普', '贾斯汀·莫伊耶', '马尔科姆·雨果·格伦']",['好朋友 Gewoon Vrienden'],"['剧情', '爱情', '同性']",['7.5'],['4350'],[' 荷兰语']
[' 美国'],['乔尔·埃哲顿'],['115'],"['09', '11']","['卢卡斯·赫奇斯', '妮可·基德曼', '罗素·克劳', '玛德琳·克莱因', '维克托·麦凯', '大卫·约瑟夫·克雷格', '特洛耶·希文', '艾米丽·辛克尔', '德文·迈克尔', '马特·伯克', '林赛·莫泽', '杰西·拉图雷特', '布里顿·瑟尔', '大卫·迪特莫尔', '威廉·吴', '乔尔·埃哲顿', '泽维尔·多兰', '蒂姆·韦尔', '弗利', '兰德尔·P·海文斯', '乔·阿尔文']",['被抹去的男孩 Boy Erased'],"['剧情', '同性', '传记']",['7.4'],['12978'],[' 英语']
[' 阿根廷 / 西班牙'],['路易斯·奥特加'],['118'],"['05', '08']","['洛伦佐·法罗', '奇诺·达林', '丹尼尔·凡尼戈', '梅赛黛斯·莫朗', '玛莱娜·维拉', '塞西莉亚·罗特', '索菲亚·伊内斯·托尔内', '皮特·蓝萨尼', '马塞洛·坎切米', '路易斯·尼科', '威廉·普罗赛克']",['死亡天使 El ángel'],"['剧情', '同性', '传记', '犯罪']",['7.4'],['4718'],[' 西班牙语']
[' 爱尔兰 / 英国 / 美国'],['欧格斯·兰斯莫斯'],['119'],"['08', '11']","['奥利维娅·科尔曼', '艾玛·斯通', '蕾切尔·薇兹', '尼古拉斯·霍尔特', '乔·阿尔文', '马克·加蒂斯', '蒂莫西·英纳斯', '珍妮·莱恩斯福德', '詹姆斯·史密斯', '詹姆斯·梅尔维尔', '杰克·维尔']",['宠儿 The Favourite'],"['剧情', '喜剧', '同性', '传记']",['7.4'],['51676'],[' 英语']
[' 法国'],['克里斯托夫·查理尔'],['82'],['09'],"['费利克斯·马利陶德', '尼古拉斯·鲍文斯', '汤米·李·巴克', '奥雷·阿蒂卡', '玛丽·德纳尔诺', '伊连·贝加拉', '戴维·鲍伊特']",['乔纳斯 Jonas'],"['剧情', '爱情', '同性']",['7.3'],['2435'],[' 法语']
[' 瑞士'],['马塞尔·吉斯莱'],['124'],['02'],"['麦克斯·胡巴赫', '艾伦·阿尔塔拉斯', '杰西·莫拉维克', '朱格·普拉斯', '多诺·穆格勒', '安德烈亚斯·马蒂', '希尔温·阿米尼', '法比齐奥·波萨尼', '朱利安·科奇林', '加布里埃尔·诺阿·马瑞尔', '施塔隆·安德森', '乔利斯·格拉沃尔']",['我的冠军男友 Mario'],"['剧情', '爱情', '同性', '运动']",['7.3'],['6654'],[' 瑞士德语 / 德语']
[' 加拿大'],['基思·贝尔曼'],['93'],['09'],"['玛丽亚·贝罗', '凯尔·麦克拉克伦', '泰勒·辛克森', '彼德·奥德博拉治', '达伦·曼恩', '乔什·维金斯', '妮娅姆·威尔逊', '基亚娜·马德拉', '奥利维亚·斯克里文', '卡尔森·迈克马克', '李康宁', '杰夫·克拉克', '海莉·基特尔', '史蒂芬·穆尔', '埃文·马什', '特洛伊·布德罗']",['小小巨人 Giant Little Ones'],"['剧情', '同性']",['7.3'],['1264'],[' 英语']
[' 英国 / 比利时 / 意大利 / 德国'],['鲁伯特·艾弗雷特'],['105'],"['01', '06']","['鲁伯特·艾弗雷特', '科林·费尔斯', '艾米丽·沃森', '科林·摩根', '埃德温·托马斯', '汤姆·威尔金森', '安娜·钱斯勒', '朱利安·沃德姆', '碧翠斯·黛尔', '安德烈·彭文', '约书亚·麦圭尔', '克里斯蒂安·布朗查特', '奥利弗·凯特', '罗纳德·皮卡普', '约翰·斯坦丁', '本杰明·沃辛', '丹尼尔·韦曼']",['快乐王子 The Happy Prince'],"['剧情', '同性', '传记']",['7.2'],['3983'],[' 英语 / 意大利语 / 法语']
[' 澳大利亚'],['杰弗里·沃克'],['105'],['02'],"['达蒙·海瑞曼', '凯特·波克斯', '泽维尔·塞缪尔', '杰西卡·德·古维', '乔什·邝·塔特', '本尼迪克·哈迪', '汉娜·曼根·劳伦斯', '肖恩·马丁代尔']",['暴动彩虹 Riot'],"['剧情', '同性']",['7.2'],['278'],[' 英语']
[' 巴拉圭 / 德国 / 乌拉圭 / 巴西 / 挪威 / 法国'],['马塞洛·马蒂内斯'],['98'],"['02', '04']","['安娜·布伦', '玛加丽塔·伊伦', '安娜·伊万娜娃', '尼尔达·冈萨雷斯', '玛丽亚·马丁斯', '阿丽西亚·格拉', '海吉娜·杜阿尔奇']",['女继承者 Las herederas'],"['剧情', '同性']",['7.2'],['1799'],[' 西班牙语 / 瓜拉尼语']
[' 波兰'],['欧嘉·查达斯'],['130'],['01'],"['朱莉娅·基乔斯卡', '伊莱扎·莱辛姆波', '安德烈·卡诺普卡', '卡塔兹娜·格尼夫克斯加', '玛丽亚·佩斯泽克', '塔蒂阿娜·保霍福娃']",['妮娜 Nina'],"['剧情', '爱情', '同性']",['7.1'],['2342'],[' 波兰语 / 法语']
[' 阿根廷'],['马丁·迪乌斯'],['90'],['11'],"['安杰洛·穆蒂·斯皮內塔', '劳塔罗‧罗德里格斯', '吉列尔莫·普宁', '玛丽安娜·安希列里', '本尼西奥·穆蒂·斯皮内塔', '罗曼娜·亚历山德拉·古利奇', '雷娜塔·利兹']",['最好的朋友 Mi mejor amigo'],"['剧情', '同性']",['7.1'],['2000'],[' 西班牙语']
[' 爱尔兰'],['约翰·巴特勒 John Butler'],['98'],['09'],"['马特·波莫', 'Alejandro Patiño', 'Elena Campbell-Martinez', 'Shaughn Buchholz']",['糖心爹地 Papi Chulo'],"['喜剧', '同性']",['7.1'],['210'],[' 英语']
[' 巴西'],"['菲利普·马泽蒙巴彻尔', '马西奥·海奥隆']",['118'],['02'],"['希科·梅尼加特', '布鲁诺·费尔南德斯', '盖加·佩克索托', '桑德拉·达妮', '弗雷德里科·瓦斯奎斯']",['涂样人生 Tinta Bruta'],"['剧情', '同性']",['7.1'],['1035'],[' 葡萄牙语']
