地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 香港'],['黄子华'],['160'],['07'],['黄子华'],['黄子华栋笃笑之金盘�口 黄子华栋笃笑之金盆啷口'],['喜剧'],['9.4'],['785'],[' 粤语']
[' 澳大利亚'],"['乔恩·欧布', '玛德琳·帕里']",['69'],['06'],['汉纳·盖茨比'],['汉纳·盖茨比告别秀：娜娜 Hannah Gadsby: Nanette'],"['喜剧', '脱口秀']",['9.3'],['2217'],[' 英语']
[' 英国'],[],[],['09'],['Daniel Sloss'],['丹尼尔·斯洛斯：现场表演 Daniel Sloss: Live Shows'],['喜剧'],['9.2'],['834'],[' 英语']
[' 日本'],[],['14'],['12'],"['金田朋子', '高桥李依', '米泽圆', '坂本真绫', '能登麻美子', '大久保瑠美', '斋藤千和', '种田梨沙', '丹下樱', '野中蓝', '小见川千明']",['从漫画了解！Fate/Grand Order マンガで分かる！Fate/Grand Order'],"['喜剧', '动画']",['9.1'],['179'],[' 日语']
[' 美国'],[],['11'],['07'],"['杰里米·沙达', '约翰·迪·玛吉欧', '汤姆·肯尼', '奥利维亚·奥尔森', '贾斯汀·罗兰', '海登·瓦尔希', '彭德尔顿·沃德']",['探险活宝之钻石与柠檬 Adventure Time: Diamonds and Lemons'],"['喜剧', '动画']",['9.1'],['73'],[' 英语']
[' 中国大陆'],['文牧野'],['117'],"['07', '06']","['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']",['我不是药神'],"['剧情', '喜剧']",['9.0'],['1138892'],[' 汉语普通话 / 英语 / 上海话 / 印地语']
[' 美国'],['彼得·法雷里'],['130'],"['09', '11']","['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·海耶斯·库瑞', '托尼亚·马尔多纳多']",['绿皮书 Green Book'],"['剧情', '喜剧', '传记']",['8.9'],['686098'],[' 英语 / 意大利语 / 俄语 / 德语']
[' 日本'],['高柳滋仁'],['25'],['07'],"['小山力也', '阪口大助', '中井和哉', '宫本充', '小林优', '内田雄马']",['血界战线 Back2Back OAD 血界戦線 Back2Back OAD'],"['喜剧', '动作', '奇幻']",['8.7'],['90'],[' 日语']
[' 日本'],['赤城博昭'],['24'],['07'],"['高桥李依', '梶裕贵', '小原好美', '市道真央', '小仓唯', '内田雄马', '小岩井小鸟', '落合福嗣', '冈本信彦']",['擅长捉弄人的高木同学OVA：水滑梯 からかい上手の高木さん OVA 「ウォーター・スライダー」'],"['喜剧', '爱情', '动画']",['8.7'],['322'],[' 日语']
[' 美国'],['John L. Spencer'],['79'],['03'],['瑞奇·热维斯'],['瑞奇·热维斯：人性 Ricky Gervais: Humanity'],['喜剧'],['8.7'],['1067'],[' 英语']
[' 美国'],[],['42'],['01'],['柯南·奥布莱恩'],['柯南无国界：海地特辑 Conan Without Borders: Haiti'],"['喜剧', '脱口秀']",['8.7'],['62'],[' 英语']
[' 美国'],[],[],['03'],"['比尔·哈德尔', '拱廊之火', '约翰·木兰尼', '弗莱德·阿米森', '约翰·古德曼']",['Saturday Night Live Bill Hader/Arcade Fire'],['喜剧'],['8.6'],['109'],[' 英语']
[' 美国'],[],[],['05'],"['唐纳德·格洛弗', 'Childish Gambino']",['周六夜现场：唐纳德·格洛弗 Saturday Night Live Donald Glover/Childish Gambino'],['喜剧'],['8.6'],['270'],[' 英语']
[' 日本'],['川面真也'],['71'],['08'],"['小岩井小鸟', '村川梨衣', '佐仓绫音', '阿澄佳奈', '名塚佳织', '佐藤利奈', '福圆美里', '新谷良子', '下地紫野', '平松晶子', '筱原惠美', '绫濑有']",['悠哉日常大王剧场版：假期活动 劇場版 のんのんびより ばけーしょん'],"['喜剧', '动画']",['8.6'],['1549'],[' 日语']
