地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['安藤正臣'],['24'],['06'],"['松田利冴', '下地紫野', '松风雅也', '新谷真弓', '津田健次郎', '内山夕实', '市道真央', '後藤啓介']",['哈库梅伊与蜜珂析OVA：螺丝与床 / 地炉与博弈 ハクメイとミコチOVA「ネジとベッド と 囲炉裏と博打」'],"['动画', '奇幻']",['9.2'],['221'],[' 日语']
[' 日本'],['高柳滋仁'],['25'],['07'],"['小山力也', '阪口大助', '中井和哉', '宫本充', '小林优', '内田雄马']",['血界战线 Back2Back OAD 血界戦線 Back2Back OAD'],"['喜剧', '动作', '奇幻']",['8.7'],['90'],[' 日语']
[' 日本'],['立川让'],['60'],['03'],"['伊藤节生', '樱井孝宏', '大塚明夫', '入野自由']",['灵能百分百 REIGEN モブサイコ100 REIGEN ～知られざる奇跡の霊能力者～'],"['动画', '奇幻']",['8.7'],['3087'],[' 日语']
[' 意大利 / 瑞士 / 法国 / 德国'],['阿莉切·罗尔瓦赫尔'],['127'],"['05', '05']","['阿德里亚诺·塔尔迪奥洛', '阿涅塞·格拉齐亚尼', '卢卡·奇科瓦尼', '阿尔巴·罗尔瓦赫尔', '塞尔希·洛佩斯', '纳塔利诺·巴拉索', '托马索·拉尼奥', '尼可莱塔·布拉斯基', '达里亚·帕斯卡·阿托利尼', '达维德·登奇', '帕斯夸丽纳·斯昆恰']",['幸福的拉扎罗 Lazzaro felice'],"['剧情', '奇幻']",['8.6'],['59145'],[' 意大利语']
[' 日本'],['新房昭之'],['148'],['11'],"['神谷浩史', '斋藤千和', '加藤英美里', '泽城美雪', '花泽香菜', '堀江由衣', '喜多村英梨', '井口裕香', '早见沙织', '井上麻里奈', '坂本真绫', '水桥香织', '根谷美智子']",['续·终物语 続・終物語'],"['剧情', '动画', '奇幻']",['8.6'],['1151'],[' 日语']
[' 韩国'],['李章焄'],['132'],['03'],"['苏志燮', '孙艺珍', '金智焕', '金贤秀', '李有镇', '高昌锡', '李俊赫', '孙云恩', '裴侑蓝']",['现在去见你 지금 만나러 갑니다'],"['剧情', '爱情', '奇幻']",['8.2'],['55503'],[' 韩语']
[' 美国'],"['安东尼·罗素', '乔·罗素']",['149'],"['05', '04', '04']","['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林', '佐伊·索尔达娜', '本尼迪克特·康伯巴奇', '克里斯·帕拉特', '汤姆·赫兰德', '伊丽莎白·奥尔森', '保罗·贝坦尼', '斯嘉丽·约翰逊', '查德维克·博斯曼', '塞巴斯蒂安·斯坦', '唐·钱德尔', '汤姆·希德勒斯顿', '安东尼·麦凯', '本尼迪克特·王', '戴夫·巴蒂斯塔', '布莱德利·库珀', '范·迪塞尔', '凯伦·吉兰', '利蒂希娅·赖特', '庞·克莱门捷夫', '凯莉·库恩', '汤姆-沃恩-劳勒', '海登·瓦尔希', '迈克尔·詹姆斯·肖', '泰瑞·诺塔里', '本尼西奥·德尔·托罗', '彼特·丁拉基', '罗斯·马昆德', '丹娜·奎里拉', '温斯顿·杜克', '弗洛伦丝·卡松巴', '塞缪尔·杰克逊', '雅各布·巴特朗', '斯坦·李']",['复仇者联盟3：无限战争 Avengers: Infinity War'],"['动作', '科幻', '奇幻', '冒险']",['8.1'],['589704'],[' 英语']
[' 美国'],"['菲尔·约翰斯顿', '瑞奇·摩尔']",['112'],"['11', '11']","['约翰·C·赖利', '萨拉·西尔弗曼', '盖尔·加朵', '塔拉吉·P·汉森', '杰克·麦克布瑞尔', '简·林奇', '艾伦·图代克', '阿尔弗雷德·莫里纳', '艾德·奥尼尔', '肖恩·吉布朗尼', '弗卢拉·博格', '蒂莫西·西蒙斯', '黄阿丽', '韩秘书·布雷克', '葛洛泽尔·格林', '瑞贝卡·薇索基', '山姆·理查森', '雅布其·杨-怀特', '莫里斯·拉马奇', '梅丽莎·维拉斯诺', '凯蒂·洛斯', '贾米·埃曼', '霍拉提奥·桑斯', '亚历克斯·莫法特', '琼·斯奎布', '德拉·萨巴', '菲尔·约翰斯顿', '约翰·迪·玛吉欧', '瑞奇·摩尔', '科琳·巴林杰', '达尼·费尔南德斯', '蒂芙妮·赫雷拉', '阿娜·奥缇兹', '迪安娜·阿格隆', '杰森·曼兹沃克斯', '雷蒙德·S·佩尔西', '伏霞', '罗杰·克莱格·史密斯', '蒂姆·艾伦', '布拉德·加内特', '安东尼·丹尼尔斯', '科里·伯顿', '范·迪塞尔', '维韦卡·波林', '迈克·吉亚奇诺', '凯文·迪特斯', '尼可·斯彻金格', '丹·雷诺斯', '艾琳·贝达', '克里斯汀·贝尔', '裘蒂·班森', '奥丽伊·卡瓦洛', '詹妮弗·黑尔', '凯特·希金斯', '琳达·拉金', '凯莉·麦克唐纳', '伊迪娜·门泽尔', '曼迪·摩尔', '佩吉·奥哈拉', '帕米拉·里本', '阿尼卡·诺尼·罗斯', '温明娜', '珍妮卡·贝尔格雷', '比尔·哈德尔']",['无敌破坏王2：大闹互联网 Ralph Breaks the Internet'],"['喜剧', '动画', '奇幻', '冒险']",['8.1'],['232283'],[' 英语']
[' 日本'],"['大森贵弘', '伊藤秀树']",['104'],['09'],"['神谷浩史', '井上和彦', '高良健吾', '小林沙苗', '泽城美雪', '石田彰', '藤村步', '村濑步', '伊藤美纪', '伊藤荣次', '堀江一真', '佐藤利奈', '木村良平', '菅沼久义', '雪野五月', '川澄绫子', '樋口晓里', '冈村明美', '黑田崇矢', '长岛雄一', '松山鹰志', '下崎纮史', '知桐京子', '岛本须美']",['夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～'],"['剧情', '动画', '奇幻']",['8.0'],['70676'],[' 日语']
[' 日本'],['石田祐康'],['117'],['08'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['企鹅公路 ペンギン・ハイウェイ'],"['动画', '奇幻', '冒险']",['7.9'],['12401'],[' 日语']
[' 中国大陆'],['周浩晖'],['94'],['11'],"['葛布', '刘浩', '王初伊', '黄垲翔']",['天方异谈'],"['剧情', '悬疑', '奇幻']",['7.6'],['5359'],[' 汉语普通话']
[' 美国 / 澳大利亚'],['温子仁'],['143'],"['12', '12']","['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼', '杜夫·龙格尔', '叶海亚·阿卜杜勒-迈丁', '特穆拉·莫里森', '林路迪', '迈克尔·比奇', '兰道尔·朴', '格拉汉姆·麦克泰维什', '雷·沃纳尔', '泰努伊·柯克伍德', '塔穆尔·柯克伍德', '丹泽尔·夸克', '卡恩·古尔杜尔', '奥蒂斯·丹吉', '克考亚·克库毛诺', '朱莉·安德鲁斯', '约翰·瑞斯-戴维斯', '杰曼·翰苏', '索菲亚·福雷斯特', '娜塔莉亚·姗福瑞', '杰克·安德鲁', '汉克·阿莫斯', '帕特里克·考克斯', '罗伯特·朗斯特里特', '德维卡·帕利赫', '梅布尔·塔莫内', '文森特·B·拉戈斯', '加布里埃拉·佩特科娃', '爱丽丝·兰斯伯里', '帕特里克·艾奇逊', '约翰·盖蒂尔', '塔丽亚·杰德·霍尔特', '罗斯·克纳汉', '布拉登·刘易斯', '萨尔瓦多·梅伦达', '山姆·莫纳汉', '温妮·穆赞贝', '凯·潘塔诺', '安娜·帕奇', '乔恩·奎斯蒂德', '迪伦·斯图默', '米奇·武尔夫']",['海王 Aquaman'],"['动作', '奇幻', '冒险']",['7.6'],['606175'],[' 英语 / 毛利语 / 意大利语 / 俄语']
[' 日本'],['郑义信'],['151'],['02'],"['石原里美', '铃木浩介', '村上虹郎', '山内圭哉', '藤原季节', '山田詹姆斯武', '福山康平', '风间由次郎']",['秘密结晶 密やかな結晶'],"['剧情', '奇幻']",['7.6'],['112'],[' 日语']
[' 美国'],['道格·墨菲'],['90'],['10'],"['马特·瑞安', '达米恩·奥哈尔', '劳拉·贝莉', '艾米丽·奥布莱恩', '罗宾·阿特金·唐斯', '雷切尔·金西', '吉姆·麦司奇门', '凯文·迈克尔·理查德森']",['康斯坦丁：恶魔之城 电影版 Constantine City of Demons: The Movie'],"['动画', '恐怖', '奇幻']",['7.5'],['5819'],[' 英语']
[' 韩国'],['金容华'],['142'],['08'],"['河正宇', '朱智勋', '马东锡', '金香起', '李政宰', '赵汉哲', '金明坤 ', '金东旭', '郑惟安', '都暻秀']",['与神同行2：因与缘 신과함께-인과 연'],"['动作', '奇幻']",['7.5'],['59297'],[' 韩语']
[' 日本'],['渡边政治'],['60'],['10'],"['小林裕介', '高桥李依', '内山夕实', '水濑祈', '村川梨衣', '新井里美', '子安武人']",['Re：从零开始的异世界生活 Memory Snow Re:ゼロから始める異世界生活 Memory Snow'],"['动画', '奇幻']",['7.5'],['354'],[' 日语']
