地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['是枝裕和'],['117'],"['08', '05', '06']","['中川雅也', '安藤樱', '松冈茉优', '城桧吏', '佐佐木美结', '树木希林', '绪形直人', '池松壮亮', '森口瑶子', '山田裕贵', '片山萌美', '柄本明', '高良健吾', '池胁千鹤']",['小偷家族 万引き家族'],"['剧情', '家庭', '犯罪']",['8.7'],['413783'],[' 日语']
[' 墨西哥 / 美国'],['阿方索·卡隆'],['135'],"['08', '12']","['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']",['罗马 Roma'],"['剧情', '家庭']",['8.2'],['78266'],[' 西班牙语 / 米斯特克语 / 英语']
[' 日本'],['山田洋次'],['123'],"['04', '05']","['桥爪功', '吉行和子', '西村雅彦', '夏川结衣', '中岛朋子', '林家正蔵', '妻夫木聪', '苍井优', '藤山扇治郎', '广冈由里子', '北山雅康', '大沼柚希', '小林飒', '小川绘莉', '徳永雄辉', '小林稔侍', '风吹淳', '木场胜己', '立川志らく', '笹野高史', '笑福亭鹤瓶']",['家族之苦3 妻よ薔薇のように 家族はつらいよIII'],"['喜剧', '家庭']",['7.9'],['10573'],[' 日语']
[' 韩国'],['房秀吟'],['91'],['04'],"['李顺载', '郑志薰', '张光', '成秉淑', '车顺裴', '金广植', '柳圣贤', '郑基燮', '尹颂雅', '金炳哲', '韩宝贝']",['德九 덕구'],"['剧情', '家庭']",['7.7'],['2473'],[' 韩语']
[' 中国大陆'],['松太加'],['109'],"['10', '06']","['容中尔甲', '尼玛颂宋', '赛却加']",['阿拉姜色'],"['剧情', '家庭']",['7.6'],['13928'],[' 藏语']
[' 中国大陆'],['霍猛'],['93'],['10'],"['杨太义', '李云虎 ', '万众 ', '聂栋才 ']",['过昭关'],"['剧情', '家庭', '儿童']",['7.5'],['3442'],[' 河南方言']
[' 中国大陆'],['吕乐'],['102'],"['10', '06']","['姚晨', '马伊琍', '袁文康', '吴昊宸', '王梓尘', '陶昕然', '高叶', '齐欢']",['找到你'],"['剧情', '家庭']",['7.4'],['146965'],[' 汉语普通话']
[' 台湾'],['崔永徽\u200b\u200b'],['96'],['06'],"['黄尚禾', '钟家骏', '李凤英', '張靈']",['只有大海知道'],"['剧情', '歌舞', '家庭', '儿童']",['7.1'],['271'],[' 汉语普通话']
[' 中国大陆 / 美国'],"['赵锐', '克里斯托弗·詹金斯']",['90'],"['03', '08']","['赵路', '武皓栋', '殷筱瑜', '金蝉妃', '童自荣', '吴磊', '赵乾景', '李传缨', '姜玉玲', '曹真', '王肖兵']",['妈妈咪鸭'],"['喜剧', '动画', '家庭', '冒险']",['7.1'],['16885'],[' 汉语普通话 / 英语']
[' 法国'],['吉勒斯·戴·迈斯特'],['98'],['12'],"['丹尼·戴·维利尔斯', '梅拉尼·罗兰', '兰利·柯克伍德', '赖恩·麦克·伦南', '布兰登·奥雷']",['米娅和白狮 Mia et le Lion Blanc'],"['家庭', '冒险']",['7.0'],['453'],[' 法语']
[' 韩国'],['金成浩'],['103'],['03'],"['李钟赫', '金成恩']",['妈妈的笔记本 엄마의 공책'],"['剧情', '家庭']",['6.8'],['185'],[' 韩语']
[' 中国大陆'],['杨明明'],['117'],['02'],"['耐安', '张献民', '杨明明', '李勤勤', '黄卫', '袁丽', '李文波']",['柔情史'],"['剧情', '家庭']",['6.7'],['3265'],[' 汉语普通话']
[' 韩国'],['KIM Jongwoo'],['102'],['05'],"['李孝制', '许俊硕', '林泰丰', '金河娜']",['家 홈'],"['剧情', '家庭']",['6.6'],['176'],[' 韩语']
[' 印度'],['阿米特·沙玛'],['135'],['10'],"['阿尤斯曼·库拉纳', '桑亚·玛荷塔', '尼娜·古普塔', '加杰拉杰·饶', '谢巴·查达', '苏雷卡·西克里', '沙杜尔·拉纳', '拉胡尔·特瓦里', '阿伦·卡拉', '阿尔卡·阿明', '马诺·巴克什', '阿尔卡·芭朵拉·卡肖尔', '维米·梅塔']",['喜得千金 Badhaai Ho'],"['剧情', '喜剧', '爱情', '家庭']",['6.6'],['788'],[' 印地语']
[' 日本'],['郑义信'],['126'],['06'],"['真木阳子', '井上真央', '樱庭奈奈美', '大泉洋', '大谷亮平', '宇野祥平', '根岸季衣', '李静恩', '金相浩']",['烧肉龙 焼肉ドラゴン'],"['剧情', '家庭']",['6.5'],['1026'],[' 日语']
[' 中国大陆'],['彭力'],['91'],"['02', '05']","['奶瓶', '康潇诺', '高婷婷', '陈一榕', '魏子涵', '亓小飞']",['小狗奶瓶'],"['家庭', '儿童']",['6.5'],['600'],[' 汉语普通话']
[' 英国'],['曼迪·弗莱彻'],['95'],"['11', '06']","['比蒂·埃德蒙森', '艾德·斯克林', '米兰卡·布鲁克斯', '杰玛·琼斯', '切瑞·朗吉', '艾米丽·阿塔克', '彼得·戴维森', '艾米莉亚·琼斯', '珍妮弗·桑德斯', '阿德里安·斯卡伯勒', '伯纳德·克理宾斯']",['我的冤家是条狗 Patrick'],"['喜剧', '家庭']",['6.4'],['7345'],[' 英语']
