地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 智利 / 德国'],"['乔奎因·科西纳', '克里斯托弗·列昂']",['75'],['02'],"['阿玛莉亚·卡西尼', '雷纳·克劳斯']",['狼屋 La casa lobo'],"['剧情', '动画', '恐怖']",['8.0'],['2453'],[' 西班牙语 / 德语']
[' 美国'],['斯蒂芬·思科'],['92'],"['03', '07']","['科林·伍德尔', '斯蒂芬妮·诺格拉斯', '瑞贝卡·瑞滕豪斯', '安德鲁斯·李斯', '贝蒂·加布里埃尔', '康纳·戴尔·里奥', '萨维拉·温蒂亚尼', '切尔西·阿尔登', '道格拉斯·泰特', '阿什顿·斯迈利', '阿历萨·芒索']",['解除好友2：暗网 Unfriended: Dark Web'],"['恐怖', '犯罪']",['7.9'],['109072'],[' 英语']
[' 美国'],['道格·墨菲'],['90'],['10'],"['马特·瑞安', '达米恩·奥哈尔', '劳拉·贝莉', '艾米丽·奥布莱恩', '罗宾·阿特金·唐斯', '雷切尔·金西', '吉姆·麦司奇门', '凯文·迈克尔·理查德森']",['康斯坦丁：恶魔之城 电影版 Constantine City of Demons: The Movie'],"['动画', '恐怖', '奇幻']",['7.5'],['5819'],[' 英语']
[' 美国'],['鲍兹·亚金'],['111'],['08'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['寄宿学校 Boarding School'],"['悬疑', '恐怖']",['7.3'],['36230'],[' 英语']
[' 日本'],"['植田泰史', '中村亮太']",['106'],['05'],"['三浦春马', '白石麻衣']",['世界奇妙物语 2018年春季特别篇 世にも奇妙な物語 ’18春の特別編'],"['科幻', '悬疑', '惊悚', '恐怖']",['7.3'],['8115'],[' 日语']
[' 美国'],['阿里·艾斯特'],['127'],"['01', '06']","['亚历克斯·沃尔夫', '加布里埃尔·伯恩', '托妮·科莱特', '米莉·夏普洛', '克里斯蒂·萨默海斯', '摩根·伦德', '马洛里·贝克特尔', '杰克·布朗', '布赖恩·拉谢尔', '海蒂·门德兹', '莫伊塞斯 L·托瓦', '贾罗德·菲利普斯', '安·唐德', '布罗克·麦金尼', '扎克瑞·亚瑟', '奥斯丁·R·格兰特']",['遗传厄运 Hereditary'],"['悬疑', '惊悚', '恐怖']",['7.1'],['78951'],[' 英语']
[' 法国'],['巴斯卡·劳吉哈'],['91'],['03'],"['克里斯塔尔·里德', '玛莲·法莫', '阿纳斯塔西娅·菲利普斯', '艾米莉亚·琼斯', '泰勒·辛克森', '凯文·泡尔', '罗布·阿切尔', 'Mariam Bernstein', '艾丽西亚·约翰斯顿', '埃内斯托·格里菲思', '亚当·哈蒂格', '丹尼斯·科齐', '沙龙·巴杰', '托尼·布拉加', '保罗·特利', '戈登·坦纳', '埃里克·阿塔瓦尔', '保罗·布莱恩特', '泰瑞·雷', '苏珊娜·普林格尔', '马利克·劳吉尔', '安吉拉·阿瑟']",['噩梦娃娃屋 Ghostland'],"['悬疑', '惊悚', '恐怖']",['7.0'],['13212'],[' 英语 / 法语']
[' 美国'],['杰夫·伍尔诺'],['60'],['12'],"['琪兰·席普卡', '罗斯·林奇', '露茜·戴维斯', '钱斯·佩尔多莫', '洁丝·辛克莱', '米歇尔·戈麦兹', '塔蒂·加布里埃', '阿德莱恩·鲁道夫', '理查德·柯伊尔', '米兰达·奥图', '阿比盖尔·F·考恩', '杰迪代亚·古达克', '麦肯娜·格瑞丝', '布莱恩·马克金森', '希瑟·多克森', '阿德里安·霍夫', '达伦·曼恩', '克里斯托弗·罗莎蒙德', '安妮特·赖利']",['萨布丽娜的惊心冒险：圣诞特别集 Chilling Adventures of Sabrina: A Midwinter&#39;s Tale'],"['剧情', '恐怖', '奇幻']",['6.8'],['592'],[' 英语']
[' 日本'],['中岛哲也'],['134'],['12'],"['冈田准一', '黑木华', '小松菜奈', '松隆子', '妻夫木聪', '石田惠理', '青木崇高', '柴田理惠', '仲野太贺', '志田爱珠', '蜷川美穗', '伊集院光']",['来了 来る'],"['悬疑', '惊悚', '恐怖']",['6.7'],['235'],[' 日语']
[' 意大利 / 美国'],['卢卡·瓜达尼诺'],['152'],"['09', '11']","['达科塔·约翰逊', '蒂尔达·斯文顿', '科洛·莫瑞兹', '米娅·高斯', '杰西卡·哈珀', '西尔维·泰斯蒂', '安吉拉·温科勒', '玛高莎·贝拉', '英格丽·卡文']",['阴风阵阵 Suspiria'],"['惊悚', '恐怖']",['6.7'],['19604'],[' 英语 / 德语 / 法语']
[' 美国'],['罗伯·劳'],['84'],['09'],"['麦肯娜·格瑞丝', '卡拉·布欧诺', '罗伯·劳', '帕蒂·麦克马科', '莎拉·杜格代尔', '凯特·艾萨克', '肖娜·约翰尼森', '卢克·勒斯勒尔', '约翰·埃梅特·特雷西', '艾玛·梅里纳', '玛茜·T·豪斯', '洛恩·卡迪纳尔']",['坏种 The Bad Seed'],"['剧情', '悬疑', '恐怖']",['6.7'],['8443'],[' 英语']
[' 中国大陆'],"['韩彦博', '裴魁山', '刘淌', '赵强']",['97'],['01'],"['卢野', '陈玺旭', '周觅', '裴魁山', '严坤']",['的士诡谈'],"['喜剧', '悬疑', '恐怖']",['6.6'],['514'],[' 汉语普通话']
[' 法国'],['多米尼克·罗彻'],['93'],['03'],"['安德斯·丹尼尔森·李', '格什菲·法拉哈尼', '德尼·拉旺', '西格丽·博阿茨兹', '大卫·卡门诺斯']",['黑夜吞噬世界 La nuit a dévoré le monde'],['恐怖'],['6.5'],['3333'],[' 挪威语 / 英语']
[' 美国'],['史蒂文·索德伯格'],['98'],"['02', '03']","['乔舒华·莱纳德', '克莱尔·芙伊', '莎拉·斯蒂尔斯', '马克·库迪奇', '艾米·欧文', '科林·伍德尔', '迈拉·卢克利希亚·泰勒', '琳达·茂泽', '扎克·切利', '波莉·麦基', '杰·费罗尔', '劳尔·卡斯提洛', '朱诺·坦普尔', '迈克尔·米姆', '罗伯特·凯利', '吉普森·弗雷泽', '埃林·维赫米', '艾米·穆林斯', '约瑟夫·莱迪']",['失心病狂 Unsane'],"['剧情', '惊悚', '恐怖']",['6.5'],['3378'],[' 英语']
[' 美国 / 加拿大'],['朱利叶斯·艾弗里'],['110'],"['09', '11']","['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']",['霸主 Overlord'],"['动作', '科幻', '恐怖', '战争']",['6.5'],['14004'],[' 英语 / 俄语 / 法语 / 德语']
[' 美国'],['加雷斯·埃文斯'],['130'],['10'],"['丹·史蒂文斯', '麦克·辛', '露西·宝通', '比尔·米尔纳', '理查德·艾尔芬', '克里斯汀·弗劳赛斯', '马克·路易斯·琼斯', '埃伦·里斯', '保罗·希金斯', '罗斯·奥亨尼西', '斯图尔特·麦克尼尔', '安妮斯·埃尔维']",['使徒 Apostle'],"['悬疑', '惊悚', '恐怖']",['6.3'],['3846'],[' 英语']
[' 美国'],['约翰·卡拉辛斯基'],['90'],"['05', '03', '04']","['艾米莉·布朗特', '约翰·卡拉辛斯基', '米利森特·西蒙兹', '诺亚·尤佩', '凯德·伍德沃德', '里昂·拉瑟姆', '桃乐丝·麦卡锡']",['寂静之地 A Quiet Place'],"['惊悚', '恐怖']",['6.3'],['199289'],[' 美国手语 / 英语']
[' 美国'],['杰夫·瓦德洛'],['100'],['04'],"['露西·海尔', '泰勒·珀西', '维奥莱特·比恩', '司徒颂曦', '索菲娅·阿里', '诺兰·杰拉德·冯克', '兰登·莱伯隆', '山姆·勒纳', '汤姆·蔡', '奥罗拉·佩里纽', '格雷格·丹尼尔', '布莱德利·史密斯', '维拉·泰勒', '埃兹·加西亚', '安德鲁·霍华德', '奥马尔·莱瓦', '莱斯莉·斯特拉顿', '查森·班克斯', '玛茜·简', '亚历山大·罗伯茨', '艾莉·劳弗', '摩根·林霍尔姆', '鲁本·加菲亚斯', '布拉德利·斯内德克', '蒂姆·内夫', '乔·奥克曼', '塞拉·希乌尔曼', '多米尼克·韦德']",['真心话大冒险 Truth or Dare'],"['惊悚', '恐怖']",['6.1'],['6810'],[' 英语']
[' 美国 / 加拿大'],['亚当·罗比特尔'],['103'],['01'],"['林·沙烨', '雷·沃纳尔', '安格斯·桑普森', '柯克·埃斯沃多', '凯特琳·杰拉德', '史宾塞·洛克', '乔什·斯图沃特', '特莎·费勒', '阿勒奎·里德', '艾娃·寇克尔', '皮尔斯·波普', '布鲁斯·戴维森', '哈维尔·博泰特', '马库斯·亨德森', '阿曼达·亚罗斯']",['潜伏4：锁命亡灵 Insidious: The Last Key'],"['惊悚', '恐怖']",['6.1'],['11745'],[' 英语']
