地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利'],['斯蒂法诺·摩尔蒂尼'],['102'],['12'],"['里卡多·斯卡马乔', '米莱姆·里昂', '马丽娅·派雅托', '法布里齐奥·本蒂沃利奥', '萨拉·卡迪纳莱蒂', '尼古拉·潘内利', '塞尔吉奥·罗马诺', '阿斯卡尼奥·巴尔博', '保罗·桑博', '杰拉尔多·德布拉西奥', '亚历山德拉·卡里略']",['看不见的客人(意大利版) Il testimone invisibile'],"['剧情', '悬疑', '惊悚', '犯罪']",['9.0'],['3740'],[' 意大利语']
[' 美国 / 俄罗斯'],['阿尼什·查甘蒂'],['102'],"['12', '01', '08']","['约翰·赵', '米切尔·拉', '黛博拉·梅辛', '约瑟夫·李', '萨拉·米博·孙', '亚历克丝·杰恩·高', '刘玥辰', '刘卡雅', '多米尼克·霍夫曼', '西尔维亚·米纳西安', '梅丽莎·迪斯尼', '康纳·麦克雷斯', '科林·伍德尔', '约瑟夫·约翰·谢尔勒', '阿什丽·艾德纳', '考特尼·劳伦·卡明斯', '托马斯·巴布萨卡', '朱莉·内桑森', '罗伊·阿布拉姆森', '盖奇·比尔托福', '肖恩·奥布赖恩', '瑞克·萨拉比亚', '布拉德·阿布瑞尔', '加布里埃尔·D·安吉尔']",['网络谜踪 Searching'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.6'],['285614'],[' 英语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['428939'],[' 印地语']
[' 中国大陆'],"['潘礼平', '奉万里', '胡昀皓', '陈功']",[],['05'],"['祁晟原', '刘戴恩', '释小松', '陈荣达', '余亚颖', '杨知周', '葛奕德', '刘紫璇', '周冉', '开新傲', '李俊豪', '程子阳', '万子晴', '陈禹衡', '姜巧慧', '罗熙怡', '蔡嘉诚', '魏雨祺', '高一杰', '戴豪键', '汤子豪', '喻峰', '张伊凡', '徐雨旋', '李冰城', '杨梦瑶', '周依萱', '吴爽', '叶思文', '徐佳蕊', '林立涵', '卢亦豪', '黄涵雨', '张允钊', '高锡华', '齐森昊', '欧家杜', '郑树森', '黄敬棋', '姜米珈', '赵紫彤', '林宜婧']",['小戏骨：包青天之秦香莲与陈世美'],"['剧情', '悬疑', '儿童', '历史', '古装']",['8.2'],['607'],[' 汉语普通话']
[' 中国大陆 / 香港'],['庄文强'],['130'],"['09', '10']","['周润发', '郭富城', '张静初', '冯文娟', '廖启智', '周家怡', '王耀庆', '方中信', '高捷', '邢佳栋', '张松枝', '张建声', '吴嘉龙', '孙佳君']",['无双 無雙'],"['剧情', '动作', '悬疑', '犯罪']",['8.1'],['608284'],[' 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语']
[' 美国'],['克林特·伊斯特伍德'],['116'],['12'],"['克林特·伊斯特伍德', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz', 'Jackie Prucha', '理查德·赫德', 'Adam Drescher', 'Christi McClintock', 'Keith Flippen', '艾莉森·伊斯特伍德', '黛安·韦斯特', '乔·奈泽维奇', '泰莎·法米加', '维克多·罗塞克', '罗伯特·拉萨多', '劳伦斯·菲什伯恩', '布莱德利·库珀', '迈克尔·佩纳', '尤金·科德罗', '诺尔·古格雷米', '安迪·加西亚', '小克利夫顿·克林斯', '丹尼尔·蒙卡达', '伊格纳西奥·塞利齐奥', '保罗·阿拉约', '卡里姆·J.格里梅斯', '迭戈·卡塔诺', '迪伦·库斯曼', '皮特·布里斯', '劳恩·迪恩', '曼尼·蒙塔纳', '洛博·塞巴斯蒂安', '泰丝·马里斯·金凯德', '贝琪·阿尔特林格', '蒂莫西·卡尔', '吉尔·弗林特', '凯蒂·吉尔', '杰伦·戈登', '杰伊·古铁雷斯', '塞西尔·M·亨利', '雷·埃尔南德斯', '肖恩·麦克米伦', '德文·奥格登', '帕蒂·舍尔哈斯']",['骡子 The Mule'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.1'],['26242'],[' 英语']
[' 日本'],['福泽克雄'],['119'],['01'],"['阿部宽', '松岛菜菜子', '沟端淳平', '田中丽奈', '木村绿子', '乌丸节子', '春风亭升太', '音尾琢真', '饭丰万理江', '上杉祥三', '中岛博子', '樱田日和', '及川光博', '伊藤兰', '小日向文世', '山崎努', '香川照之', '杏']",['祈祷落幕时 祈りの幕が下りる時'],"['剧情', '悬疑']",['8.0'],['93517'],[' 日语']
[' 韩国'],['李沧东'],['148'],"['05', '05']","['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍']",['燃烧 버닝'],"['剧情', '悬疑']",['7.9'],['154882'],[' 韩语']
[' 西班牙'],['奥里奥尔·保罗'],['128'],['11'],"['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']",['海市蜃楼 Durante la tormenta'],"['科幻', '悬疑', '惊悚']",['7.8'],['184009'],[' 西班牙语']
[' 中国大陆'],['周浩晖'],['94'],['11'],"['葛布', '刘浩', '王初伊', '黄垲翔']",['天方异谈'],"['剧情', '悬疑', '奇幻']",['7.6'],['5359'],[' 汉语普通话']
[' 日本'],['泷本智行'],['119'],['03'],"['岩田刚典', '山本美月', '斋藤工', '浅见伶奈', '北村一辉', '土村芳']",['去年冬天与你分手 去年の冬、きみと別れ'],"['剧情', '悬疑', '犯罪']",['7.6'],['14370'],[' 日语']
[' 日本'],['佐藤祐市'],['112'],['09'],"['土屋太凤', '芳根京子', '横山裕', '筒井真理子', '生田智子', '村井国夫', '檀丽', '浅野忠信']",['深红累之渊 累-かさね-'],['悬疑'],['7.5'],['8222'],[' 日语']
[' 日本'],['城宝秀则'],['155'],['04'],"['野村万斋', '大泉洋', '向井理', '松冈茉优', '秋元才加', '和田正人', '寺胁康文', '藤井隆', '今井朋彦', '吉田羊', '浅野和之', '佐藤二朗', '草刈民代', '余贵美子', '齐藤由贵', '远藤宪一']",['黑井户疑案 黒井戸殺し'],"['剧情', '悬疑', '犯罪']",['7.3'],['2656'],[' 日语']
[' 中国大陆'],['娄烨'],['124'],['11'],"['井柏然', '宋佳', '马思纯', '秦昊', '陈妍希', '张颂文', '陈冠希', '颜卓灵', '王维申', '胡伶', '黄伊凡', '陈伟榕', '单宝中', '梁致力', '罗义民']",['风中有朵雨做的云'],"['剧情', '悬疑', '犯罪']",['7.3'],['234488'],[' 汉语普通话 / 粤语']
[' 韩国'],['朴勋政'],['125'],['06'],"['金多美', '赵敏修', '朴熙顺', '崔宇植', '高敏诗', '吴美姬', '崔政宇', '多恩', '金秉玉', '李柱元', '金河娜', '李基英', '权泰元', '李时勋 ', '白承哲', '袁民奎', '金宗勋', '徐翰洁']",['魔女 마녀'],"['动作', '悬疑']",['7.3'],['22932'],[' 韩语']
[' 日本'],"['植田泰史', '中村亮太']",['106'],['05'],"['三浦春马', '白石麻衣']",['世界奇妙物语 2018年春季特别篇 世にも奇妙な物語 ’18春の特別編'],"['科幻', '悬疑', '惊悚', '恐怖']",['7.3'],['8115'],[' 日语']
[' 美国'],['鲍兹·亚金'],['111'],['08'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['寄宿学校 Boarding School'],"['悬疑', '恐怖']",['7.3'],['36230'],[' 英语']
[' 美国 / 加拿大'],['保罗·费格'],['117'],['09'],"['安娜·肯德里克', '布蕾克·莱弗利', '亨利·戈尔丁', '伊恩·霍', '约书亚·萨坦', '格伦达·布拉甘扎', '安德鲁·兰内斯', '凯利·麦柯马克', '阿帕纳·纳彻', '达斯汀·米利甘', '丹妮尔·布尔贡', '吉亚·桑德赫', '鲁伯特·弗兰德', '诺林·古拉姆高斯', '巴希尔·萨拉赫丁', '梅洛迪·约翰逊', '麦丽莎·奥尼尔', '埃里克·约翰逊', '琳达·卡德里尼', '莎拉·贝克', '珍·斯马特', '莱斯勒·唐纳森', '克里斯·欧文斯', '罗莎娜·斯科托', '多梅尼克·塞纳', '辛迪·戴']",['一个小忙 A Simple Favor'],"['剧情', '悬疑', '犯罪']",['7.2'],['37779'],[' 英语']
[' 丹麦 / 德国'],['克里斯托弗·鲍伊'],['119'],['10'],"['尼古拉·雷·卡斯', '法瑞斯·法瑞斯', '约翰妮·路易斯·施密特', '索伦·比尔马克', '范妮·博内代尔', '克拉拉·罗萨杰', '路易斯·斯科夫', '阿曼达·拉德里亚克', '安德斯·霍夫', '尼可拉斯·布若', '埃利奥特·克罗赛特·霍夫', '碧尔特·诺伊曼', '迈克尔·布罗斯楚普', '玛丽安·霍格斯布罗', '薇比珂·哈斯特伦', '特赖恩·帕里森', '纳斯塔加·阿尔赛', '亨里克·韦斯特加德·尼尔森', '拉多·哈季奇', '安德斯·布林克·马德森', '旺达·佩德尔维茨']",['64号病历 Journal 64'],"['悬疑', '惊悚', '犯罪']",['7.2'],['5470'],[' 丹麦语 / 西班牙语 / 阿拉伯语']
[' 日本'],"['森本浩史', '田崎龙太']",['104'],['10'],"['泽口靖子', '内藤刚志', '宅间孝行', '小堺一机', '秋山ゆずき']",['科搜研之女 2018秋季特别篇 科捜研の女 2018スペシャル'],"['悬疑', '犯罪']",['7.1'],['72'],[' 日语']
[' 美国'],['阿里·艾斯特'],['127'],"['01', '06']","['亚历克斯·沃尔夫', '加布里埃尔·伯恩', '托妮·科莱特', '米莉·夏普洛', '克里斯蒂·萨默海斯', '摩根·伦德', '马洛里·贝克特尔', '杰克·布朗', '布赖恩·拉谢尔', '海蒂·门德兹', '莫伊塞斯 L·托瓦', '贾罗德·菲利普斯', '安·唐德', '布罗克·麦金尼', '扎克瑞·亚瑟', '奥斯丁·R·格兰特']",['遗传厄运 Hereditary'],"['悬疑', '惊悚', '恐怖']",['7.1'],['78951'],[' 英语']
[' 美国'],"['约翰·弗朗西斯·戴利', '乔纳森·M·戈尔茨坦']",['100'],['02'],"['杰森·贝特曼', '瑞秋·麦克亚当斯', '凯尔·钱德勒', ' 莎朗·豪根', '比利·马格努森', '拉蒙尼·莫里斯', '凯莉·班伯里', '杰西·普莱蒙', '迈克尔·C·豪尔', '丹尼·赫斯顿', '切尔西·帕瑞蒂', '卡米利·陈', '泽瑞克·威廉姆斯', '约书亚·米克尔', 'R·F·戴利']",['游戏之夜 Game Night'],"['喜剧', '悬疑', '犯罪']",['7.1'],['38359'],[' 英语']
[' 中国大陆'],['巨兴茂'],['111'],['02'],"['于毅', '何花', '王瑞昌', '岳丽娜', '倪虹洁', '巨兴茂', '鲁佳妮']",['灵魂摆渡·黄泉'],"['悬疑', '惊悚', '奇幻']",['7.1'],['73577'],[' 汉语普通话']
[' 日本'],['原田真人'],['123'],['08'],"['木村拓哉', '二宫和也', '吉高由里子', '松重丰', '大仓孝二', '平岳大', '八岛智人', '矢岛健一', '音尾琢真', '木村绿子', '芦名星', '山崎纮菜', '山崎努']",['检察方的罪人 検察側の罪人'],"['剧情', '悬疑', '犯罪']",['7.0'],['7278'],[' 日语']
[' 法国'],['巴斯卡·劳吉哈'],['91'],['03'],"['克里斯塔尔·里德', '玛莲·法莫', '阿纳斯塔西娅·菲利普斯', '艾米莉亚·琼斯', '泰勒·辛克森', '凯文·泡尔', '罗布·阿切尔', 'Mariam Bernstein', '艾丽西亚·约翰斯顿', '埃内斯托·格里菲思', '亚当·哈蒂格', '丹尼斯·科齐', '沙龙·巴杰', '托尼·布拉加', '保罗·特利', '戈登·坦纳', '埃里克·阿塔瓦尔', '保罗·布莱恩特', '泰瑞·雷', '苏珊娜·普林格尔', '马利克·劳吉尔', '安吉拉·阿瑟']",['噩梦娃娃屋 Ghostland'],"['悬疑', '惊悚', '恐怖']",['7.0'],['13212'],[' 英语 / 法语']
[' 俄罗斯'],['埃格尔·巴拉诺夫'],['144'],['08'],"['帕维尔·杰列维扬科', '欧列格·缅希科夫', '亚历山大·佩特罗夫', '叶夫根尼·斯迪查金', '玛尔塔·蒂莫菲娃', '泰西娅·维尔科娃']",['果戈里·复仇 Гоголь. Страшная месть'],"['悬疑', '惊悚', '奇幻', '冒险']",['6.9'],['566'],[' 俄语']
[' 韩国'],['李钟奭'],['114'],['09'],"['孙艺珍', '玄彬', '金相浩', '张荣男', '张光', '赵勇进', '朴成根', '朴修荣', '金民尚', '李诗雅', '崔秉默', '李贤', '金熙镇', '李珠英', '康德铉', '李文植']",['协商 협상'],"['动作', '悬疑', '犯罪']",['6.9'],['15166'],[' 韩语']
[' 美国'],['德鲁·高达'],['141'],"['09', '10']","['杰夫·布里吉斯', '辛西娅·艾莉佛', '达科塔·约翰逊', '乔恩·哈姆', '克里斯·海姆斯沃斯', '卡莉·史派妮', '刘易斯·普尔曼', '尼克·奥弗曼', '泽维尔·多兰', '谢伊·惠格姆', '马克·奥布莱恩', '查尔斯·哈尔福德', '吉姆·奥希尔', '瑞贝卡·图兰', '比利·威克曼', '威廉·B·戴维斯', '曼尼·贾希尼托', '乔纳森·怀特赛尔', '凯瑟琳·伊莎贝尔', '萨拉·史密斯']",['皇家酒店谋杀案 Bad Times at the El Royale'],"['剧情', '悬疑', '惊悚', '犯罪']",['6.9'],['20715'],[' 英语']
[' 英国 / 美国'],['大卫·斯雷德'],['90'],['12'],"['菲恩·怀特海德', '克雷格·帕金森', '爱丽丝·洛维', '阿西姆·乔杜里', '威尔·保尔特', '塔露拉·哈登', '卡特里奥·诺克斯', '保罗·布拉德利', '乔纳森·阿里斯', 'A·J·霍顿', '弗勒尔·基思', '劳拉·埃弗兰', '阿伦·阿萨德', '苏珊妮·伯登', '杰夫·明特', '乔恩-乔·英克彭', '汤姆·麦卡尔', '埃利·皮尔西', '斯蒂芬·拉什布鲁克', '罗森达·桑德尔', '桑德拉·特蕾丝']",['黑镜：潘达斯奈基 Black Mirror: Bandersnatch'],"['剧情', '科幻', '悬疑', '惊悚']",['6.9'],['54261'],[' 英语']
[' 中国大陆 / 法国'],['毕赣'],['138'],"['12', '05']","['汤唯', '黄觉', '张艾嘉', '李鸿其', '陈永忠', '罗飞扬', '曾美慧孜', '段钧豪', '谢理循', '齐溪', '明道', '龙泽治']",['地球最后的夜晚'],"['剧情', '爱情', '悬疑']",['6.8'],['153968'],[' 贵州方言 / 汉语普通话']
[' 中国大陆'],['马小刚'],['70'],['05'],"['韩朴俊', '朱颜曼滋', '李心敏', '何索', '韩秋池', '红花', '尹航', '刘鹏', '荆民强', '穆梦娇', '吴雨珏']",['罪途1之死亡列车'],"['剧情', '悬疑', '犯罪']",['6.8'],['12802'],[' 汉语普通话']
[' 韩国'],['李权'],['102'],['12'],"['孔晓振', '金叡园', '金圣武', '赵福来', '李家燮', '李天熙', '金在华']",['门锁 도어락'],"['悬疑', '惊悚']",['6.8'],['18609'],[' 韩语']
[' 美国'],['刘山姆'],['78'],"['01', '02']","['布鲁斯·格林伍德', '詹妮弗·卡朋特', '克里斯·考克斯', '约翰·迪·玛吉欧', '大卫·福塞思', '格蕾·德丽斯勒', '安东尼·海德', '鲍勃·乔尔斯', '尤里·洛文塔尔', '林肯·梅尔彻', '斯科特·帕特森', '威廉·赛莱耶', '塔拉·斯特朗', '布鲁斯·提姆', '卡瑞·伍尔']",['蝙蝠侠：煤气灯下的哥谭 Batman: Gotham by Gaslight'],"['动作', '科幻', '动画', '悬疑', '犯罪']",['6.8'],['3851'],[' 英语']
[' 日本'],['本木克英'],['121'],['06'],"['长濑智也', '藤冈靛', '高桥一生', '深田恭子', '岸部一德', '笹野高史', '寺胁康文', '小池荣子', '阿部显岚', '中村苍', '室毅', '柄本明', '佐佐木藏之介', '升毅', '谷村美月']",['空中轮胎 空飛ぶタイヤ'],"['剧情', '悬疑']",['6.8'],['1408'],[' 日语']
[' 中国大陆'],['陈思诚'],['121'],['02'],"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚']",['唐人街探案2'],"['喜剧', '动作', '悬疑', '犯罪']",['6.7'],['579830'],[' 汉语普通话']
[' 中国大陆'],['马小刚'],['61'],['05'],"['韩朴俊', '朱颜曼滋', '何索', '李心敏', '韩秋池', '尹航', '刘鹏', '红花', '荆民强', '穆梦娇']",['罪途3之正义规则'],"['剧情', '悬疑', '犯罪']",['6.7'],['8573'],[' 汉语普通话']
[' 中国大陆'],['马小刚'],['63'],['05'],"['韩朴俊', '朱颜曼滋', '何索', '李心敏', '韩秋池', '尹航', '刘鹏', '荆民强', '红花', '穆梦娇', '吴雨珏']",['罪途2之救赎代价'],"['剧情', '悬疑', '犯罪']",['6.7'],['8682'],[' 汉语普通话']
[' 韩国'],['이창희'],['101'],['03'],"['金相庆', '金康宇', '金喜爱', '韩智安', '李至勋', '徐贤宇', '李敏芝', '崔明彬', '玄奉植', '孔敏晶', '柳京洙', '黃在烈', '安昌焕', '金熙尚', '黃仁准', '权海虓', '金智英', '庆收真']",['消失的夜晚 사라진 밤'],"['悬疑', '惊悚', '犯罪']",['6.7'],['3968'],[' 韩语']
[' 美国'],['罗伯·劳'],['84'],['09'],"['麦肯娜·格瑞丝', '卡拉·布欧诺', '罗伯·劳', '帕蒂·麦克马科', '莎拉·杜格代尔', '凯特·艾萨克', '肖娜·约翰尼森', '卢克·勒斯勒尔', '约翰·埃梅特·特雷西', '艾玛·梅里纳', '玛茜·T·豪斯', '洛恩·卡迪纳尔']",['坏种 The Bad Seed'],"['剧情', '悬疑', '恐怖']",['6.7'],['8443'],[' 英语']
[' 中国大陆'],['何力'],['91'],['12'],"['唐以诺', '姚星竹', '杨金赐', '张春']",['同名男子'],"['剧情', '悬疑', '犯罪']",['6.7'],['1607'],[' 汉语普通话']
[' 日本'],['中岛哲也'],['134'],['12'],"['冈田准一', '黑木华', '小松菜奈', '松隆子', '妻夫木聪', '石田惠理', '青木崇高', '柴田理惠', '仲野太贺', '志田爱珠', '蜷川美穗', '伊集院光']",['来了 来る'],"['悬疑', '惊悚', '恐怖']",['6.7'],['235'],[' 日语']
[' 德国'],['Philipp Hirsch'],['101'],['10'],"['保罗·勒克斯', 'Enno Trebs', 'Tijan Marei']",['绿野迷踪 Raus'],"['剧情', '悬疑', '惊悚', '冒险']",['6.6'],['94'],[' 德语']
[' 中国大陆'],"['韩彦博', '裴魁山', '刘淌', '赵强']",['97'],['01'],"['卢野', '陈玺旭', '周觅', '裴魁山', '严坤']",['的士诡谈'],"['喜剧', '悬疑', '恐怖']",['6.6'],['514'],[' 汉语普通话']
[' 中国大陆'],"['于哲', '高扬']",['87'],['08'],"['王冬', '王辰昊', '杨保雷', '姚震宇', '姚梦', '范野子']",['画师'],"['悬疑', '惊悚', '犯罪']",['6.5'],['1601'],[' 汉语普通话']
[' 中国大陆'],['张萌'],['78'],['07'],"['明俊臣', '刘语乔', '郭凯', '孔子曰', '王紫垣']",['夺命剑之风云再起'],"['悬疑', '武侠', '古装']",['6.5'],['298'],[' 汉语普通话']
[' 俄罗斯'],['埃格尔·巴拉诺夫'],['100'],['04'],"['亚历山大·佩特罗夫', '欧列格·缅希科夫', '谢尔盖·巴杜克', '尤丽雅·弗朗茨', '叶夫根尼·斯迪查金', '叶夫根尼·西蒂', '阿尔乔姆·特卡琴科', '阿列克谢·沃特考夫', '泰西娅·维尔科娃', '基里尔·扎耶采夫']",['果戈里·恶灵 Гоголь. Вий'],"['悬疑', '惊悚', '冒险']",['6.5'],['859'],[' 俄语']
[' 美国'],['佩里·朗'],['97'],['08'],"['布伦顿·思韦茨', '耶尔·格洛格拉斯', '大卫·斯特雷泽恩', '希尔·哈勃']",['与神对谈 An Interview with God'],"['剧情', '悬疑']",['6.4'],['65'],[' 英语']
[' 希腊'],['史蒂夫·克里克里斯'],['104'],['11'],"['阿利斯·塞勒维塔利斯', '雅尼斯·斯坦科格鲁', 'Alexandros Mavropoulos', 'Eleana Finokalioti', 'Chiara Gensini', 'Yorgos Glastras', '玛丽亚·卡利马尼', 'Antonis Myriagos']",['侍者 The Waiter'],['悬疑'],['6.4'],['97'],[' 希腊语']
[' 日本'],['三岛有纪子'],['120'],['11'],"['黑木华', '野村周平', '成田凌', '夏帆', '东出昌大', '神野三铃', '高桥洋', '酒向芳', '桃果', '渡边美佐子']",['彼布利亚古书堂事件手帖 ビブリア古書堂の事件手帖'],['悬疑'],['6.3'],['1566'],[' 日语']
[' 日本'],['中江和仁'],['118'],['01'],"['长泽雅美', '高桥一生', '内藤大湖', '川荣李奈', '黑木瞳', '吉田钢太郎']",['爱上谎言的女人 嘘を愛する女'],"['剧情', '悬疑']",['6.3'],['5321'],[' 日语']
