地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 法国'],['卡米尔·维达-那克'],['99'],"['05', '08']","['费利克斯·马利陶德', '埃里克·伯纳德', '尼古拉斯·迪布拉', '菲利普·奥雷尔']",['野性 Sauvage'],"['剧情', '情色', '同性']",['6.9'],['3195'],[' 法语']
[' 日本'],['鹤桥康夫'],['110'],['05'],"['阿部宽', '寺岛忍', '丰川悦司', '斋藤工', '风间杜夫', '大竹忍', '前田敦子', '桂三枝', '笑福亭鹤光', '福本莉子', '飞鸟凛']",['除蚤武士 のみとり侍'],"['喜剧', '情色']",['6.0'],['2904'],[' 日语']
[' 韩国'],['조태호'],['71'],['04'],['金希贞'],['出轨的女人2 바람난 여자들2'],"['剧情', '情色']",['5.9'],['124'],[' 韩语']
[' 日本'],['三浦大辅'],['119'],['04'],"['松坂桃李', '真飞圣', '富手麻妙', '猪塚健太', '樱井由纪', '小柳友', '马渕英俚可', '荻野友里', '佐佐木心音', '大谷麻衣', '阶户瑠李', '西冈德马', '江波杏子']",['娼年'],"['爱情', '情色']",['5.7'],['10198'],[' 日语']
[' 美国'],['詹姆斯·弗雷'],['105'],['02'],"['达科塔·约翰逊', '詹米·多南', '阿莉尔·凯贝尔', '埃里克·约翰逊', '瑞塔·奥拉', '卢克·葛莱姆斯', '布兰特·道格尔迪', '泰勒·霍奇林', '马克斯·马蒂尼', '劳拉·雅各布斯', '费伊·马斯特森']",['五十度飞 Fifty Shades Freed'],"['剧情', '爱情', '情色']",['5.6'],['23707'],[' 英语']
[' 韩国'],['김부곤'],['71'],['01'],"['진시아', '보라', '송기명', '지성']",['诚实：好女孩 정사 착한 며느리들'],['情色'],['5.6'],['94'],[' 韩语']
[' 韩国'],['边赫'],['120'],['08'],"['朴海日', '秀爱', '尹宰文', '罗美兰', '金奎善', '李阵郁', '韩珠英', '朴成勋', '张素妍', '南基爱', '滨崎真绪', '金康宇', '姜其永', '南文哲', '张赫镇', '金昇勋', '朴镇宇', '文正秀 ', '金海坤 ']",['上流社会 상류사회'],"['剧情', '情色']",['5.5'],['3735'],[' 韩语']
[' 日本'],['齐藤久志'],['120'],"['10', '11']","['縄田かのん', '中神円', '藤原隆介', '三浦贵大', '柄本明']",['天上的眼睛和蜗牛 空の瞳とカタツムリ'],"['剧情', '情色', '同性']",['5.4'],['78'],[' 日语']
[' 韩国'],['김경택'],['103'],['03'],"['陈诗雅', '许娜京', '시후']",['姨母的诱惑 이모의유혹'],"['爱情', '情色']",['5.3'],['395'],[' 韩语']
[' 韩国'],['최민'],['73'],['07'],"['李采潭', '김지연', '도모세']",['情事：小姨子的爱 정사 : 처제의 사랑'],['情色'],['5.3'],['98'],[' 韩语']
