地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利'],['斯蒂法诺·摩尔蒂尼'],['102'],['12'],"['里卡多·斯卡马乔', '米莱姆·里昂', '马丽娅·派雅托', '法布里齐奥·本蒂沃利奥', '萨拉·卡迪纳莱蒂', '尼古拉·潘内利', '塞尔吉奥·罗马诺', '阿斯卡尼奥·巴尔博', '保罗·桑博', '杰拉尔多·德布拉西奥', '亚历山德拉·卡里略']",['看不见的客人(意大利版) Il testimone invisibile'],"['剧情', '悬疑', '惊悚', '犯罪']",['9.0'],['3740'],[' 意大利语']
[' 美国 / 俄罗斯'],['阿尼什·查甘蒂'],['102'],"['12', '01', '08']","['约翰·赵', '米切尔·拉', '黛博拉·梅辛', '约瑟夫·李', '萨拉·米博·孙', '亚历克丝·杰恩·高', '刘玥辰', '刘卡雅', '多米尼克·霍夫曼', '西尔维亚·米纳西安', '梅丽莎·迪斯尼', '康纳·麦克雷斯', '科林·伍德尔', '约瑟夫·约翰·谢尔勒', '阿什丽·艾德纳', '考特尼·劳伦·卡明斯', '托马斯·巴布萨卡', '朱莉·内桑森', '罗伊·阿布拉姆森', '盖奇·比尔托福', '肖恩·奥布赖恩', '瑞克·萨拉比亚', '布拉德·阿布瑞尔', '加布里埃尔·D·安吉尔']",['网络谜踪 Searching'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.6'],['285614'],[' 英语']
[' 澳大利亚 / 美国 / 印度'],['安东尼·马拉斯'],['123'],"['09', '10']","['艾米·汉莫', '纳赞宁·波妮阿蒂', '戴夫·帕特尔', '詹森·艾萨克', '阿努潘·凯尔', '刘承羽', '安格斯·麦克拉伦', '萨钦·乔伯', '蒂尔达·格哈姆-哈维', '维品·沙尔马', '阿布罗伊·辛格', '迪维亚·阿妮', '桑迪普·博雅卡', '齐尼亚·斯塔尔']",['孟买酒店 Hotel Mumbai'],"['剧情', '惊悚', '历史']",['8.4'],['25342'],[' 英语 / 印地语 / 旁遮普语 / 希腊语 / 俄语 / 阿拉伯语 / 乌尔都语 / 波斯语']
[' 德国'],['米夏埃尔·赫尔比希'],['125'],['09'],"['弗莱德里奇·穆克', '卡罗利妮·舒赫', '大卫·克劳斯', '艾丽西娅·冯·里特贝格', '托马斯·克莱舒曼', '乔纳斯·霍登里德尔', '蒂尔曼·多布勒', '克里斯蒂安·内特', '罗纳德·库克利斯', '塞巴斯蒂安·胡克', '乌尔里奇·布兰德霍夫', '柏恩德·麦克·莱德', '凯·伊沃·保利兹', '贝恩德·斯特格曼', '安婕·特拉乌']",['气球 Ballon'],"['剧情', '惊悚', '历史']",['8.4'],['14445'],[' 德语 / 英语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['428939'],[' 印地语']
[' 日本'],['加藤敏幸'],[],['07'],"['櫻井孝宏', '种崎敦美', '間島淳司']",['岸边露伴一动不动 六壁坂 岸辺露伴は動かない 六壁坂'],"['剧情', '动画', '惊悚']",['8.3'],['356'],[' 日语']
[' 澳大利亚'],['雷·沃纳尔'],['100'],"['03', '06']","['罗根·马歇尔-格林', '梅拉里·沃列何', '哈里森·吉尔伯特森', '本尼迪克·哈迪', '克里斯托弗·卡比', '理查德·考索恩', '琳达·克罗珀', '贝蒂·加布里埃尔', '罗斯科·坎贝尔', '理查德·阿纳斯塔西奥斯', '史蒂夫·丹尼尔森', '迈克尔·M·福斯特', '雷纳·加拉赫', '克莱顿·雅各布森']",['升级 Upgrade'],"['动作', '科幻', '惊悚']",['8.1'],['87299'],[' 英语']
[' 美国'],['克林特·伊斯特伍德'],['116'],['12'],"['克林特·伊斯特伍德', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz', 'Jackie Prucha', '理查德·赫德', 'Adam Drescher', 'Christi McClintock', 'Keith Flippen', '艾莉森·伊斯特伍德', '黛安·韦斯特', '乔·奈泽维奇', '泰莎·法米加', '维克多·罗塞克', '罗伯特·拉萨多', '劳伦斯·菲什伯恩', '布莱德利·库珀', '迈克尔·佩纳', '尤金·科德罗', '诺尔·古格雷米', '安迪·加西亚', '小克利夫顿·克林斯', '丹尼尔·蒙卡达', '伊格纳西奥·塞利齐奥', '保罗·阿拉约', '卡里姆·J.格里梅斯', '迭戈·卡塔诺', '迪伦·库斯曼', '皮特·布里斯', '劳恩·迪恩', '曼尼·蒙塔纳', '洛博·塞巴斯蒂安', '泰丝·马里斯·金凯德', '贝琪·阿尔特林格', '蒂莫西·卡尔', '吉尔·弗林特', '凯蒂·吉尔', '杰伦·戈登', '杰伊·古铁雷斯', '塞西尔·M·亨利', '雷·埃尔南德斯', '肖恩·麦克米伦', '德文·奥格登', '帕蒂·舍尔哈斯']",['骡子 The Mule'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.1'],['26242'],[' 英语']
[' 美国 / 英国 / 塞浦路斯 / 俄罗斯'],['提莫·贝克曼贝托夫'],['105'],['02'],"['瓦伦·凯恩', '沙扎德·拉蒂夫', '克里斯蒂尼·亚当斯', '摩根·华金斯', 'Emma Cater', 'Louis Martin', 'Amir Rahimzadeh']",['网诱惊魂 Profile'],"['剧情', '惊悚']",['8.1'],['176'],[' 英语']
[' 美国 / 中国大陆 / 法国 / 挪威'],['克里斯托弗·麦奎里'],['147'],"['08', '07']","['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '杨亮', '克里斯托弗·约纳尔', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', '马克斯·盖勒', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']",['碟中谍6：全面瓦解 Mission: Impossible - Fallout'],"['动作', '惊悚', '冒险']",['8.1'],['383874'],[' 英语 / 法语']
[' 西班牙'],['奥里奥尔·保罗'],['128'],['11'],"['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']",['海市蜃楼 Durante la tormenta'],"['科幻', '悬疑', '惊悚']",['7.8'],['184009'],[' 西班牙语']
[' 丹麦'],['古斯塔夫·莫勒'],['85'],"['01', '06']","['雅各布·克德格恩', '杰西卡·迪内奇', '奥玛尔·沙加威', '约翰·奥尔森', '雅各布·乌尔里克·罗曼', '西蒙·本尼杰格', '劳拉·布罗', '蒙坦·瑟贝尔', '莫滕·桑博', '安德斯·布林克·马德森', '马特·福勒']",['罪人 Den skyldige'],"['剧情', '惊悚', '犯罪']",['7.6'],['18298'],[' 丹麦语']
[' 印度'],"['拉希·阿尼尔·巴夫', '安南·甘地', '阿德什·普拉萨德']",['104'],"['08', '10']","['索姆·沙', '田蒂·马舍', '安妮塔·戴特', '朗吉·查克拉博蒂', '迪普克·达姆利']",['塔巴德 तुम्बाड'],"['剧情', '惊悚', '奇幻']",['7.4'],['4536'],[' 印地语']
[' 日本'],"['植田泰史', '中村亮太']",['106'],['05'],"['三浦春马', '白石麻衣']",['世界奇妙物语 2018年春季特别篇 世にも奇妙な物語 ’18春の特別編'],"['科幻', '悬疑', '惊悚', '恐怖']",['7.3'],['8115'],[' 日语']
[' 丹麦 / 法国 / 德国 / 瑞典'],['拉斯·冯·提尔'],['152'],"['05', '10', '11']","['马特·狄龙', '布鲁诺·甘茨', '乌玛·瑟曼', '希芳·法隆', '苏菲·格拉宝', '丽莉·克亚芙', '杰瑞米·戴维斯', '爱德华·斯皮伊尔斯', '大卫·拜利', '刘智泰']",['此房是我造 The House That Jack Built'],"['喜剧', '惊悚', '犯罪']",['7.3'],['37873'],[' 英语 / 德语 / 意大利语']
[' 美国'],['克里斯蒂安·古德加斯特'],['140'],['01'],"['杰拉德·巴特勒', '巴勃罗·施瑞博尔', '小奥谢拉·杰克逊', '50分', '梅多·威廉姆斯', '莫里斯·孔特', '布莱恩·范·霍尔特', '伊万·琼斯', '莫·麦克雷', '凯维·莱曼-默塞尤', '道恩·奥利弗瑞', '艾瑞克·布里登', '约旦·布里奇斯', '刘易斯·谭', '库珀·安德鲁斯']",['贼巢 Den of Thieves'],"['动作', '惊悚', '犯罪']",['7.3'],['14516'],[' 英语']
[' 德国'],['克里斯蒂安·阿瓦特'],['109'],['04'],"['克里斯蒂安娜·保罗', '亚历山大·约瓦诺维奇', '汉娜·赫茨施普龙', '沃坦·维尔克·默林']",['急速逃脱 Steig. Nicht. Aus!'],['惊悚'],['7.2'],['114'],[' 德语']
[' 美国 / 中国大陆'],['鲁本·弗雷斯彻'],['112'],"['11', '10']","['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特', '珍妮·斯蕾特', '梅洛拉·沃尔特斯', '伍迪·哈里森', '佩吉·陆', '马尔科姆·C·默里', '索佩·阿卢科', '韦恩·佩雷', '米歇尔·李', '库尔特·岳', '克里斯·奥哈拉', '埃米里奥·瑞弗拉', '阿里亚当娜·约瑟夫', '袁之正', '朴云龙', '麦克·勃兰特', '尼克·图恩', '山姆·麦地那', '迪塞尔·马德金斯', '简·麦克尼尔', '维克托·麦凯', '马丁·巴特斯·布拉德福德', '布兰顿·莫拉莱斯', '马修·康威尔', '斯坦·李', '韦德·威廉姆斯', '约瑟夫·阿梅', '威廉·W·巴伯', '玛塞拉·布拉吉奥', '卡特·伯奇', '克里斯蒂安·康佛瑞', '詹姆斯·富尔特斯', '丹妮拉·加斯基', '约翰·盖蒂尔', '艾米丽塔·T·冈萨雷斯', '杰克·汉森', '安东尼·B·哈里斯', '卡茜·亨德利', '罗恩·彼得·琼斯', '霍梅洛·洛佩兹', '万恩·姆约维奇']",['毒液：致命守护者 Venom'],"['动作', '科幻', '惊悚']",['7.2'],['553210'],[' 英语 / 汉语普通话']
[' 丹麦 / 德国'],['克里斯托弗·鲍伊'],['119'],['10'],"['尼古拉·雷·卡斯', '法瑞斯·法瑞斯', '约翰妮·路易斯·施密特', '索伦·比尔马克', '范妮·博内代尔', '克拉拉·罗萨杰', '路易斯·斯科夫', '阿曼达·拉德里亚克', '安德斯·霍夫', '尼可拉斯·布若', '埃利奥特·克罗赛特·霍夫', '碧尔特·诺伊曼', '迈克尔·布罗斯楚普', '玛丽安·霍格斯布罗', '薇比珂·哈斯特伦', '特赖恩·帕里森', '纳斯塔加·阿尔赛', '亨里克·韦斯特加德·尼尔森', '拉多·哈季奇', '安德斯·布林克·马德森', '旺达·佩德尔维茨']",['64号病历 Journal 64'],"['悬疑', '惊悚', '犯罪']",['7.2'],['5470'],[' 丹麦语 / 西班牙语 / 阿拉伯语']
[' 美国'],['阿里·艾斯特'],['127'],"['01', '06']","['亚历克斯·沃尔夫', '加布里埃尔·伯恩', '托妮·科莱特', '米莉·夏普洛', '克里斯蒂·萨默海斯', '摩根·伦德', '马洛里·贝克特尔', '杰克·布朗', '布赖恩·拉谢尔', '海蒂·门德兹', '莫伊塞斯 L·托瓦', '贾罗德·菲利普斯', '安·唐德', '布罗克·麦金尼', '扎克瑞·亚瑟', '奥斯丁·R·格兰特']",['遗传厄运 Hereditary'],"['悬疑', '惊悚', '恐怖']",['7.1'],['78951'],[' 英语']
[' 中国大陆'],['巨兴茂'],['111'],['02'],"['于毅', '何花', '王瑞昌', '岳丽娜', '倪虹洁', '巨兴茂', '鲁佳妮']",['灵魂摆渡·黄泉'],"['悬疑', '惊悚', '奇幻']",['7.1'],['73577'],[' 汉语普通话']
[' 美国'],['苏珊娜·比尔'],['124'],"['12', '12']","['桑德拉·布洛克', '崔凡特·罗兹', '约翰·马尔科维奇', '莎拉·保罗森', '杰基·韦佛', '罗莎·萨拉查', '丹妮尔·麦克唐纳', '里尔·莱尔·哈瓦瑞', '汤姆·霍兰德', '机关枪凯利', '黄荣亮', '普路特·泰勒·文斯', '维维恩·莱拉·布莱尔', '帕敏德·纳格拉', '丽贝卡·彼得根', '艾米·古麦尼克', '泰勒·汉德雷', '海皮·安德森', '大卫·达斯马齐连', '基思·雅各', '克里斯托弗洛根', '弗兰克·莫特克', '泰德·霍利斯', '麦特·伦纳德']",['蒙上你的眼 Bird Box'],"['剧情', '科幻', '惊悚']",['7.1'],['26348'],[' 英语']
[' 英国'],['特雷弗·纳恩'],['101'],['09'],"['汤姆·休斯', '索菲·库克森', '朱迪·丹奇', '特雷扎·萨博瓦', '劳伦斯·斯佩尔曼', '罗宾·索恩斯', 'Kevin Fuller', 'Simon Ludders', 'Ciarán Owens', 'Irfan Shamji']",['红琼 Red Joan'],"['剧情', '惊悚', '传记']",['7.1'],['145'],[' 英语']
[' 美国 / 英国'],['亚历克斯·嘉兰'],['115'],"['04', '02']","['娜塔莉·波特曼', '詹妮弗·杰森·李', '吉娜·罗德里格兹', '泰莎·汤普森', '奥斯卡·伊萨克', '水野索诺娅', '大卫·吉雅西', '图娃·诺沃妮', '本尼迪克特·王', '约翰·施瓦布', '萨米·海曼', '乔希·丹福德', '克里斯汀·麦加里蒂']",['湮灭 Annihilation'],"['剧情', '科幻', '惊悚']",['7.1'],['249300'],[' 英语']
[' 韩国'],['金民泰'],[],['09'],"['金武烈', '高甫洁', '郑浚远', '高敏诗', '方在浩', '李志夏']",['被遗忘的季节 잊혀진 계절'],['惊悚'],['7.1'],['87'],[' 韩语']
[' 美国'],['安东尼·福奎阿'],['121'],['07'],"['丹泽尔·华盛顿', '佩德罗·帕斯卡', '艾什顿·桑德斯', '奥森·比恩', '比尔·普尔曼', '梅丽莎·里奥', '乔纳森·斯卡弗', '沙基纳·贾弗里', '卡罗琳·戴', '特德·阿尔奇迪', '杰伊·赫农', '马克西米利安·麦克纳马拉', '安德烈·阿罗维斯基']",['伸冤人2 The Equalizer 2'],"['动作', '惊悚', '犯罪']",['7.0'],['22465'],[' 英语 / 法语 / 土耳其语 / 希伯来语']
[' 丹麦'],['拉斯穆斯·克洛斯特·布罗'],['84'],['07'],"['Christine Sønderris', 'Kresimir Mikic', 'Samson Semere', 'Adrian Heili', '萨尔瓦多·斯特里亚诺', 'Lilli Fernanda Kondrup', 'Rasmus Hammerich', 'Anders Nylander Thomsen']",['隧道惊魂 Cutterhead'],['惊悚'],['7.0'],['83'],[' 英语']
[' 法国'],['巴斯卡·劳吉哈'],['91'],['03'],"['克里斯塔尔·里德', '玛莲·法莫', '阿纳斯塔西娅·菲利普斯', '艾米莉亚·琼斯', '泰勒·辛克森', '凯文·泡尔', '罗布·阿切尔', 'Mariam Bernstein', '艾丽西亚·约翰斯顿', '埃内斯托·格里菲思', '亚当·哈蒂格', '丹尼斯·科齐', '沙龙·巴杰', '托尼·布拉加', '保罗·特利', '戈登·坦纳', '埃里克·阿塔瓦尔', '保罗·布莱恩特', '泰瑞·雷', '苏珊娜·普林格尔', '马利克·劳吉尔', '安吉拉·阿瑟']",['噩梦娃娃屋 Ghostland'],"['悬疑', '惊悚', '恐怖']",['7.0'],['13212'],[' 英语 / 法语']
[' 美国'],['德鲁·高达'],['141'],"['09', '10']","['杰夫·布里吉斯', '辛西娅·艾莉佛', '达科塔·约翰逊', '乔恩·哈姆', '克里斯·海姆斯沃斯', '卡莉·史派妮', '刘易斯·普尔曼', '尼克·奥弗曼', '泽维尔·多兰', '谢伊·惠格姆', '马克·奥布莱恩', '查尔斯·哈尔福德', '吉姆·奥希尔', '瑞贝卡·图兰', '比利·威克曼', '威廉·B·戴维斯', '曼尼·贾希尼托', '乔纳森·怀特赛尔', '凯瑟琳·伊莎贝尔', '萨拉·史密斯']",['皇家酒店谋杀案 Bad Times at the El Royale'],"['剧情', '悬疑', '惊悚', '犯罪']",['6.9'],['20715'],[' 英语']
[' 俄罗斯'],['埃格尔·巴拉诺夫'],['144'],['08'],"['帕维尔·杰列维扬科', '欧列格·缅希科夫', '亚历山大·佩特罗夫', '叶夫根尼·斯迪查金', '玛尔塔·蒂莫菲娃', '泰西娅·维尔科娃']",['果戈里·复仇 Гоголь. Страшная месть'],"['悬疑', '惊悚', '奇幻', '冒险']",['6.9'],['566'],[' 俄语']
[' 英国 / 美国'],['大卫·斯雷德'],['90'],['12'],"['菲恩·怀特海德', '克雷格·帕金森', '爱丽丝·洛维', '阿西姆·乔杜里', '威尔·保尔特', '塔露拉·哈登', '卡特里奥·诺克斯', '保罗·布拉德利', '乔纳森·阿里斯', 'A·J·霍顿', '弗勒尔·基思', '劳拉·埃弗兰', '阿伦·阿萨德', '苏珊妮·伯登', '杰夫·明特', '乔恩-乔·英克彭', '汤姆·麦卡尔', '埃利·皮尔西', '斯蒂芬·拉什布鲁克', '罗森达·桑德尔', '桑德拉·特蕾丝']",['黑镜：潘达斯奈基 Black Mirror: Bandersnatch'],"['剧情', '科幻', '悬疑', '惊悚']",['6.9'],['54261'],[' 英语']
[' 以色列 / 美国'],['阿里尔·弗罗门'],['114'],['09'],"['汉娜·韦尔', '托比·凯贝尔', '马尔万·肯扎里', '萨皮尔·阿苏拉', '麦莎·阿德哈迪', '瓦利德·祖伊特', '塞森·加布埃', '萨西·阿莱维', '盖伊·阿德勒', '奥利·普费弗', '贝恩·科拉科', '马里·利维', '苏莱曼·达兹', '穆尼尔·马戈姆', '阿塔纳斯·斯雷布雷夫', '卡尔·法雷尔', '巴沙尔·拉海尔', '迈克尔·查普曼', '奈尔·马利克·阿卜杜拉', '加里·基利']",['天使降临 The Angel'],"['剧情', '惊悚']",['6.8'],['335'],[' 意大利语 / 英语 / 阿拉伯语 / 希伯来语']
[' 瑞典 / 丹麦'],['阿里·阿巴西'],['110'],"['05', '08']","['埃娃·梅兰德', '埃罗·米洛诺夫', '约根·托尔松', '安·彼得伦', '斯坦·伦格伦', '马蒂·博斯泰特', '维克托·奥克布卢姆-尼尔松', '纳塔莉 明妮威克']",['边境 Gräns'],"['剧情', '惊悚', '奇幻']",['6.8'],['4846'],[' 瑞典语']
[' 西班牙'],['Manolo Munguia'],['105'],['10'],"['Rubèn Serrano', 'Roc Esquius', 'Míriam Tortosa']",['密码秘战 H0us3'],"['科幻', '惊悚']",['6.8'],['89'],[' 西班牙语']
[' 意大利 / 法国'],['马提欧·加洛尼'],['102'],"['05', '05']","['马尔切洛·丰特', '爱德华多·佩谢', '农齐娅·斯基亚诺', '亚当·迪奥尼西', '弗朗西斯科·阿克夸利', '阿利达·巴尔达里·卡拉布里亚', '阿涅洛·阿雷纳']",['犬舍惊魂 Dogman'],"['剧情', '惊悚', '犯罪']",['6.8'],['4131'],[' 意大利语']
[' 韩国'],['李权'],['102'],['12'],"['孔晓振', '金叡园', '金圣武', '赵福来', '李家燮', '李天熙', '金在华']",['门锁 도어락'],"['悬疑', '惊悚']",['6.8'],['18609'],[' 韩语']
[' 美国'],['梅拉尼·罗兰'],['91'],"['03', '10']","['艾丽·范宁', '丽丽·莱因哈特', '本·福斯特', '玛利亚·瓦沃德', '博·布里奇斯', '罗伯特·阿拉马约', '阿德普波·奥杜耶', '婷斯莉·普莱斯', '安妮斯顿·普莱斯', '克里斯托弗·阿米特拉诺', '贾迈尔·钱伯斯', '海蒂·莱万多夫斯基', '迈克尔·雷·伊斯卡米拉', '杰弗里·格罗弗', '罗伯特·马丁·施泰因贝格', '布伦特·莫雷尔·加斯金斯', '约翰·阿彻尔·朗格伦']",['加尔维斯顿 Galveston'],"['动作', '惊悚', '犯罪']",['6.8'],['3006'],[' 英语']
[' 韩国'],['金泰均'],['110'],['10'],"['金允石', '朱智勋', '陈善圭', '郑钟俊', '许真', '金重基', '金英熊', '郑基燮', '李凤莲', '全国焕', '金正洙', '裴海善', '权素贤', '元贤俊']",['暗数杀人 암수살인'],"['剧情', '惊悚', '犯罪']",['6.7'],['8823'],[' 韩语']
[' 哥伦比亚 / 丹麦 / 墨西哥 / 德国 / 瑞士'],"['克丽丝蒂娜·加耶果', '西罗·格拉']",['125'],"['05', '08']","['卡米娜·马蒂内', '何塞·阿科斯塔', '娜塔利娅·雷耶斯', '约恩·纳瓦埃斯', '格雷德·梅扎', '何塞·维森特', '胡安·包蒂斯塔·马丁内斯', '米格尔·维埃拉', '塞尔希奥·科恩', '阿斯列尼斯·马尔克斯', '何塞·奈德', '扬克·迪亚兹', '维克多·蒙特罗', '华金·拉蒙', '豪尔赫·拉斯卡罗']",['候鸟 Pájaros de verano'],"['剧情', '惊悚']",['6.7'],['1174'],[' 西班牙语 / 英语 / 瓦尤语']
