地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['滕俊杰'],['121'],"['08', '06']","['尚长荣', '言兴朋']",['曹操与杨修'],['戏曲'],['8.6'],['500'],[' 汉语普通话']
[' 越南'],['黎光'],['102'],['08'],"['范刘俊才', '阮清秀']",['双郎 Song Lang'],"['剧情', '同性', '戏曲']",['6.9'],['71'],[' 越南语']
[' 中国大陆'],[],['218'],['03'],"['郭德纲', '于谦', '朱云峰', '曹鹤阳', '高峰', '栾云平']",['德云社戊戌年开箱庆典 2018'],"['喜剧', '戏曲']",[''],[],[' 汉语普通话']
[' 中国大陆'],['薛志鹏'],['96'],[],"['陈月末', '周波', '唐伟鹏', '田一希']",['秦·火'],"['剧情', '家庭', '戏曲']",[''],[],[' 汉语普通话']
[' 中国大陆'],['许玉琢'],['100'],['05'],"['别淑君', '孙亚东', '陈福涛', '任斌']",['红高粱'],['戏曲'],[''],[],[' 茂腔']
[' 英国'],['凯蒂·米歇尔'],[],['05'],"['Ocean Barrington-Cook', 'Barbara Hannigan', 'Peter Hoare', 'Gyula Orendt', 'Stéphane Degout', 'Samuel Boden']",['Lessons in Love and Violence (Royal Opera House)'],"['音乐', '戏曲']",[''],[],[' 英语']
[' 法国'],['凯蒂·米歇尔'],[],['07'],"['Marc Albrecht', 'Lise Davidsen', 'Eric Cutler', 'Sabine Devieilhe', 'Angela Brower', 'Huw Montague Rendall']",['Ariadne auf Naxos (Festival d&#39;Aix-en-Provence)'],"['音乐', '戏曲']",[''],[],[' 德语']
[' 比利时'],['Romeo Castellucci'],[],['09'],"['Gábor Bretz', 'Ed Lyon', 'Sabine Devieihle', 'Sophie Karthäuser', 'Dietrich Henschel']",['魔笛 Die Zauberflöte'],"['音乐', '戏曲']",[''],[],[' 德语']
[' 芬兰'],['Christof Loy'],[],['10'],"['Aušrinė Stundytė', 'Andrea Carè', 'Tuomas Pursio']",['Puccini: Tosca (Finnish National Opera Helsinki)'],"['音乐', '戏曲']",[''],[],[' 意大利语']
[' 意大利'],"['Davide Livermore', 'Riccardo Chailly']",[],['12'],"['Fabio Sartori', 'Ildar Abdrazakov', 'Saioa Hernandez', 'Simone Piazzola', 'Francesco Pittari', 'Gianluca Buratto']",['威尔第：阿提拉（米兰斯卡拉歌剧院） Verdi: Attila (La Scala)'],"['音乐', '戏曲']",[''],[],[' 意大利语']
[' 英国'],['基思·华纳'],['206'],['12'],"['约纳斯·考夫曼', '迈克·阿格雷斯塔']",['奥赛罗 Otello'],"['歌舞', '戏曲']",[''],[],[' 意大利语']
[' 中国大陆'],['刘冰鉴'],[],[],['谭正岩'],['定军山'],['戏曲'],[''],[],[' 汉语普通话']
[' 奥地利'],['Romeo Castellucci'],[],[],"['John Daszak', 'Anna Maria Chiuri', 'Asmik Grigorian', 'Gábor Bretz', 'Julian Prégardien']",['莎乐美 Salome (2018 Salzburg Festival)'],"['音乐', '戏曲']",[''],[],[' 德语']
[' 奥地利'],['Alexandra Liedtke'],[],['05'],"['阿兰尼亚', '艾琳娜·格朗查', 'Carlos Álvarez', 'Sorin Coliban']",['Samson et Dalila (Wiener Staatsoper)'],"['音乐', '戏曲']",[''],[],[' 法语']
[' 中国大陆'],['黎涛'],['121'],['05'],"['倪惠英', '黎俊声']",['花月影'],"['爱情', '戏曲']",[''],[],[' 汉语普通话']
[' 中国大陆'],[],['77'],['02'],"['张凯丽', '方芳', '郑恺', '金霏', '陈曦', '潘长江', '潘阳', '郭金杰', '韩兆', '李琦', '李建义', '郑健', '娄乃鸣', '李菁', '杜宁林', '曹随风', '王彤', '李阳', '杜旭东', '侯振鹏', '杨议', '杨少华']",['2018新春相声大联欢'],"['喜剧', '戏曲']",[''],[],[' 汉语普通话']
[' 日本'],[],[],[],"['坂东玉三郎', '中村勘九郎', '中村七之助']",['京鹿子娘五人道成寺'],['戏曲'],[''],[],[' 日语']
[' 中国大陆'],['杜彩苹'],['72'],['01'],"['杜彩苹', '卢鑫', '孙海洋', '高占朋', '何洋', '龙斌', '姚静']",['谁说女子不如男'],"['剧情', '喜剧', '爱情', '悬疑', '戏曲']",[''],[],[' 汉语普通话']
[' 中国大陆'],['米夏埃尔·贝尔'],['124'],[],"['宗平', '姜昆']",['美丽的蓝色多瑙河'],"['音乐', '歌舞', '戏曲']",[''],[],[' 汉语普通话']
[' 中国大陆'],['夏伟亮'],['101'],['06'],"['黎安', '陈莉']",['景阳钟'],['戏曲'],[''],[],[]
[' 中国大陆'],"['邓原', '潘钧']",['112'],['01'],"['丁凡', '曾小敏', '王燕飞', '黄伟香', '冼鉴棠']",['柳毅奇缘'],"['爱情', '戏曲']",[''],[],[' 粤语']
[' 中国大陆'],['夏伟亮'],['137'],['06'],"['方亚芬', '钱惠丽', '张永梅', '吴群']",['西厢记'],['戏曲'],[''],[],[]
[' 意大利'],['Mario Gas'],['151'],['10'],"['Ermonela Jaho', 'Enkelejda Shkosa', 'Jorge de Leon', 'Angel Odena']",['蝴蝶夫人 Madama Butterfly'],"['音乐', '歌舞', '戏曲']",[''],[],[' 意大利语']
[' 意大利'],['David McVicar'],['133'],['09'],"['Renato Palumbo', 'Ermonela Jaho', 'Francesco Demuro', 'Juan Jesús Rodríguez', 'Joan Matabosch']",['茶花女 La Traviata'],"['爱情', '音乐', '歌舞', '戏曲']",[''],[],[' 意大利语']
[' 中国大陆'],['刘红梅'],['99'],['06'],"['何弘宇', '李梦珂', '田依凡', '李京旭', '冯鑫垚', '李雄辉', '郭阳翰林', '贺淑婧', '范卫华', '陈宁', '王鹏', '宋楠惜', '金禹伯', '阮晟昊', '刘恩佳', '卢佳', '杨阳', '陈美林', '肇东']",['家'],"['爱情', '音乐', '戏曲']",[''],[],[' 汉语普通话']
[' 英国'],[],['110'],['12'],['马修·伯恩'],['马修·伯恩之灰姑娘 Matthew Bourne’s Cinderella'],"['爱情', '歌舞', '戏曲']",[''],[],[' 英语']
[' 中国大陆'],[],['140'],['02'],"['张云雷', '杨九郎', '李鹤彪']",['探清水河'],"['喜剧', '戏曲']",[''],[],[' 汉语普通话']
[' 中国大陆'],"['李前宽', '肖桂云']",[],[],['王冠丽'],['韩玉娘'],"['剧情', '戏曲']",[''],[],[' 汉语普通话']
