地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆 / 香港'],['林超贤'],['138'],['02'],"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",['红海行动'],"['动作', '战争']",['8.3'],['672134'],[' 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语']
[' 韩国'],['姜炯哲'],['133'],['12'],"['都暻秀', '朴慧秀', '吴政世', '金民浩', '朴真珠', '白仁权', '杰瑞德·格里姆斯', '罗斯·凯特尔']",['摇摆狂潮 스윙키즈'],"['剧情', '歌舞', '战争']",['8.2'],['25465'],[' 韩语']
[' 中国大陆'],['李芳芳'],['138'],['01'],"['章子怡', '黄晓明', '张震', '王力宏', '陈楚生', '铁政', '祖峰', '米雪', '王盛德', '韩童生', '王鑫', '郑铮', '章泽天', '黄梦莹', '林美秀', '保罗·菲利普·克拉克', '胡家华', '伊娜', '吴谨言', '纪帅', '王天泽', '伍麟凯', '都金翰']",['无问西东'],"['剧情', '爱情', '战争']",['7.6'],['496411'],[' 汉语普通话']
[' 俄罗斯'],['阿列克赛·西多洛夫'],['139'],['12'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '谢苗·特列斯库诺夫', '尤利斯·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['T-34坦克 T-34'],"['动作', '历史', '战争']",['7.6'],['8895'],[' 俄语']
[' 俄罗斯'],['阿列克谢·费多尔琴科'],['74'],['01'],['Marta Kozlova'],['安娜的战争 Война Анны'],"['剧情', '战争']",['7.5'],['85'],[' 波兰语']
[' 荷兰'],['约兰·吕尔森'],['123'],['03'],"['雅各布·德威格', '巴里·阿茨玛', '福克琳·欧沃凯尔克', '皮埃尔·波克玛', '雷蒙德·提哈瑞', '马德奥·范·德·格里恩', '雅普·斯派克斯']",['银行家的抵抗 Bankier van het Verzet'],"['剧情', '战争']",['7.3'],['708'],[' 荷兰语']
[' 美国 / 爱尔兰 / 法国 / 加拿大'],['Richard Lanni'],['84'],['04'],"['海伦娜·伯翰·卡特', '罗根·勒曼', '热拉尔·德帕迪约']",['斯塔比中士：一个美国英雄 Sgt. Stubby: An American Hero'],"['动画', '历史', '战争', '冒险']",['7.2'],['212'],[' 英语']
[' 西班牙'],['玛·塔尔加纳'],['110'],['10'],"['马里奥·卡萨斯', '理查德·范·韦登', '阿兰·埃尔南德斯', '阿德里亚·萨拉查', '爱德华·布赫', '斯特凡·韦纳特', '弗兰克·费斯', '卢卡·佩洛斯', '玛卡蕾娜·戈麦斯', '丹尼斯·乌伊洛基', '玛丽安·科奇什']",['集中营里的摄影师 El fotógrafo de Mauthausen'],"['传记', '历史', '战争']",['7.2'],['659'],[' 西班牙语']
[' 美国'],['马修·海涅曼'],['110'],"['09', '11', '11']","['裴淳华', '詹米·多南', '汤姆·霍兰德', '斯坦利·图齐', '安东尼萨桑·杰苏萨桑']",['私人战争 A Private War'],"['剧情', '传记', '战争']",['7.1'],['5222'],[' 英语']
[' 英国 / 中国大陆 / 美国'],['多诺万·玛什'],['122'],['10'],"['杰拉德·巴特勒', '托比·斯蒂芬斯', '加里·奥德曼', '科曼', '琳达·卡德里尼', '米哈伊尔·戈尔沃伊', '迈克尔·吉普森', '邓普希·博弗尔', '克里·约翰逊', '亚当·詹姆斯', '亨利·古德曼', '科林·斯廷顿', '卡特·麦金太尔', '施恩·泰勒', '米基·柯林斯', '威尔·阿滕伯勒', '大卫·吉雅西', '吴国耀', '泰勒·约翰·史密斯', '加布里埃尔·查瓦里亚', '柯斯莫·贾维斯', '迈克尔·特鲁科', '雷恩·麦帕林', '赞恩·霍尔茨', '尤里·科洛科利尼科夫', '伊戈尔·日日金', '伊利亚·沃里克', 'Hristo Mitzkov', '迈克尔·恩奎斯特', '卡罗琳·古多尔', '大卫·叶兰德', '斯图尔特·米里根', '李·阿斯奎斯-柯', '西奥·巴克利姆-比格斯', '内森·库珀', '迪诺·法赞尼', '所罗门·塔伊沃·贾斯提费尔德', '马里安·洛伦西克', '贾森·马修森', '伯纳多·桑托斯', '阿塔纳斯·斯雷布雷夫']",['冰海陷落 Hunter Killer'],"['动作', '战争']",['6.7'],['11737'],[' 英语']
