地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆 / 香港'],['张艺谋'],['116'],"['09', '09']","['邓超', '孙俪', '郑恺', '王千源', '王景春', '胡军', '关晓彤', '吴磊', '封柏']",['影'],"['剧情', '动作', '武侠', '古装']",['7.2'],['412006'],[' 汉语普通话']
[' 中国大陆'],['张萌'],['78'],['07'],"['明俊臣', '刘语乔', '郭凯', '孔子曰', '王紫垣']",['夺命剑之风云再起'],"['悬疑', '武侠', '古装']",['6.5'],['298'],[' 汉语普通话']
[' 中国大陆 / 香港'],['徐克'],['132'],['07'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['208985'],[' 汉语普通话']
[' 中国大陆'],['张萌'],['68'],['07'],"['明俊臣', '刘语乔', '郭凯', '孔子曰', '王紫垣']",['夺命剑之喋血江湖'],"['悬疑', '武侠', '古装']",['5.9'],['153'],[' 汉语普通话']
[' 中国大陆'],"['项秋良', '项河生']",['77'],['11'],"['陈子由', '刘林城', '康宁']",['四大名捕之入梦妖灵'],"['动作', '悬疑', '武侠']",['5.2'],['1072'],[' 汉语普通话']
[' 中国大陆'],['张哲'],['73'],['04'],"['谢苗', '廖威廉', '付小仙']",['刺客荣耀·荆轲'],['武侠'],['5.1'],['270'],[' 汉语普通话']
[' 中国大陆'],['林珍钊'],['104'],['05'],"['赵文卓', '唐文龙', '韦娜', '李璐兵', '陈晨', '李炳渊', '魏小欢', '许政国']",['黄飞鸿之南北英雄'],"['动作', '武侠']",['4.6'],['5409'],[' 汉语普通话']
[' 中国大陆'],['武越'],[],['04'],"['刘旭阳', '刘馨棋', '于轩洪灏', '山长凯']",['盛唐妖异志'],"['武侠', '古装']",['4.4'],['180'],[' 汉语普通话']
[' 中国大陆'],['张著麟'],['80'],['01'],"['袁布', '夏阳', '文东俊', '郑亚飞']",['白门五甲'],"['动作', '奇幻', '武侠', '古装']",['4.2'],['139'],[' 汉语普通话']
[' 中国大陆'],['刘轩狄'],['68'],['04'],"['曹国涛', '林枫烨', '腾艺', '王佳希']",['伏妖开封府之御猫展昭'],"['动作', '奇幻', '武侠']",['3.9'],['157'],[' 汉语普通话']
[' 中国大陆'],['王子'],['86'],['04'],"['晋松', '张姮儿', '李雅男', '辛新', '郑茜', '关美婷']",['疯魔鲁智深'],"['动作', '传记', '武侠', '古装']",['3.6'],['277'],[' 汉语普通话']
[' 中国大陆'],['麦子善'],['91'],['12'],"['赵文卓', '母其弥雅', '韦娜', '李璐兵', '陈晨', '魏小欢', '郜玄铭', '泽田谦也']",['黄飞鸿之怒海雄风'],"['动作', '武侠']",['3.6'],['1416'],[' 汉语普通话']
[' 中国大陆 / 香港'],['刘伟强'],['104'],['12'],"['古天乐', '陈学冬', '郭碧婷', '包贝尔', '王太利', '周冬雨', '吴樾', '潘斌龙', '孔连顺', '刘浩', '梁大维', '许君聪', '方中信', '何润东', '薛凯琪', '颖儿', '李灿森', '卢惠光']",['武林怪兽'],"['喜剧', '奇幻', '武侠']",['3.5'],['20846'],[' 汉语普通话']
[],[],['84'],['08'],"['吴卓羲', '李熹子', '李亚男', '赵闪闪']",['蜀山降魔传'],"['动作', '爱情', '武侠']",['2.6'],['409'],[]
[' 中国大陆'],"['鞠觉亮', '王艺']",['92'],['04'],"['杜淳', '甘婷婷', '陈龙']",['天伤星武松'],"['动作', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['饶仿'],['72'],['07'],"['陈亚雷', '郭金', '刘凌伟']",['刀马镇之永贞'],"['武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],"['轩祥杰', '杨德志']",['80'],['03'],"['李梦羲', '王瀚（小羽）', '叶子茂']",['特殊管理局'],"['喜剧', '动作', '武侠']",[''],[],[' 汉语普通话']
[' 中国大陆'],['周昊'],['70'],['05'],"['张瀚文', '叶沛', '孙曳汐', '马丹阳']",['龙水降'],"['喜剧', '动作', '悬疑', '武侠']",[''],[],[' 汉语普通话']
[' 中国大陆'],['王腾飞'],['95'],['08'],"['胡高峰', '罗雅文', '文力']",['隐天子之大话江湖'],"['剧情', '武侠']",[''],[],[' 汉语普通话']
[' 中国大陆'],['田少波'],['86'],['07'],"['程琢', '熊玉婷', '杜玉明', '尹泽强']",['广东十虎黄澄可之逢凶化吉'],"['剧情', '动作', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['胡海涛'],[],['08'],"['逯爱岩', '撖荣', '王侃', '朱瑞祥', '鲁文秀', '于慧涛', '姜昊', '刘子兮']",['战红颜'],"['剧情', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['徐俊'],['91'],[],"['诺瑶', '方帅', '金宁', '钱昱旭', '郑惜月']",['风流剑客'],"['动作', '爱情', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['高扬'],[],['12'],"['刘晓涵', '丞磊']",['少女侠之长生诀'],"['喜剧', '动作', '爱情', '武侠']",[''],[],[' 汉语普通话']
[' 中国大陆'],['罗誉'],['90'],['09'],"['陈叶玲', '景研竣', '于函冰', '岳小弦', '郭美林子', '杨晓波', '王瀚博', '韩金明', '李振', '龙亦龙']",['少年忍师—司徒家1'],"['动作', '冒险', '武侠']",[''],[],[' 汉语普通话']
[' 中国大陆'],['吴桐'],['66'],['09'],"['黄一荣', '余俪', '马永康', '陈升卫']",['仙剑伏魔：倩女玄姬'],"['爱情', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['田少波'],['85'],['11'],"['程琢', '孙丹丹', '金宁', '关伟君']",['广东十虎黄澄可之云起龙骧'],"['剧情', '动作', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['张宴尘'],['90'],['04'],"['何为', '黄诗佳', '赵思玫', '王鑫尧', '胡天成', '王海洋', '张元洲', '哈松']",['飞鸿笑传之黑蝙蝠'],"['喜剧', '动作', '爱情', '历史', '冒险', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['李承达'],['83'],['01'],"['古亚鹏', '郑伇奇', '邰靖懿', '王硕']",['飘逸法师之冥界女妖'],"['剧情', '喜剧', '爱情', '奇幻', '冒险', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['黄松'],['91'],[],"['张帆', '蒿雨雨', '赵小锐', '石小满', '张博豪 ', '李圣雄']",['江湖英雄联盟之血瞳杀机'],['武侠'],[''],[],[' 汉语普通话']
[' 中国大陆'],['田少波'],['86'],[],"['程琢', '孙文雪', '杨军', '钟卫华']",['广东十虎黄澄可之荆天棘地'],"['剧情', '动作', '悬疑', '武侠', '古装']",[''],[],[' 汉语普通话']
[' 中国大陆'],['资承'],['87'],['04'],['戴乾宇'],['别了江湖之亡命仙女山'],"['喜剧', '动作', '武侠']",[''],[],[' 汉语普通话']
[' 中国大陆'],"['潘礼平', '奉万里']",[],[],"['祁晟原', '释小松', '杨知周', '李俊豪', '陈舒宜', '周巧诒', '黄林依阳', '周冉', '马英智']",['小戏骨：包青天之铡庞昱'],"['剧情', '悬疑', '儿童', '武侠', '古装']",[''],[],[' 汉语普通话']
