地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['小野败仔'],['13'],['04'],"['于越', '森中人', '冷泉夜月']",['切尔诺贝利之春 Un printemps à Tchernobyl'],"['剧情', '动画', '历史', '灾难']",['7.9'],['2090'],[' 汉语普通话']
[' 日本'],"['荒木哲郎', '肥冢正史', '田中洋之']",['120'],['01'],"['梶裕贵', '石川由依', '井上麻里奈', '下野纮', '小林优', '三上枝织', '藤田咲', '细谷佳正', '桥诘知久', '谷山纪章', '岛村侑', '津田健次郎', '朴璐美', '小野大辅', '神谷浩史', '子安武人']",['进击的巨人剧场版：觉醒的咆哮 劇場版 進撃の巨人 Season 2 〜覚醒の咆哮〜'],"['动画', '灾难']",['7.7'],['3779'],[' 日语']
[' 美国'],['巴塔萨·科马库'],['96'],"['12', '06']","['山姆·克拉弗林', '谢琳·伍德蕾', '杰弗瑞·托马斯', '伊丽莎白·霍桑', '格蕾丝·帕尔默', '塔米·阿什克拉夫特', '凯尔·达米拉米安', '露娜·坎贝尔', '扎克·贝雷斯福德', '锡亚莱·吐诺卡']",['惊涛飓浪 Adrift'],"['爱情', '灾难']",['6.8'],['11493'],[' 英语']
[' 法国 / 比利时 / 卢森堡'],['托马斯·温特伯格'],['117'],"['09', '11']","['科林·费尔斯', '蕾雅·赛杜', '马提亚斯·修奈尔', '迈克尔·恩奎斯特', '马克斯·冯·叙多夫', '奥古斯特·迪赫', '史蒂芬·威丁顿', '潘妮拉·奥古斯特', '马提亚斯·施维赫夫', '扎特科·巴瑞克', '乔尔·巴斯曼', '马格努斯·米兰', '伊娃·范·德·古奇特', '古斯塔夫·汉马斯顿', '约翰·霍林沃思', '皮特·布科夫斯基', '布贾内·亨里克森', '彼得·西蒙尼舍克', '拉尔斯·博格曼', '蒂伊门·戈瓦尔茨', '米格伦·米切夫', '海伦娜·赖因科德·纳曼', '皮特·泼拉格伯格', '阿斯克·邦', '马丁·布拉巴赫', '克拉多·德·克拉伦', '菲迪迦·斯图肯']",['库尔斯克 Kursk'],"['剧情', '历史', '灾难']",['6.8'],['2923'],[' 英语']
[' 日本'],['志水淳儿'],['94'],['01'],"['森久保祥太郎', '茅野爱衣', '上坂堇', '花江夏树', '关俊彦', '小清水亚美', '森田顺平', '石冢运升', '藤原启治', '宫迫博之', '朴璐美', '高木涉', '菊池正美', '岛田敏', '盐屋浩三', '田所梓', '山口胜平', '伊藤美来', '藤原贵弘', '川原庆久', '新井良平', '荒井聪太', '服卷浩司', '半田裕典', '利根健太朗', '村田太志', '平井启二', '藤本隆弘', '织田优成', '武田幸史', '三浦祥朗', '植田佳奈', '本渡枫', '田中亮一', '田上真里奈', '长江里加', '木村遥', '森下由树子', '东城日沙子', '松岛美野里', '石丸博也']",['魔神Z 劇場版 マジンガーZ / INFINITY'],"['科幻', '动画', '灾难']",['6.4'],['1416'],[' 日语']
[' 法国 / 加拿大'],['丹尼尔·罗比'],['89'],['04'],"['罗曼·杜里斯', '欧嘉·柯瑞兰寇', '芳汀·阿杜安', '米歇尔·罗班', '安娜·盖洛', '埃尔加·马拉蒂耶', '亚历克西斯·曼蒂']",['呼吸 Dans la brume'],"['科幻', '灾难']",['5.9'],['2604'],[' 法语 / 英语']
[' 挪威'],['约翰·安德烈亚斯·安德森'],['106'],['08'],"['克里斯托弗·约纳尔', '安妮·达尔·托普', '乔纳斯·霍夫·奥夫特布洛', '伊迪丝·哈根鲁德-桑德', '蒂娜·谢伊', '张特兰']",['大地震 Skjelvet'],"['剧情', '灾难']",['5.4'],['1117'],[' 挪威语']
[' 中国大陆'],['覃傑'],['92'],['05'],"['保剑锋', '戚砚笛', '徐一娢', '曹祎诺', '康亢', '秦佳', '李小彤']",['亲爱的，我要和别人结婚了'],"['爱情', '灾难']",['4.1'],['727'],[' 汉语普通话']
[' 中国大陆'],['王军'],['129'],['11'],"['李滨', '于非非', '毛孩', '李梦男', '肥龙', '苇青', '彭玉', '马德华', '李勤勤', '刘伟', '张洪杰', '苗苗', '娜仁花', '赵倩', '穆建荣', '柏辰', '罗赞袭']",['在天堂等我'],"['爱情', '灾难']",[''],[],[' 汉语普通话']
[' 美国'],['Maximilian Elfeldt'],['90'],['11'],"['Jhey Castles', 'Joseph Michael Harris', 'Evan James Henderson', 'Sallieu Sesay']",['世界的末日 End of the World'],['灾难'],[''],[],[' 英语']
[' 中国大陆'],['蒋磊'],['91'],['10'],['解文颖'],['末世少女战江湖'],['灾难'],[''],[],[' 汉语普通话']
[' 中国大陆'],['沐太息'],[],['02'],"['尚媛媛', '赵晓东', '朱富润', '王艾琳']",['克塞之战之天降英雄'],"['剧情', '灾难']",[''],[],[' 汉语普通话']
[' 中国大陆'],['郭小川'],['72'],['04'],"['钟艺', '周蕊', '葛帅', '徐浩然']",['佣兵之战'],"['战争', '灾难']",[''],[],[' 汉语普通话']
[' 法国'],['Just Philippot'],['18'],['02'],"['Maud Wyler', '索菲安·哈米斯', 'Antonin Chaussoy']",['酸 Acide'],"['剧情', '惊悚', '灾难']",[''],[],[' 法语']
[' 中国大陆'],['赵世尧'],['90'],['03'],['溪格'],['储灵空间'],"['科幻', '冒险', '灾难']",[''],[],[' 汉语普通话']
[' 中国大陆'],['孙瑜'],['67'],['12'],"['白洁', '王波文', '邹旭峰']",['末日之战'],"['爱情', '灾难']",[''],[],[' 汉语普通话']
