地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],['赤城博昭'],['24'],['07'],"['高桥李依', '梶裕贵', '小原好美', '市道真央', '小仓唯', '内田雄马', '小岩井小鸟', '落合福嗣', '冈本信彦']",['擅长捉弄人的高木同学OVA：水滑梯 からかい上手の高木さん OVA 「ウォーター・スライダー」'],"['喜剧', '爱情', '动画']",['8.7'],['322'],[' 日语']
[' 日本'],['石原立也'],['94'],['01'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],"['喜剧', '爱情', '动画']",['8.5'],['3140'],[' 日语 / 意大利语']
[' 美国'],['格里格·伯兰蒂'],['110'],['03'],"['尼克·罗宾森', '詹妮弗·加纳', '乔什·杜哈明', '小豪尔赫·兰登伯格', '凯瑟琳·兰福德', '亚历山德拉·希普', '洛根·米勒', '凯南·朗斯代尔', '特丽莎·贝特曼', '托尼·海尔', '娜塔莎·罗斯韦尔', '迈尔斯·赫尔泽', '乔伊·保罗瑞', '克拉克·穆尔', '德鲁·斯塔基', '麦肯兹·林茨', '卡萨迪·麦克林西', '艾莉克斯·斯甘巴蒂', '贾米拉·汤普森', '艾米丽·乔丹', '帕特里克·多诺霍', '特雷勒·希尔', '泰勒·切斯', '哈龙·汗', '约书亚·米克尔', '尼古拉斯·斯塔格尔', '南茜·德·梅奥', '克里斯蒂安·奥乔·梅菲尔德', '钱特尔·D·克里斯托弗', '曼迪·法森', '菲利普·科文', '罗比·罗杰斯']","['爱你，西蒙 Love, Simon']","['爱情', '同性']",['8.3'],['132267'],[' 英语']
[' 美国'],['Rareko'],['22'],['12'],"['Kaolip', 'Shingo Kato', 'Komegumi Koiwasaki', 'Maki Tsuruta', 'Sôta Arai', 'Mina Inoue', 'Yukie Takahashi', 'Rareko', 'Jamison Boaz', 'G.K. Bowes', '本·迪斯金', '托德·哈伯空', '塔拉·普拉特', '帕特里克·赛兹']",['职场小烈：重金属圣诞快乐 アグレッシブ烈子: We Wish You A Metal Christmas'],"['喜剧', '爱情', '动画', '音乐']",['8.3'],['83'],[' 日语']
[' 韩国'],['李章焄'],['132'],['03'],"['苏志燮', '孙艺珍', '金智焕', '金贤秀', '李有镇', '高昌锡', '李俊赫', '孙云恩', '裴侑蓝']",['现在去见你 지금 만나러 갑니다'],"['剧情', '爱情', '奇幻']",['8.2'],['55503'],[' 韩语']
[' 中国大陆'],['金承仁'],['37'],['05'],"['陈张太康', '佟心竹', '李兰陵', '沈念如', '阎么么', '刘明月', '瞳音', '黎筱濛', '常荣珊', '闫夜桥', '叶知秋', '小连杀']",['我是江小白 剧场版'],"['爱情', '动画']",['7.9'],['1023'],[' 汉语普通话']
[' 韩国'],['全高云'],['106'],['03'],"['李絮', '安在洪', '姜臻雅', '金国熙', '李成旭', '崔德门', '金在华', '曹秀香', '金艺恩']",['小公女 소공녀'],"['剧情', '爱情']",['7.9'],['7978'],[' 韩语']
[' 法国'],['克里斯托夫·奥诺雷'],['132'],['05'],"['文森特·拉科斯特', '皮埃尔·德隆尚', '德尼·波达利德斯', '阿黛尔·维斯梅思', '托马斯·冈萨雷斯', '克莱蒙·梅特耶', '昆廷·蒂博', '特里斯坦·法尔热', '索菲·勒图讷尔', '马莱娜·索尔达纳', '卢卡·马林诺夫斯基', '埃里克·维涅尔', '罗曼·施耐纳']","['喜欢，轻吻，快跑 Plaire, aimer et courir vite']","['剧情', '爱情', '同性']",['7.8'],['14397'],[' 法语']
[' 波兰 / 法国 / 英国'],['帕维乌·帕夫利科夫斯基'],['88'],"['05', '06']","['尤安娜·库里克', '托马斯·科特', '波利斯·席克', '阿伽塔·库莱沙', '塞德里克·康', '让娜·巴利巴尔', '亚当·费仁希', '亚当·沃诺维茨', '亚当·斯齐斯科斯基']",['冷战 Zimna wojna'],"['剧情', '爱情', '音乐']",['7.8'],['19647'],[' 波兰语 / 法语 / 德语 / 克罗地亚语 / 意大利语 / 俄语']
[' 韩国'],['金宝拉'],['139'],['10'],"['朴智厚', '金玺碧', '郑仁基', '李胜妍', '朴秀妍']",['蜂鸟 벌새'],"['剧情', '爱情']",['7.7'],['206'],[' 韩语']
