地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利'],['斯蒂法诺·摩尔蒂尼'],['102'],['12'],"['里卡多·斯卡马乔', '米莱姆·里昂', '马丽娅·派雅托', '法布里齐奥·本蒂沃利奥', '萨拉·卡迪纳莱蒂', '尼古拉·潘内利', '塞尔吉奥·罗马诺', '阿斯卡尼奥·巴尔博', '保罗·桑博', '杰拉尔多·德布拉西奥', '亚历山德拉·卡里略']",['看不见的客人(意大利版) Il testimone invisibile'],"['剧情', '悬疑', '惊悚', '犯罪']",['9.0'],['3740'],[' 意大利语']
[' 日本'],['是枝裕和'],['117'],"['08', '05', '06']","['中川雅也', '安藤樱', '松冈茉优', '城桧吏', '佐佐木美结', '树木希林', '绪形直人', '池松壮亮', '森口瑶子', '山田裕贵', '片山萌美', '柄本明', '高良健吾', '池胁千鹤']",['小偷家族 万引き家族'],"['剧情', '家庭', '犯罪']",['8.7'],['413783'],[' 日语']
[' 美国 / 俄罗斯'],['阿尼什·查甘蒂'],['102'],"['12', '01', '08']","['约翰·赵', '米切尔·拉', '黛博拉·梅辛', '约瑟夫·李', '萨拉·米博·孙', '亚历克丝·杰恩·高', '刘玥辰', '刘卡雅', '多米尼克·霍夫曼', '西尔维亚·米纳西安', '梅丽莎·迪斯尼', '康纳·麦克雷斯', '科林·伍德尔', '约瑟夫·约翰·谢尔勒', '阿什丽·艾德纳', '考特尼·劳伦·卡明斯', '托马斯·巴布萨卡', '朱莉·内桑森', '罗伊·阿布拉姆森', '盖奇·比尔托福', '肖恩·奥布赖恩', '瑞克·萨拉比亚', '布拉德·阿布瑞尔', '加布里埃尔·D·安吉尔']",['网络谜踪 Searching'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.6'],['285614'],[' 英语']
[' 匈牙利'],['米洛拉德·科斯蒂奇'],['94'],"['08', '11']","['伊万·卡马拉斯', '加布里瑞拉·哈默里', '佐兰·马克兰兹', '乔鲍·马顿', '保罗‧贝兰托尼', '马特·戴维尔', '卡塔琳‧东比', '亨利‧格兰特', '彼得·林卡', '马泰‧梅萨罗什', '加博尔·纳吉帕尔', '维吉尼亚‧普罗德']","['盗梦特攻队 Ruben Brandt, a gyüjtö']","['动画', '犯罪']",['8.4'],['17459'],[' 英语 / 匈牙利语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['428939'],[' 印地语']
[' 中国大陆 / 香港'],['庄文强'],['130'],"['09', '10']","['周润发', '郭富城', '张静初', '冯文娟', '廖启智', '周家怡', '王耀庆', '方中信', '高捷', '邢佳栋', '张松枝', '张建声', '吴嘉龙', '孙佳君']",['无双 無雙'],"['剧情', '动作', '悬疑', '犯罪']",['8.1'],['608284'],[' 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语']
[' 美国'],['克林特·伊斯特伍德'],['116'],['12'],"['克林特·伊斯特伍德', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz', 'Jackie Prucha', '理查德·赫德', 'Adam Drescher', 'Christi McClintock', 'Keith Flippen', '艾莉森·伊斯特伍德', '黛安·韦斯特', '乔·奈泽维奇', '泰莎·法米加', '维克多·罗塞克', '罗伯特·拉萨多', '劳伦斯·菲什伯恩', '布莱德利·库珀', '迈克尔·佩纳', '尤金·科德罗', '诺尔·古格雷米', '安迪·加西亚', '小克利夫顿·克林斯', '丹尼尔·蒙卡达', '伊格纳西奥·塞利齐奥', '保罗·阿拉约', '卡里姆·J.格里梅斯', '迭戈·卡塔诺', '迪伦·库斯曼', '皮特·布里斯', '劳恩·迪恩', '曼尼·蒙塔纳', '洛博·塞巴斯蒂安', '泰丝·马里斯·金凯德', '贝琪·阿尔特林格', '蒂莫西·卡尔', '吉尔·弗林特', '凯蒂·吉尔', '杰伦·戈登', '杰伊·古铁雷斯', '塞西尔·M·亨利', '雷·埃尔南德斯', '肖恩·麦克米伦', '德文·奥格登', '帕蒂·舍尔哈斯']",['骡子 The Mule'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.1'],['26242'],[' 英语']
[' 美国'],['斯蒂芬·思科'],['92'],"['03', '07']","['科林·伍德尔', '斯蒂芬妮·诺格拉斯', '瑞贝卡·瑞滕豪斯', '安德鲁斯·李斯', '贝蒂·加布里埃尔', '康纳·戴尔·里奥', '萨维拉·温蒂亚尼', '切尔西·阿尔登', '道格拉斯·泰特', '阿什顿·斯迈利', '阿历萨·芒索']",['解除好友2：暗网 Unfriended: Dark Web'],"['恐怖', '犯罪']",['7.9'],['109072'],[' 英语']
[' 美国'],['小乔治·提尔曼'],['133'],"['09', '10']","['阿曼德拉·斯坦伯格 ', '雷吉娜·赫尔', '罗素·霍恩斯比', '安东尼·麦凯', 'K·J·阿帕', '伊萨·雷', '科曼', '阿尔吉·史密斯', '塞布丽娜·卡彭特', '多米尼克·菲什巴克', '拉马尔·约翰逊', '梅根·劳利斯']",['你给的仇恨 The Hate U Give'],"['剧情', '犯罪']",['7.8'],['6705'],[' 英语']
[' 日本'],['白石和弥'],['126'],['05'],"['役所广司', '松坂桃李', '真木阳子', '泷藤贤一', '田口智朗', '石桥莲司', '江口洋介', '竹野内丰', '阿部纯子', '泷正则', '中村伦也', '中村狮童']",['孤狼之血 孤狼の血'],"['剧情', '犯罪']",['7.8'],['8792'],[' 日语']
