地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],[],['90'],['12'],"['泷泽秀明', '山下智久', '生田斗真', '风间俊介', '长谷川纯', '大野智', '樱井翔', '相叶雅纪', '二宫和也', '松本润', '村上信五', '横山裕', '锦户亮', '丸山隆平', '安田章大', '大仓忠义']",['超豪华！！最初也是最后的大同窗会！8时J 超豪華！！ 最初で最後の大同窓会！8時だJ'],"['真人秀', '脱口秀']",['9.0'],['808'],[' 日语']
[' 日本'],[],['240'],['12'],"['樱井翔', '广濑铃', '内村光良', '桑子真帆', '松田圣子', '松任谷由实', '北岛三郎', '林佳树', 'AKB48', 'perfume', '米津玄师', '西野加奈']",['第69届NHK红白歌会 第69回NHK紅白歌合戦'],"['音乐', '歌舞', '真人秀']",['8.2'],['2008'],[' 日语']
[' 日本'],[],['142'],['07'],"['菊池风磨', '竹内凉真', '滨边美波', '德井义实 Yoshimi Tokui', '长岛一茂', '福田充德 Mitsunori Fukuda', '内村光良 Teruyoshi Uchimura', '羽鸟慎一 Shinichi Hatori', '泉里香', '稻村亚美 Ami Inamura']",['整人大赏2018 うわっ!ダマされた大賞 2018\u200e'],"['喜剧', '真人秀']",['7.6'],['143'],[' 日语']
[' 美国'],['路易斯·J·霍维茨'],[],['01'],['塞斯·梅耶斯'],['2018第75届金球奖颁奖典礼 The 75th Golden Globe Awards'],['真人秀'],['6.9'],['407'],[' 英语']
[' 香港'],[],[],['04'],"['古天乐', '蔡卓妍', '张继聪']",['第37届香港电影金像奖颁奖典礼 第37屆香港電影金像獎頒獎典禮'],['真人秀'],['6.4'],['218'],[' 粤语 / 汉语普通话']
[' 美国'],['哈密什·汉密尔顿'],[],['09'],"['科林·乔斯特', '迈克尔·彻']",['第70届黄金时段艾美奖颁奖典礼 The 70th Primetime Emmy Awards'],['真人秀'],['6.2'],['106'],[' 英语']
[' 台湾'],[],['300'],['11'],"['陶晶莹', '李安', '巩俐', '谢盈萱', '周迅', '赵涛', '曾美慧孜', '孙俪', '徐峥', '邓超', '段奕宏', '邱泽', '彭昱畅', '胡歌', '惠英红', '涂们', '桂纶镁', '刘德华', '刘嘉玲', '张震', '洪金宝', '谢金燕', '陈奕迅', '苑琼丹', '罗家英', '黄信尧', '莫文蔚', '王力宏']",['第55届金马奖颁奖典礼\u200e 第55屆金馬獎頒獎典禮'],['真人秀'],['6.2'],['3917'],[' 汉语普通话']
[' 美国'],['格伦·维斯'],['187'],['03'],['吉米·坎摩尔'],['第90届奥斯卡颁奖典礼 The 90th Annual Academy Awards'],['真人秀'],['5.8'],['2720'],[' 英语']
[' 中国大陆'],[],['247'],['11'],"['陈赫', '黄渤', '吴谨言', '王鹤润', '热依扎', '米兰达·可儿', '阿伦·艾弗森', '渡边直美', '马云', '易烊千玺', '杨颖', '玛丽亚·凯莉', '秦岚']",['2018天猫双十一狂欢夜'],"['歌舞', '真人秀']",['5.8'],['289'],[' 汉语普通话']
[' 美国'],['哈密什·汉密尔顿'],['41'],['12'],"['阿德瑞娜·利玛', '贝哈蒂·朴琳思洛', '坎迪丝·斯瓦内普尔', '艾尔莎·霍斯卡', '泰勒·希尔', '玛莎·亨特', '约瑟芬·斯可瑞娃', '罗梅·埃利斯', '雅思敏·图克斯', '莎拉·桑帕约', '莱斯·里贝罗', '斯特拉·麦克斯韦', '陈瑜', '奚梦瑶', '何穗', '刘雯', '王菊', '欧阳娜娜', '张雨绮', '温妮·哈洛']",['维多利亚的秘密2018时装秀 The Victoria&#39;s Secret Fashion Show 2018'],['真人秀'],['5.5'],['1360'],[' 英语']
