地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英國 UK'],['Nick Gillam-Smith'],[],['04'],['Bettany Hughes'],['酒神巴克科斯：狂欢之神 Bacchus Uncovered: Ancient God of Ecstasy'],['紀錄片 Documentary'],['8.4'],['106'],[' 英語 English']
[' 英國 UK'],[],[],['03'],"['伊万·麦克格雷格', 'Colin McGregor']",['百年皇家空军.伊万与科林·麦格雷戈 RAF at 100 with Ewan and Colin McGregor'],['紀錄片 Documentary'],['8.2'],['122'],[' 英語 English']
[' 英国'],['David Starkey'],[],['04'],['Janina Ramirez'],['艺术档案：天才达芬奇 Art on the BBC: The Genius of Leonardo Da Vinci'],['紀錄片 Documentary'],['7.6'],['135'],[' 英語 English']
[' 英国'],['Julian Hendy'],[],['01'],['安德鲁·格雷厄姆-迪克森'],['失窃的梵高之作 Stealing Van Gogh'],['紀錄片 Documentary'],['7.4'],['98'],[' 英語 English']
[' 英國 UK'],[],[],[],['Dan Cruickshank'],['Dan Cruickshank’s Monuments Of Remembrance'],['紀錄片 Documentary'],[''],[],[' 英語 English']
[' 英國 UK'],[],[],['11'],['Tom Service'],['Holst &amp; Vaughan Williams - Making Music English'],['紀錄片 Documentary'],[''],[],[' 英語 English']
[' 英國 UK'],['Adam Low'],['77'],['05'],['Olivia Colman'],['英国皇家美术学院揭秘 The Private Life of the Royal Academy'],['紀錄片 Documentary'],[''],[],[' 英語 English']
[' 英國 UK'],[],[],['03'],['Matt Frei'],['Russian Spy Assassins: The Salisbury Attack'],['紀錄片 Documentary'],[''],[],[' 英語 English']
[' 英国'],[],[],['12'],['Andrew Davies'],['Andrew Davies: Rewriting the Classics'],['紀錄片 Documentary'],[''],[],[' 英语']
[' 英國 UK'],[],[],['08'],['Sarah Lancashire'],['Inside the Court of Appeal'],['紀錄片 Documentary'],[''],[],[' 英語 English']
[' 英國 UK'],['Chris Durlacher'],[],['08'],['Aaron Neil'],['The Stolen Maharajah: Britain&#39;s Indian Royal'],['紀錄片 Documentary'],[''],[],[' 英語 English']
[' 英國 UK'],[],[],['06'],['Tom Mangold'],['杰瑞米索普丑闻 The Jeremy Thorpe Scandal'],['紀錄片 Documentary'],[''],[],[' 英語 English']
