地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],[],[],['01'],"['明石家秋刀鱼', '木村拓哉', '渡边直美']",['さんタク2018 Santaku 2018'],['脱口秀'],['9.5'],['161'],[' 日语']
[' 澳大利亚'],"['乔恩·欧布', '玛德琳·帕里']",['69'],['06'],['汉纳·盖茨比'],['汉纳·盖茨比告别秀：娜娜 Hannah Gadsby: Nanette'],"['喜剧', '脱口秀']",['9.3'],['2217'],[' 英语']
[' 日本'],[],['90'],['12'],"['泷泽秀明', '山下智久', '生田斗真', '风间俊介', '长谷川纯', '大野智', '樱井翔', '相叶雅纪', '二宫和也', '松本润', '村上信五', '横山裕', '锦户亮', '丸山隆平', '安田章大', '大仓忠义']",['超豪华！！最初也是最后的大同窗会！8时J 超豪華！！ 最初で最後の大同窓会！8時だJ'],"['真人秀', '脱口秀']",['9.0'],['808'],[' 日语']
[' 美国'],[],['42'],['04'],['柯南·奥布莱恩'],['柯南无国界：意大利 Conan Without Borders: Italy'],['脱口秀'],['8.9'],['81'],[' 英语']
[' 美国'],[],['42'],['01'],['柯南·奥布莱恩'],['柯南无国界：海地特辑 Conan Without Borders: Haiti'],"['喜剧', '脱口秀']",['8.7'],['62'],[' 英语']
[' 美国'],[],['57'],['03'],['加德·艾尔马莱'],['加德·艾尔马莱：美国梦 Gad Elmaleh: American Dream'],"['喜剧', '脱口秀']",['8.3'],['430'],[' 英语']
[' 美国'],['杰伊·卡拉斯'],['64'],['05'],['黄阿丽'],['黄阿丽：铁娘子 Ali Wong: Hard Knock Wife'],"['喜剧', '脱口秀']",['8.2'],['7068'],[' 英语']
[' 美国'],[],[],['02'],"['娜塔莉·波特曼', '蒂娜·菲', '瑞秋·德拉彻', '亚历克·鲍德温', '安迪·萨姆伯格', 'Dua Lipa']",['周六夜现场：娜塔莉·波特曼/Dua Lipa Saturday Night Live Natalie Portman/Dua Lipa'],['脱口秀'],['8.0'],['148'],[' 英语']
[' 美国'],[],[],['05'],['Hari Kondabolu'],['Hari Kondabolu: Warn Your Relatives'],"['喜剧', '脱口秀']",['7.9'],['65'],[' 英语']
[' 美国'],['博·伯翰'],['65'],['02'],['克里斯·洛克'],['克里斯·洛克：铃鼓 Chris Rock: Tamborine'],"['喜剧', '脱口秀']",['7.6'],['391'],[' 英语']
[' 美国'],[],[],['05'],['约翰·木兰尼'],['约翰·木兰尼：无线电城的俊小伙儿 John Mulaney: Kid Gorgeous at Radio City'],"['喜剧', '脱口秀']",['7.5'],['422'],[' 英语']
[' 美国'],"['乔尔·加兰', '泰格·诺塔洛']",['136'],['12'],"['艾伦·德杰尼勒斯', '劳拉·邓恩']",['艾伦·德杰尼勒斯：感同身受 Ellen DeGeneres: Relatable'],"['喜剧', '脱口秀']",['7.4'],['1158'],[' 英语']
[' 美国'],"['乔尔·加兰', '泰格·诺塔洛']",['136'],['12'],"['艾伦·德杰尼勒斯', '劳拉·邓恩']",['艾伦·德杰尼勒斯：感同身受 Ellen DeGeneres: Relatable'],"['喜剧', '脱口秀']",['7.4'],['1158'],[' 英语']
[' 中国大陆'],[],['238'],['12'],['罗振宇'],['深圳卫视“时间的朋友”2018跨年演讲'],['脱口秀'],['6.7'],['1660'],[' 汉语普通话']
[' 美国'],[],[],['01'],"['杰西卡·查斯坦', '特洛耶·希文']",['周六夜现场：杰西卡·查斯坦/特洛耶·希文 Saturday Night Live Jessica Chastain/Troye Sivan'],"['喜剧', '脱口秀']",['6.6'],['119'],[' 英语']
[' 美国'],['Andy Fickman'],['62'],['04'],['Kevin James'],['永远不要放弃 Kevin James: Never Don&#39;t Give Up'],['脱口秀'],['6.2'],['93'],[' 英语']
[' 中国大陆'],[],['203'],['12'],"['吴晓波', '许知远', '吴声', '管清友', '艾诚']",['预见2019·国运70'],['脱口秀'],[''],[],[' 汉语普通话']
