地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],"['伊桑·科恩', '乔尔·科恩']",['133'],"['08', '11']","['哈利·米尔林', '佐伊·卡赞', '连姆·尼森', '詹姆斯·弗兰科', '大卫·克鲁霍尔特兹', '汤姆·威兹', '克兰西·布朗', '蒂姆·布雷克·尼尔森', '布莱丹·格里森', '比尔·赫克', '斯蒂芬·鲁特', '泰恩·黛莉', '拉尔夫·伊内森', '切尔西·罗斯', '绍尔·鲁宾内克', '琼乔·奥雷尔', '马修·维利希', '杰西·卢肯', '保罗·瑞', '葛人杰·海恩斯', '杰弗森·梅斯', '山姆·狄龙', '比利·洛克伍德', '汤姆·普罗克特', 'E·E·贝尔', '丹尼·麦卡锡', '杰克莫·巴泽尔', '伊索·阿克瑞恩']",['巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs'],"['喜剧', '歌舞', '西部']",['8.5'],['55480'],[' 英语']
[' 法国 / 西班牙 / 罗马尼亚 / 美国 / 比利时'],['雅克·欧迪亚'],['121'],"['09', '10']","['约翰·C·赖利', '杰昆·菲尼克斯', '杰克·吉伦哈尔', '里兹·阿迈德', '卡罗尔·凯恩', '鲁特格尔·哈尔', '克瑞德·布拉顿', '约翰内斯·豪克尔·约翰内森', '尼尔斯·阿贺斯图普', '莱克茜·本博-哈特', '丽贝卡·鲁特', '菲利普·罗施', '邓肯·拉克鲁瓦', '伊恩·雷迪丁顿', '阿尔多·马兰']",['希斯特斯兄弟 The Sisters Brothers'],"['犯罪', '西部', '冒险']",['7.7'],['8255'],[' 英语']
[' 中国大陆'],"['阿迪夏·夏热合曼', '周军']",['94'],['09'],"['海拉提·哈木', '玛尔江·巴依吐肯', '丽娜·夏侃']",['远去的牧歌'],"['剧情', '西部', '冒险']",['6.9'],['1000'],[' 汉语普通话']
[' 美国'],['Scott Martin'],['126'],['10'],"['杰森·帕特里克', '卢·戴蒙德·菲利普斯', '克里斯托夫·桑德斯', 'Scott Martin', 'Clint Hummel', 'K·C·克莱德', 'Stephanie Beran', '伊莎贝拉·麦克罗林', '丹尼·特雷霍', '迈克尔·帕尔', '奥德丽·沃尔特斯', 'Jermaine Washington', 'Dennis LaValle', '大卫·曼扎纳雷斯', '萨拉·明妮奇']",['大杀特杀 Big Kill'],"['动作', '西部']",['5.9'],['369'],[' 英语']
[' 美国'],['Mark Landre Gould'],['99'],['03'],"['兰斯·亨利克森', '比利·鲁什', '汤姆·贝伦杰', '梅格·钱伯斯·斯蒂德尔', '史蒂夫·雷尔斯巴克', '丹尼·特雷霍']",['去日无痕 Gone Are the Days'],['西部'],['5.9'],['153'],[' 英语']
[' 美国'],['Tyler Russell'],['88'],['10'],"['乔治·哈迪', '杰森·道格拉斯', '蒂凡妮·谢皮斯', '吉因·琼斯', '卢·坦普尔', 'Torrence Davis', 'Terri Merritt Bennett', '贾德·罗德曼', '朱丽叶塔·丹妮埃拉']",['德州棉花 Texas Cotton'],"['悬疑', '犯罪', '西部']",['5.5'],['144'],[' 英语']
[' 美国'],"['大卫·泽尔纳', '内森·泽尔纳']",['113'],"['01', '06']","['罗伯特·帕丁森', '米娅·华希科沃斯卡', '大卫·泽尔纳', '内森·泽尔纳', '罗伯特·福斯特']",['落难女子 Damsel'],"['剧情', '喜剧', '西部']",['5.5'],['335'],[' 英语']
[' 美国'],['Emma Tammi'],['86'],['09'],"['茱莉亚·古丹妮·泰勒斯', '阿什利·祖克曼', '凯特琳·杰拉德', '迪伦·麦蒂']",['诡风怪谈 The Wind'],"['恐怖', '西部']",['4.8'],['406'],[' 英语']
[' 中国大陆'],['殷德义'],['103'],[],"['王肇玮', '于晓玉', '谷峰', '李沛欣']",['逃离方舟'],"['动作', '爱情', '西部']",[''],[],[' 汉语普通话']
[' 冰岛'],['Katrín Ólafsdóttir'],[],[],[],['风继续吹 The Wind Blew On'],['西部'],[''],[],[' 英语']
[' 塞尔维亚 Serbia / 美国'],['斯尔詹·斯帕索耶维奇'],[],[],[],['何处 Whereout'],"['恐怖', '西部']",[''],[],[' 英语']
[' 英国'],['Marc Price'],[],[],"['James Groom', '汤姆·诺兰', 'Duncan Casey']",['一个引领者 A Fistful of Lead'],['西部'],[''],[],[' 英语']
[' 美国'],['John Law'],['59'],['01'],"['Zelda Adams', 'John Law', 'Lulu Adams', 'Thomas Burnham', 'Mike Hall Sr.', 'Michael Hall', 'Randall Jowers', 'Dorino Lupinetti', 'Billy Magee', 'Billy M. Magee']",['The Hatred'],"['惊悚', '恐怖', '西部']",[''],[],[' 英语']
[' 美国'],['Justin Lee'],['110'],['09'],"['Kevin Makely', '布鲁斯·戴维森', 'Jenny Curtis']",['子弹将至 Any Bullet Will Do'],['西部'],[''],[],[' 英语']
[' 西班牙'],['Juan Manuel Cotelo'],['107'],['11'],"['Santi Rodríguez', 'Daniel Ruizar', 'Joe Gómez', 'Carlos Aguillo', 'Carlos Chamarro', 'Juan Manuel Cotelo', 'Paco Estellés', 'Charo Gabella', 'Saskia Guanche', 'Jorge García Guerrero', 'Alejandro Navarro', 'Inés Sájara']",['El mayor regalo'],"['剧情', '喜剧', '西部']",[''],[],[' 英语 / 西班牙语 / 法语']
[' 美国'],['Royston Innes'],['177'],['01'],"['Ric Maddox', 'Aaron Marciniak', 'Sasha Higgins', 'Mark L. Colbenson', 'Jim Freivogel']",['死人 Dead Men'],"['动作', '西部']",[''],[],[' 英语']
[' 美国'],['Michael Steves'],['90'],['06'],"['Tony Todd', 'Michael Eklund', 'Jennifer Laporte']",['地狱西部 West of Hell'],"['恐怖', '西部']",[''],[],[' 英语']
[' 美国'],['Justin Lee'],['80'],['08'],"['June Dietrich', 'Kevin Makely', '托德·罗宾森']",['清算 Where the Wild Rivers Run'],['西部'],[''],[],[' 英语']
[' 美国'],['Brent Christy'],['89'],['10'],"['艾瑞克·克罗斯', '坦娅·克拉克', '尼克·西塞', '汤米·弗拉纳根', '凯文·塞兹摩尔', '克里斯蒂安·詹姆斯']",['诉讼 Legal Action'],"['动作', '西部']",[''],[],[' 英语']
[' 中国大陆'],['谢天'],['63'],['07'],"['Kevin Ross', 'Mark Hatfield', '连柏颖', 'Jizhong Zhang', '周知韵 ']",['陌路之西'],"['爱情', '犯罪', '西部']",[''],[],[' 英语 / 汉语普通话']
[' 中国大陆'],['柴立鹏'],['92'],['06'],"['屈扬', '刘晓红', '张永康']",['来者何人'],"['剧情', '悬疑', '西部']",[''],[],[' 汉语普通话']
[' 美国'],['Nia DaCosta'],[],['04'],"['泰莎·汤普森', '莉莉·詹姆斯', '詹姆斯·戴尔', '兰斯·莱迪克', '卢克·科比 ', 'Charlie Ray Reid']",['小森林 Little Woods'],"['剧情', '西部']",[''],[],[' 英语']
[' 中国大陆'],"['谢毅航', '林建邦']",['90'],['02'],"['刘牧', '陈晓桑', '何为', '张烨']",['奔'],"['剧情', '爱情', '西部']",[''],[],[' 汉语普通话']
[' 美国'],['Philipp Lawrence Durand'],[],[],"['伯特·雷诺兹', '布鲁斯·戴维森', 'Taryn Kelly']",['The French Cowboy'],['西部'],[''],[],[' 英语']
