地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英国'],['Ross MacGibbon'],['205'],['12'],"['Marianela Nuñez', 'Vadim Muntagirov', 'Elizabeth McGorian', 'Bennet Gartside', 'Alexander Campbell', 'Dancers of the Royal Ballet', 'Orchestra of the Royal Opera House']",['天鹅湖 Swan Lake'],"['音乐', '歌舞']",['9.1'],['123'],[' 英语']
[' 英国 / 美国'],['布莱恩·辛格'],['135'],['11'],"['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇', '露西·宝通', '艾丹·吉伦', '汤姆·霍兰德', '麦克·梅尔斯', '阿隆·麦克卡斯克', '梅内卡·达斯', '迪基·博', '蒂姆· 普莱斯特', '杰克·罗思', '马克斯·班内特', '基兰·哈德卡斯托', '罗斯·格林', '布鲁斯·麦克金伦', '米歇尔·邓肯', '马特·格林伍德', '罗茜·本杰明', '约翰·奥特曼', '詹姆斯·华莱士', '文森特·阿德里安', '拉斯科·阿特金斯', '乔纳森·奇塔姆', '迈克尔·科布', '耶稣·加洛', '亚当·兰伯特', '豪尔赫·莱昂·马丁内斯', '杰森· 莱恩斯', '伊斯雷尔·鲁兹']",['波西米亚狂想曲 Bohemian Rhapsody'],"['剧情', '音乐', '传记']",['8.7'],['287996'],[' 英语']
[' 日本'],['山田尚子'],['90'],['04'],"['种崎敦美', '东山奈央', '本田望结', '藤村鼓乃美', '山冈百合', '杉浦诗织', '黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '桑岛法子', '中村悠一', '樱井孝宏']",['利兹与青鸟 リズと青い鳥'],"['剧情', '动画', '音乐']",['8.6'],['12438'],[' 日语']
[' 中国大陆'],[],[],['12'],"['周华健', '蔡依林', '朴树', '张靓颖', '汪苏泷', '李荣浩', '李宇春', '邓紫棋', '毛不易', '刘维', '李艺彤', '薛之谦', '陈伟霆', '蔡卓妍', '钟欣潼', '张杰', '刘宇宁', '蔡一智', '蔡一杰', '苏志威', '林志玲', '林俊杰', '李响', '张纯烨', '李好']",['2019江苏卫视跨年演唱会'],"['音乐', '歌舞']",['8.3'],['561'],[' 汉语普通话']
[' 美国'],['Rareko'],['22'],['12'],"['Kaolip', 'Shingo Kato', 'Komegumi Koiwasaki', 'Maki Tsuruta', 'Sôta Arai', 'Mina Inoue', 'Yukie Takahashi', 'Rareko', 'Jamison Boaz', 'G.K. Bowes', '本·迪斯金', '托德·哈伯空', '塔拉·普拉特', '帕特里克·赛兹']",['职场小烈：重金属圣诞快乐 アグレッシブ烈子: We Wish You A Metal Christmas'],"['喜剧', '爱情', '动画', '音乐']",['8.3'],['83'],[' 日语']
[' 日本'],[],['240'],['12'],"['樱井翔', '广濑铃', '内村光良', '桑子真帆', '松田圣子', '松任谷由实', '北岛三郎', '林佳树', 'AKB48', 'perfume', '米津玄师', '西野加奈']",['第69届NHK红白歌会 第69回NHK紅白歌合戦'],"['音乐', '歌舞', '真人秀']",['8.2'],['2008'],[' 日语']
[' 美国 / 英国'],['Steve Loveridge'],['90'],['01'],['M.I.A.'],['玛琪，玛雅，米娅 Matangi/Maya/M.I.A.'],"['剧情', '音乐', '传记']",['8.0'],['220'],[' 英语']
[' 波兰 / 法国 / 英国'],['帕维乌·帕夫利科夫斯基'],['88'],"['05', '06']","['尤安娜·库里克', '托马斯·科特', '波利斯·席克', '阿伽塔·库莱沙', '塞德里克·康', '让娜·巴利巴尔', '亚当·费仁希', '亚当·沃诺维茨', '亚当·斯齐斯科斯基']",['冷战 Zimna wojna'],"['剧情', '爱情', '音乐']",['7.8'],['19647'],[' 波兰语 / 法语 / 德语 / 克罗地亚语 / 意大利语 / 俄语']
[' 俄罗斯'],['基里尔·谢列布连尼科夫'],['126'],"['05', '06']","['刘太旿', '伊琳娜·斯达申鲍姆', '罗曼·比利克', '菲利普·阿杰耶夫', '亚历山大·戈尔奇林', '尼基塔·叶甫列莫夫', '尤利娅·奥格', '叶莲娜·科连诺娃', '莉亚·阿赫扎科娃', '安东·阿达辛斯基']",['盛夏 Лето'],"['音乐', '传记']",['7.8'],['6287'],[' 俄语']
[' 芬兰 / 挪威'],"['裘索·拉提欧', '尤加·维迪葛伦']",['92'],['03'],"['托尔斯坦·比约克朗德', '安蒂·希海基宁', '维尔·希尔卡', '约翰内斯·霍洛佩宁', '萨穆利·贾斯基奥', '明卡·库斯顿', '凯·莱蒂宁', '皮霍·朗卡', '锡尼卡·莫克尔拉', '麦克斯·奥瓦斯卡', '佩尔蒂·斯维霍姆', '马尔蒂·斯利亚', '威利·蒂奥宁']",['重金属囧途 Hevi reissu'],"['喜剧', '音乐']",['7.6'],['6655'],[' 芬兰语 / 英语 / 挪威语']
[' 英国'],['汤姆·哈伯'],['100'],['09'],"['朱丽·沃特斯', '杰西·巴克利', '苏菲·奥康内多', '杰米·西弗斯', 'Ashley Shelton', 'James Harkness', 'Daniel Campbell', 'Gemma McElhinney', 'Tracy Wiles', 'J. Thomas Bailey', 'James McElvar', 'Vanya Eadie']",['野玫瑰 Wild Rose'],"['剧情', '音乐']",['7.5'],['70'],[' 英语']
[' 美国'],['布莱德利·库珀'],['135'],"['08', '10']","['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']",['一个明星的诞生 A Star Is Born'],"['剧情', '爱情', '音乐']",['7.2'],['71973'],[' 英语']
[' 美国'],"['安德鲁·欧文', '乔恩·欧文']",['110'],['03'],"['J·迈克尔·芬利', '布洛迪·罗斯', '丹尼斯·奎德', '玛德琳·卡罗尔', '塔根·伯恩斯', '特雷斯·阿德金斯', '杰森·伯基', '克萝丽丝·利奇曼', '坦娅·克拉克', '罗达·格里菲丝', '吉娜·西蒙', '妮可儿·德伯特', '普里西拉·C·夏勒', '凯文·道恩斯', '大卫·诺罗纳', '马克·罗伯特·埃利斯', '欧谢·布鲁克斯']",['超乎想象 I Can Only Imagine'],"['剧情', '音乐']",['7.1'],['1465'],[' 英语']
[' 美国'],['杰西·派瑞兹'],['97'],"['01', '08']","['萝丝·拜恩', '伊桑·霍克', '克里斯·奥多德', '梅根·多兹', '博格纳·F·马丁', '欧阳万成']","['赤裸朱丽叶 Juliet, Naked']","['剧情', '喜剧', '爱情', '音乐']",['6.8'],['1575'],[' 英语']
[' 日本'],['原桂之介'],[],['07'],"['知英', '稻叶友']",['明明是我的人生 私の人生なのに'],"['剧情', '爱情', '音乐']",['6.7'],['207'],[' 日语']
